k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      0.25000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[-1.1135284441670297, 0.2084083522335723, -0.0785954902287713]                  |2290.5587042986812776|      0.50000000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       4|[-1.0279569951091903, 0.6151971818916206, 0.1992540646954303]                   |1558.2411311957789621|      1.00000000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       5|[-0.454392428027823, 1.2010955046389542, 0.7717458487330923]                    |539.4554193060803300|      2.00000000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       6|[0.2708950104862491, 0.9898544994016552, 2.623592324346023]                     | 37.0641785426418906|      4.00000000|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       7|[0.2708950104862491, 0.9898544994016552, 2.623592324346023]                     | 37.0641785426418906|      2.00000000|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.2708950104862491, 0.9898544994016552, 2.623592324346023]                     | 37.0641785426418906|      1.00000000|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.2708950104862491, 0.9898544994016552, 2.623592324346023]                     | 37.0641785426418906|      0.50000000|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.2708950104862491, 0.9898544994016552, 2.623592324346023]                     | 37.0641785426418906|      0.25000000|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[0.0581447943856633, 1.0453545816644803, 2.504608769104243]                     |  7.3593874568184745|      0.50000000|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      12|[0.0581447943856633, 1.0453545816644803, 2.504608769104243]                     |  7.3593874568184745|      0.25000000|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[0.0581447943856633, 1.0453545816644803, 2.504608769104243]                     |  7.3593874568184745|      0.12500000|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      14|[0.0581447943856633, 1.0453545816644803, 2.504608769104243]                     |  7.3593874568184745|      0.06250000|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[0.0581447943856633, 1.0453545816644803, 2.504608769104243]                     |  7.3593874568184745|      0.03125000|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
