k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[11, 3, 1, 2]                                                              |  | used linear model with 14 points | iterate failure | actual_k=4
       2|[-0.1570925869754122, -0.1690531973241598, 0.1177715002470052, 0.0934571474277344, 0.3639910169011502, 0.0887666727420789, 0.1510537167644609, -0.0543375531779208, -0.0894415636487731]|173751.3299316492048092|      1.00000000|[22, 6, 2, 4]                                                              |  | used linear model with 14 points | iterate success | actual_k=4
       3|[-0.1570925869754122, -0.1690531973241598, 0.1177715002470052, 0.0934571474277344, 0.3639910169011502, 0.0887666727420789, 0.1510537167644609, -0.0543375531779208, -0.0894415636487731]|173751.3299316492048092|      0.50000000|[33, 9, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=4
       4|[-0.1570925869754122, -0.1690531973241598, 0.1177715002470052, 0.0934571474277344, 0.3639910169011502, 0.0887666727420789, 0.1510537167644609, -0.0543375531779208, -0.0894415636487731]|173751.3299316492048092|      0.25000000|[45, 11, 4, 8]                                                             |  | used linear model with 14 points | iterate failure | actual_k=4
       5|[-0.2020508077875853, -0.0756081189955181, 0.0499653256705861, 0.0706560957852374, 0.4451300978447194, 0.1038170956892326, 0.1136240478275328, -0.2094316618758444, 0.0304082677823958]|102097.1196255074901273|      0.50000000|[56, 14, 5, 10]                                                            |  | used linear model with 14 points | iterate success | actual_k=4
       6|[-0.2020508077875853, -0.0756081189955181, 0.0499653256705861, 0.0706560957852374, 0.4451300978447194, 0.1038170956892326, 0.1136240478275328, -0.2094316618758444, 0.0304082677823958]|102097.1196255074901273|      0.25000000|[67, 17, 6, 12]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
       7|[-0.2020508077875853, -0.0756081189955181, 0.0499653256705861, 0.0706560957852374, 0.4451300978447194, 0.1038170956892326, 0.1136240478275328, -0.2094316618758444, 0.0304082677823958]|102097.1196255074901273|      0.12500000|[77, 21, 7, 14]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
       8|[-0.1868670142111178, -0.0690900941445529, 0.0738306720645082, 0.0480647496844897, 0.5303832855990904, 0.0261534345156595, 0.1250175970149027, -0.2252992909435756, 0.0061039639857008]|45762.4290454425863572|      0.25000000|[88, 24, 8, 16]                                                            |  | used linear model with 14 points | iterate success | actual_k=4
       9|[-0.1868670142111178, -0.0690900941445529, 0.0738306720645082, 0.0480647496844897, 0.5303832855990904, 0.0261534345156595, 0.1250175970149027, -0.2252992909435756, 0.0061039639857008]|45762.4290454425863572|      0.12500000|[99, 27, 9, 18]                                                            |  | used linear model with 14 points | iterate failure | actual_k=4
      10|[-0.2036703944215419, -0.0124873620504266, 0.0806428973913954, -0.0095744236550279, 0.6063826382538897, 0.0767073994828912, 0.1052747251143731, -0.2195395456725762, 0.0021624184140887]|28497.9940998295751342|      0.25000000|[110, 30, 10, 20]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      11|[-0.2036703944215419, -0.0124873620504266, 0.0806428973913954, -0.0095744236550279, 0.6063826382538897, 0.0767073994828912, 0.1052747251143731, -0.2195395456725762, 0.0021624184140887]|28497.9940998295751342|      0.12500000|[123, 31, 11, 22]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      12|[-0.1321658586158743, -0.0412956724138424, 0.0303772755122711, -0.0194130995943842, 0.6647664891356665, 0.050976409481631, 0.1475199561471113, -0.2304295617707978, 0.0350978163959999]|15051.2396888262701395|      0.25000000|[134, 34, 12, 24]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      13|[-0.1321658586158743, -0.0412956724138424, 0.0303772755122711, -0.0194130995943842, 0.6647664891356665, 0.050976409481631, 0.1475199561471113, -0.2304295617707978, 0.0350978163959999]|15051.2396888262701395|      0.12500000|[145, 37, 13, 26]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      14|[-0.1528189549522287, -0.049663426133351, 0.0993184729044178, -0.0227299994600439, 0.6910738938230365, -0.0269626662069494, 0.0906489396806921, -0.2120645575309545, 0.0299621731450877]|11788.5462149872419104|      0.25000000|[157, 39, 14, 28]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      15|[-0.1528189549522287, -0.049663426133351, 0.0993184729044178, -0.0227299994600439, 0.6910738938230365, -0.0269626662069494, 0.0906489396806921, -0.2120645575309545, 0.0299621731450877]|11788.5462149872419104|      0.12500000|[168, 42, 15, 30]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      16|[-0.1410634647064512, -0.0539478901552118, 0.0676492384780692, 0.0151439199153895, 0.7810517569485492, -0.0006395029389522, 0.132568899360227, -0.2204299433480973, -0.0191793588075117]|2330.5968826373400589|      0.25000000|[178, 46, 16, 32]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      17|[-0.1410634647064512, -0.0539478901552118, 0.0676492384780692, 0.0151439199153895, 0.7810517569485492, -0.0006395029389522, 0.132568899360227, -0.2204299433480973, -0.0191793588075117]|2330.5968826373400589|      0.12500000|[189, 49, 17, 34]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      18|[-0.1410634647064512, -0.0539478901552118, 0.0676492384780692, 0.0151439199153895, 0.7810517569485492, -0.0006395029389522, 0.132568899360227, -0.2204299433480973, -0.0191793588075117]|2330.5968826373400589|      0.06250000|[201, 51, 18, 36]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      19|[-0.1410634647064512, -0.0539478901552118, 0.0676492384780692, 0.0151439199153895, 0.7810517569485492, -0.0006395029389522, 0.132568899360227, -0.2204299433480973, -0.0191793588075117]|2330.5968826373400589|      0.03125000|[213, 53, 19, 38]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
      20|[-0.1400285447316807, -0.06620495056445, 0.0637510858956285, 0.0100543360804795, 0.7973627850131798, 0.0119838096002209, 0.1253637534437189, -0.2172941080513037, -0.001945345725007]|1647.5112337902669424|      0.06250000|[225, 55, 20, 40]                                                          |  | used linear model with 14 points | iterate success | actual_k=4
      21|[-0.1400285447316807, -0.06620495056445, 0.0637510858956285, 0.0100543360804795, 0.7973627850131798, 0.0119838096002209, 0.1253637534437189, -0.2172941080513037, -0.001945345725007]|1647.5112337902669424|      0.03125000|[235, 59, 21, 42]                                                          |  | used linear model with 14 points | iterate failure | actual_k=4
