k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.310832748878584, 10.33020616202843, 9.355009774849103]                       |45099844.0098869428038597|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[9.310832748878584, 10.33020616202843, 9.355009774849103]                       |45099844.0098869428038597|      1.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[8.992295296086294, 9.79790608574227, 8.570668956101063]                        |21416120.2660247199237347|      2.00000000|[9, 3, 3, 6]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       4|[8.992295296086294, 9.79790608574227, 8.570668956101063]                        |21416120.2660247199237347|      1.00000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[8.878299084137529, 10.338225238662453, 7.736966325273411]                      |7775137.1588356094434857|      2.00000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       6|[9.56306180888296, 11.118755281584267, 6.027617658998539]                       |1669186.6460283985361457|      4.00000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       7|[9.56306180888296, 11.118755281584267, 6.027617658998539]                       |1669186.6460283985361457|      2.00000000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[9.123855545951859, 10.178807468121828, 4.317765043546178]                      |1276429.7071589038241655|      4.00000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       9|[9.123855545951859, 10.178807468121828, 4.317765043546178]                      |1276429.7071589038241655|      2.00000000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[8.867321385566441, 9.015658141173297, 5.924399372749475]                       |1076794.5007608816958964|      4.00000000|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=1
      11|[8.867321385566441, 9.015658141173297, 5.924399372749475]                       |1076794.5007608816958964|      2.00000000|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[7.98877177286562, 7.2208735647715265, 5.8413397415586585]                      |979519.0662145311944187|      4.00000000|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      13|[6.351000302111602, 7.998063702829663, 2.2757149577529656]                      |333000.0850407437537797|      8.00000000|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      14|[6.351000302111602, 7.998063702829663, 2.2757149577529656]                      |333000.0850407437537797|      4.00000000|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[7.4983881732788245, 4.329886919344737, 3.3838576192368253]                     |50468.7626164545145002|      8.00000000|[46, 14, 15, 30]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
