k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[88, 12, 1, 8]                                                             |  | used linear model with 100 points | iterate failure | actual_k=2
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[176, 24, 2, 16]                                                           |  | used linear model with 100 points | iterate failure | actual_k=2
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[263, 37, 3, 24]                                                           |  | used linear model with 100 points | iterate failure | actual_k=2
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[351, 49, 4, 32]                                                           |  | used linear model with 100 points | iterate failure | actual_k=2
       5|[1.020196852500371, 0.0184331464051387, 1.8887002966998747, 0.0120476892134958, 0.0213141047563699, 2.0019666355896857, 0.4342522335739512, 0.0338604639217163, 2.1174667665622278, 0.8046668562511244, 0.016074492096379, 2.1580547712686386, 0.2272306196406719, 0.0201630738638051, 2.2210029803806477, 2.6911511883773027, 0.0174848210493257, 2.2849930160506142, 0.812011378739602, 0.0196852779157691, 2.3927988049154663, 2.269748277348731, 0.0224901819892705, 2.4912193606256787, 14.351980542967386, 0.0527896874499562, 2.5582363464648448, 12.159046433869763, 0.0501777641266485, 2.7013160305379, 0.2670750296554423, 0.0200165507161384, 2.9474275624505157, 0.2442074615053308, 0.02000854385125, 2.9732775005895475, 1.1714797499931249, 0.0174074202748271, 3.135454672871205, 0.1755788945642032, 0.0153456371536619, 3.2283553451080613, 0.1158330005978922, 0.0203156564234446, 3.247405936173017, 3.741631405642591, 0.029116325387163, 3.38295223366423, 0.8329689414985119, 0.0162920560172982, 3.6626190941079564, 0.1577570609502671, 0.0175336307951132, 3.713137782044165, 0.3921916112157046, 0.0220500129551943, 3.8369336559649785, 0.9272622011238999, 0.0208143276905071, 3.9637262605553216, 0.2567812601155481, 0.0197910688515058, 4.049879246418516, 2.077677976561728, 0.0161235782110131, 4.176810252045156, 1.9441652770607352, 0.0203033677213536, 4.421746670555272, 1.4873431298841726, 0.013477342833919, 4.553691072958005, 0.4822394546145298, 0.0280950557533541, 4.608692031108322, 0.4884206704953242, 0.0161944160368916, 4.702203525085194, 0.3321020101908591, 0.0142101170848749, 4.801018906939759, 0.8426477163506287, 0.0189799248986715, 4.965618122401269, 0.4636504536640524, 0.0107527368009851, 5.394923489336038, 0.4872212500415475, 0.0233278098064828, 5.420998305110485, 0.988106806094669, 0.0178773962573696, 2.5869630016037295, -0.0228663070475735, 0.0264944025479081, 3.8666268055943074, 0.2608296671703605, 0.021850277943215, 5.193870390111168]|2360372.3075236128643155|      0.12500000|[438, 62, 5, 40]                                                           |  | used linear model with 100 points | iterate success | actual_k=2
       6|[1.020196852500371, 0.0184331464051387, 1.8887002966998747, 0.0120476892134958, 0.0213141047563699, 2.0019666355896857, 0.4342522335739512, 0.0338604639217163, 2.1174667665622278, 0.8046668562511244, 0.016074492096379, 2.1580547712686386, 0.2272306196406719, 0.0201630738638051, 2.2210029803806477, 2.6911511883773027, 0.0174848210493257, 2.2849930160506142, 0.812011378739602, 0.0196852779157691, 2.3927988049154663, 2.269748277348731, 0.0224901819892705, 2.4912193606256787, 14.351980542967386, 0.0527896874499562, 2.5582363464648448, 12.159046433869763, 0.0501777641266485, 2.7013160305379, 0.2670750296554423, 0.0200165507161384, 2.9474275624505157, 0.2442074615053308, 0.02000854385125, 2.9732775005895475, 1.1714797499931249, 0.0174074202748271, 3.135454672871205, 0.1755788945642032, 0.0153456371536619, 3.2283553451080613, 0.1158330005978922, 0.0203156564234446, 3.247405936173017, 3.741631405642591, 0.029116325387163, 3.38295223366423, 0.8329689414985119, 0.0162920560172982, 3.6626190941079564, 0.1577570609502671, 0.0175336307951132, 3.713137782044165, 0.3921916112157046, 0.0220500129551943, 3.8369336559649785, 0.9272622011238999, 0.0208143276905071, 3.9637262605553216, 0.2567812601155481, 0.0197910688515058, 4.049879246418516, 2.077677976561728, 0.0161235782110131, 4.176810252045156, 1.9441652770607352, 0.0203033677213536, 4.421746670555272, 1.4873431298841726, 0.013477342833919, 4.553691072958005, 0.4822394546145298, 0.0280950557533541, 4.608692031108322, 0.4884206704953242, 0.0161944160368916, 4.702203525085194, 0.3321020101908591, 0.0142101170848749, 4.801018906939759, 0.8426477163506287, 0.0189799248986715, 4.965618122401269, 0.4636504536640524, 0.0107527368009851, 5.394923489336038, 0.4872212500415475, 0.0233278098064828, 5.420998305110485, 0.988106806094669, 0.0178773962573696, 2.5869630016037295, -0.0228663070475735, 0.0264944025479081, 3.8666268055943074, 0.2608296671703605, 0.021850277943215, 5.193870390111168]|2360372.3075236128643155|      0.06250000|[525, 75, 6, 48]                                                           |  | used linear model with 100 points | iterate failure | actual_k=2
       7|[1.0080452173102088, 0.0173590032214189, 1.880993828417305, 0.0148693734471327, 0.0135191983194307, 2.002388886598168, 0.440945634337909, 0.034652248949139, 2.120762812269988, 0.7993492665052235, 0.0153674673645515, 2.1651631505501157, 0.2244920716694331, 0.0241223887062075, 2.2121810645860482, 2.694797264289585, 0.0308045902004582, 2.2881979339243634, 0.8198542340443867, 0.0196049516192088, 2.393040508762939, 2.2598556782084662, 0.0382817253999806, 2.4886927058585178, 14.358811951600389, 0.0730947657697718, 2.555667447956865, 12.167810091624737, 0.0697615456959058, 2.7094312299438355, 0.2618858935519674, 0.0217466030571783, 2.94515476022431, 0.2448615216560901, 0.0205714963576671, 2.971186442234132, 1.1708747985624732, 0.0200768402769067, 3.134710439656169, 0.1711041036019614, 0.0106399702108807, 3.2254943934360267, 0.1187902069080128, 0.0226030786566965, 3.2415961866275143, 3.7361524521908547, 0.032088931875829, 3.371909293801869, 0.8402787646596501, 0.0134942213999312, 3.6572537186513356, 0.163586227629337, 0.0183555046258783, 3.717962528218047, 0.3919438958899514, 0.0218582234318059, 3.8460435897353697, 0.9241609838670902, 0.0212550047210239, 3.9665244873269727, 0.2601481077268316, 0.0138939970810755, 4.042979553846391, 2.0853226437350725, 0.0145856089223938, 4.174244140514348, 1.939006377108288, 0.0136761147436434, 4.417343108934215, 1.482154214611854, 0.0248041953466098, 4.554696605808017, 0.4842560258306441, 0.0272355969829885, 4.602730253412863, 0.4928014089797406, 0.0151261834595525, 4.697622837672913, 0.3320684309252396, 0.0053415264025225, 4.793679282874013, 0.8399803142991258, 0.0206732839722932, 4.966702111353435, 0.4601885348255484, 0.0093876807696775, 5.391137209903369, 0.495995880387282, 0.017202250182212, 5.423758088601069, 0.9882330171992668, 0.0177027038604469, 2.584740108450246, -0.0173847377123706, 0.0326890614743739, 3.854521603832795, 0.2615344284586069, 0.0280957140795385, 5.180217590736736]|1993085.0751747232861817|      0.12500000|[613, 87, 7, 56]                                                           |  | used linear model with 100 points | iterate success | actual_k=2
       8|[0.9971755298631305, 0.0407947063220261, 1.9002098931567377, 0.0284764373432987, 0.0016546094482543, 1.9982327573442265, 0.447177054200994, 0.0283462605380184, 2.108906575607587, 0.7981033053884823, 0.0274501669397492, 2.1722809087197117, 0.2318080834025988, 0.004717735609697, 2.205793029178615, 2.690225334778664, 0.0116884855847913, 2.304312456741042, 0.8064470597623445, 0.0140619364123129, 2.383383244211349, 2.269867773988567, 0.0249147228298399, 2.4926076642783865, 14.366238809431298, 0.1084376394715415, 2.5419108818182896, 12.14968173036873, 0.1034898799181719, 2.7288471826659744, 0.2580720555880765, 0.0245976260026384, 2.940581026804564, 0.2503500394395695, 0.0165324082975428, 2.9692253840469376, 1.1733437265412618, 0.0134931194657346, 3.1485728256567875, 0.1893091286390825, 0.0085084599040795, 3.2005985407338486, 0.1247432376447155, 0.0289840790880787, 3.2470180664855186, 3.7315746538579306, 0.0494279723386378, 3.3832127067006814, 0.8233532242981785, 0.0174067656724369, 3.6513888690341476, 0.1694117198296345, 0.0031964551127132, 3.7231212336182566, 0.390748735217175, 0.0175552648939476, 3.8550610939553684, 0.914222990539185, 0.0231564756321687, 3.9762387606668903, 0.2671131765037165, 0.0245732149956519, 4.049871247934863, 2.084906937044494, 0.0428775608677761, 4.170647647351209, 1.9335747398974386, 0.0119945404915351, 4.432166139857783, 1.4870230922081282, 0.0285132611372418, 4.552546509702978, 0.4564012273352169, 0.0130466436117588, 4.607995636660851, 0.4872591647887927, -0.0039905196721256, 4.702946496135292, 0.328694196164584, -0.0001071835856153, 4.796950006085746, 0.8656231588252127, 0.023505513550048, 4.976472867878088, 0.4609246117472084, -0.0192205059293301, 5.390440903702607, 0.4910648109964161, 0.0134992877347993, 5.423463656903312, 0.9852720615098255, 0.0308593146696129, 2.566670118454447, -0.0046251389862042, 0.0433350548920958, 3.867943258629598, 0.2432092670257705, 0.0197633916809862, 5.194982876083721]|1671556.2446119994856417|      0.25000000|[701, 99, 8, 64]                                                           |  | used linear model with 100 points | iterate success | actual_k=2
       9|[0.9971755298631305, 0.0407947063220261, 1.9002098931567377, 0.0284764373432987, 0.0016546094482543, 1.9982327573442265, 0.447177054200994, 0.0283462605380184, 2.108906575607587, 0.7981033053884823, 0.0274501669397492, 2.1722809087197117, 0.2318080834025988, 0.004717735609697, 2.205793029178615, 2.690225334778664, 0.0116884855847913, 2.304312456741042, 0.8064470597623445, 0.0140619364123129, 2.383383244211349, 2.269867773988567, 0.0249147228298399, 2.4926076642783865, 14.366238809431298, 0.1084376394715415, 2.5419108818182896, 12.14968173036873, 0.1034898799181719, 2.7288471826659744, 0.2580720555880765, 0.0245976260026384, 2.940581026804564, 0.2503500394395695, 0.0165324082975428, 2.9692253840469376, 1.1733437265412618, 0.0134931194657346, 3.1485728256567875, 0.1893091286390825, 0.0085084599040795, 3.2005985407338486, 0.1247432376447155, 0.0289840790880787, 3.2470180664855186, 3.7315746538579306, 0.0494279723386378, 3.3832127067006814, 0.8233532242981785, 0.0174067656724369, 3.6513888690341476, 0.1694117198296345, 0.0031964551127132, 3.7231212336182566, 0.390748735217175, 0.0175552648939476, 3.8550610939553684, 0.914222990539185, 0.0231564756321687, 3.9762387606668903, 0.2671131765037165, 0.0245732149956519, 4.049871247934863, 2.084906937044494, 0.0428775608677761, 4.170647647351209, 1.9335747398974386, 0.0119945404915351, 4.432166139857783, 1.4870230922081282, 0.0285132611372418, 4.552546509702978, 0.4564012273352169, 0.0130466436117588, 4.607995636660851, 0.4872591647887927, -0.0039905196721256, 4.702946496135292, 0.328694196164584, -0.0001071835856153, 4.796950006085746, 0.8656231588252127, 0.023505513550048, 4.976472867878088, 0.4609246117472084, -0.0192205059293301, 5.390440903702607, 0.4910648109964161, 0.0134992877347993, 5.423463656903312, 0.9852720615098255, 0.0308593146696129, 2.566670118454447, -0.0046251389862042, 0.0433350548920958, 3.867943258629598, 0.2432092670257705, 0.0197633916809862, 5.194982876083721]|1671556.2446119994856417|      0.12500000|[789, 111, 9, 72]                                                          |  | used linear model with 100 points | iterate failure | actual_k=2
      10|[0.9971755298631305, 0.0407947063220261, 1.9002098931567377, 0.0284764373432987, 0.0016546094482543, 1.9982327573442265, 0.447177054200994, 0.0283462605380184, 2.108906575607587, 0.7981033053884823, 0.0274501669397492, 2.1722809087197117, 0.2318080834025988, 0.004717735609697, 2.205793029178615, 2.690225334778664, 0.0116884855847913, 2.304312456741042, 0.8064470597623445, 0.0140619364123129, 2.383383244211349, 2.269867773988567, 0.0249147228298399, 2.4926076642783865, 14.366238809431298, 0.1084376394715415, 2.5419108818182896, 12.14968173036873, 0.1034898799181719, 2.7288471826659744, 0.2580720555880765, 0.0245976260026384, 2.940581026804564, 0.2503500394395695, 0.0165324082975428, 2.9692253840469376, 1.1733437265412618, 0.0134931194657346, 3.1485728256567875, 0.1893091286390825, 0.0085084599040795, 3.2005985407338486, 0.1247432376447155, 0.0289840790880787, 3.2470180664855186, 3.7315746538579306, 0.0494279723386378, 3.3832127067006814, 0.8233532242981785, 0.0174067656724369, 3.6513888690341476, 0.1694117198296345, 0.0031964551127132, 3.7231212336182566, 0.390748735217175, 0.0175552648939476, 3.8550610939553684, 0.914222990539185, 0.0231564756321687, 3.9762387606668903, 0.2671131765037165, 0.0245732149956519, 4.049871247934863, 2.084906937044494, 0.0428775608677761, 4.170647647351209, 1.9335747398974386, 0.0119945404915351, 4.432166139857783, 1.4870230922081282, 0.0285132611372418, 4.552546509702978, 0.4564012273352169, 0.0130466436117588, 4.607995636660851, 0.4872591647887927, -0.0039905196721256, 4.702946496135292, 0.328694196164584, -0.0001071835856153, 4.796950006085746, 0.8656231588252127, 0.023505513550048, 4.976472867878088, 0.4609246117472084, -0.0192205059293301, 5.390440903702607, 0.4910648109964161, 0.0134992877347993, 5.423463656903312, 0.9852720615098255, 0.0308593146696129, 2.566670118454447, -0.0046251389862042, 0.0433350548920958, 3.867943258629598, 0.2432092670257705, 0.0197633916809862, 5.194982876083721]|1671556.2446119994856417|      0.06250000|[876, 124, 10, 80]                                                         |  | used linear model with 100 points | iterate failure | actual_k=2
      11|[0.9971755298631305, 0.0407947063220261, 1.9002098931567377, 0.0284764373432987, 0.0016546094482543, 1.9982327573442265, 0.447177054200994, 0.0283462605380184, 2.108906575607587, 0.7981033053884823, 0.0274501669397492, 2.1722809087197117, 0.2318080834025988, 0.004717735609697, 2.205793029178615, 2.690225334778664, 0.0116884855847913, 2.304312456741042, 0.8064470597623445, 0.0140619364123129, 2.383383244211349, 2.269867773988567, 0.0249147228298399, 2.4926076642783865, 14.366238809431298, 0.1084376394715415, 2.5419108818182896, 12.14968173036873, 0.1034898799181719, 2.7288471826659744, 0.2580720555880765, 0.0245976260026384, 2.940581026804564, 0.2503500394395695, 0.0165324082975428, 2.9692253840469376, 1.1733437265412618, 0.0134931194657346, 3.1485728256567875, 0.1893091286390825, 0.0085084599040795, 3.2005985407338486, 0.1247432376447155, 0.0289840790880787, 3.2470180664855186, 3.7315746538579306, 0.0494279723386378, 3.3832127067006814, 0.8233532242981785, 0.0174067656724369, 3.6513888690341476, 0.1694117198296345, 0.0031964551127132, 3.7231212336182566, 0.390748735217175, 0.0175552648939476, 3.8550610939553684, 0.914222990539185, 0.0231564756321687, 3.9762387606668903, 0.2671131765037165, 0.0245732149956519, 4.049871247934863, 2.084906937044494, 0.0428775608677761, 4.170647647351209, 1.9335747398974386, 0.0119945404915351, 4.432166139857783, 1.4870230922081282, 0.0285132611372418, 4.552546509702978, 0.4564012273352169, 0.0130466436117588, 4.607995636660851, 0.4872591647887927, -0.0039905196721256, 4.702946496135292, 0.328694196164584, -0.0001071835856153, 4.796950006085746, 0.8656231588252127, 0.023505513550048, 4.976472867878088, 0.4609246117472084, -0.0192205059293301, 5.390440903702607, 0.4910648109964161, 0.0134992877347993, 5.423463656903312, 0.9852720615098255, 0.0308593146696129, 2.566670118454447, -0.0046251389862042, 0.0433350548920958, 3.867943258629598, 0.2432092670257705, 0.0197633916809862, 5.194982876083721]|1671556.2446119994856417|      0.03125000|[963, 137, 11, 88]                                                         |  | used linear model with 100 points | iterate failure | actual_k=2
