k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[98.68717710937351, 36.1536755705059, 269.2899496923578]                        |231811.0906831689644605|      2.00000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       2|[100.05789621696331, 36.46935601927459, 267.86816384971013]                     |225215.3331479656044394|      4.00000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       3|[102.79582820686173, 37.07720027725372, 265.0161025290628]                      |212307.1309110205038451|      8.00000000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       4|[108.26086109561379, 37.637037328314484, 259.2006061615015]                     |187709.5547922203841154|     16.00000000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       5|[119.70424567319793, 39.345178890878394, 248.14930751329953]                    |142942.4565318942768499|     32.00000000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       6|[136.11036137345897, 53.599221107545596, 224.66182897440316]                    |74616.3075661536859116|     64.00000000|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       7|[183.29093927562636, 64.18003005422611, 182.73284674431127]                     |2898.0685904750193913|    128.00000000|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
       8|[183.29093927562636, 64.18003005422611, 182.73284674431127]                     |2898.0685904750193913|     64.00000000|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[183.29093927562636, 64.18003005422611, 182.73284674431127]                     |2898.0685904750193913|     32.00000000|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[183.29093927562636, 64.18003005422611, 182.73284674431127]                     |2898.0685904750193913|     16.00000000|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[195.1485274444594, 67.55490346216523, 172.53442371431612]                      |177.4620908941213031|     32.00000000|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      12|[195.1485274444594, 67.55490346216523, 172.53442371431612]                      |177.4620908941213031|     16.00000000|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[195.1485274444594, 67.55490346216523, 172.53442371431612]                      |177.4620908941213031|      8.00000000|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      14|[195.1485274444594, 67.55490346216523, 172.53442371431612]                      |177.4620908941213031|      4.00000000|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[195.1485274444594, 67.55490346216523, 172.53442371431612]                      |177.4620908941213031|      2.00000000|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
