k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[43, 12, 1, 5]                                                             |  | used quadratic model with 55 points | iterate failure | actual_k=4
       2|[-0.1152409834822433, -0.0059662234299979, -0.0369158594575262, 0.0203240679577733, 0.4599622102148653, -0.1262983590168077, 0.0628354314585733, 0.0310748004058493, -0.0497757622066993]|113688.6121924538165331|      1.00000000|[86, 24, 2, 10]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=4
       3|[-0.1152409834822433, -0.0059662234299979, -0.0369158594575262, 0.0203240679577733, 0.4599622102148653, -0.1262983590168077, 0.0628354314585733, 0.0310748004058493, -0.0497757622066993]|113688.6121924538165331|      0.50000000|[128, 37, 3, 15]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       4|[-0.0547236105774591, 0.0043750143303446, -0.1254527571637591, -0.0757126089717138, 0.6594238024146495, 0.2132291064599957, 0.0168566212796517, -0.1200880498457619, 0.1719014715128453]|67240.3536728816252435|      1.00000000|[169, 51, 4, 20]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=4
       5|[-0.0547236105774591, 0.0043750143303446, -0.1254527571637591, -0.0757126089717138, 0.6594238024146495, 0.2132291064599957, 0.0168566212796517, -0.1200880498457619, 0.1719014715128453]|67240.3536728816252435|      0.50000000|[211, 64, 5, 25]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       6|[-0.0547236105774591, 0.0043750143303446, -0.1254527571637591, -0.0757126089717138, 0.6594238024146495, 0.2132291064599957, 0.0168566212796517, -0.1200880498457619, 0.1719014715128453]|67240.3536728816252435|      0.25000000|[254, 76, 6, 30]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       7|[-0.0423230957390852, 0.0002241896772256, -0.1497366261294232, 0.0542907019545841, 0.7390104041337637, 0.0379426001015227, -0.0193969696202461, -0.1396930902607843, 0.2498781590247767]|9962.6441599118134036|      0.50000000|[295, 90, 7, 35]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=4
       8|[-0.0423230957390852, 0.0002241896772256, -0.1497366261294232, 0.0542907019545841, 0.7390104041337637, 0.0379426001015227, -0.0193969696202461, -0.1396930902607843, 0.2498781590247767]|9962.6441599118134036|      0.25000000|[335, 105, 8, 40]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=4
       9|[-0.0423230957390852, 0.0002241896772256, -0.1497366261294232, 0.0542907019545841, 0.7390104041337637, 0.0379426001015227, -0.0193969696202461, -0.1396930902607843, 0.2498781590247767]|9962.6441599118134036|      0.12500000|[376, 119, 9, 45]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=4
      10|[-0.0595828808395217, -0.005972817250517, -0.1349896070765467, -0.0362014918521159, 0.7708746827072147, -0.0117573502492401, -0.0280016359537194, -0.191303262996254, 0.2755553412330876]|5556.2326260852451014|      0.25000000|[416, 134, 10, 50]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
      11|[-0.0595828808395217, -0.005972817250517, -0.1349896070765467, -0.0362014918521159, 0.7708746827072147, -0.0117573502492401, -0.0280016359537194, -0.191303262996254, 0.2755553412330876]|5556.2326260852451014|      0.12500000|[459, 146, 11, 55]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      12|[-0.0595828808395217, -0.005972817250517, -0.1349896070765467, -0.0362014918521159, 0.7708746827072147, -0.0117573502492401, -0.0280016359537194, -0.191303262996254, 0.2755553412330876]|5556.2326260852451014|      0.06250000|[500, 160, 12, 60]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      13|[-0.0705171909542709, -0.0048580849759808, -0.1417991994769215, 0.0059718451874317, 0.7976623913722227, 0.0222487277697056, -0.0332157548641922, -0.1878289519812911, 0.2686825850343806]|1749.0643823087018518|      0.12500000|[542, 173, 13, 65]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
      14|[-0.0705171909542709, -0.0048580849759808, -0.1417991994769215, 0.0059718451874317, 0.7976623913722227, 0.0222487277697056, -0.0332157548641922, -0.1878289519812911, 0.2686825850343806]|1749.0643823087018518|      0.06250000|[584, 186, 14, 70]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      15|[-0.0705171909542709, -0.0048580849759808, -0.1417991994769215, 0.0059718451874317, 0.7976623913722227, 0.0222487277697056, -0.0332157548641922, -0.1878289519812911, 0.2686825850343806]|1749.0643823087018518|      0.03125000|[626, 199, 15, 75]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      16|[-0.0677444095335255, -0.0029367213516686, -0.1424758339770117, -0.0105824326847473, 0.8227514931796968, 0.0164610047296847, -0.0287293321396853, -0.1850789018292028, 0.2688530629043649]|1103.8986000278771371|      0.06250000|[668, 212, 16, 80]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
      17|[-0.0677444095335255, -0.0029367213516686, -0.1424758339770117, -0.0105824326847473, 0.8227514931796968, 0.0164610047296847, -0.0287293321396853, -0.1850789018292028, 0.2688530629043649]|1103.8986000278771371|      0.03125000|[709, 226, 17, 85]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      18|[-0.0677444095335255, -0.0029367213516686, -0.1424758339770117, -0.0105824326847473, 0.8227514931796968, 0.0164610047296847, -0.0287293321396853, -0.1850789018292028, 0.2688530629043649]|1103.8986000278771371|      0.01562500|[750, 240, 18, 90]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
