k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[113, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[225, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[337, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[449, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.03125000|[561, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[1.021586624539494, 0.0187162841785907, 1.8898833176089667, 0.0150507265553438, 0.0172909756178937, 2.002741685520967, 0.428803350737971, 0.0205469304114398, 2.1232065878003765, 0.8017073842712302, 0.0246546251548628, 2.1672692624799383, 0.220090657317522, 0.0161145275816488, 2.2185571254843017, 2.6923957817661353, 0.0221119441760853, 2.28219468925345, 0.807372505568594, 0.0187478905674067, 2.385410752280144, 2.268527473027488, 0.0232608253402512, 2.4839074405032515, 14.353489964496095, 0.0354441772384195, 2.5546687547178, 12.158221402214828, 0.0352213302327687, 2.708991468447494, 0.280537567058528, 0.0204261130642167, 2.943276116561345, 0.2441186530376586, 0.0220676639006888, 2.964382158686099, 1.1667552732395956, 0.0187582591504396, 3.1290479543609844, 0.1794987560701654, 0.0177843764812071, 3.2287132861290906, 0.1111964502803678, 0.0201816412027726, 3.2542007392268117, 3.745173457152137, 0.0200025684663274, 3.384548068025637, 0.8340723136270841, 0.0217516410882488, 3.6642955999694133, 0.1583246300966189, 0.0229904239415629, 3.7234042320254486, 0.3907363363083892, 0.021462618542401, 3.8319476920405027, 0.9195714288181849, 0.0212166516019746, 3.960961309099726, 0.2626482692920697, 0.021487364971177, 4.05174176452672, 2.072606433492856, 0.0204339101230428, 4.174927452130768, 1.942291973614716, 0.0191805962560607, 4.430174551998249, 1.481886120034201, 0.0226341742025347, 4.558047801712412, 0.4807607491254843, 0.0177487488110228, 4.601036007621398, 0.4971154740906631, 0.0170608764098213, 4.706046101382998, 0.3277931254524366, 0.0194058991857321, 4.80285125691704, 0.8380355507302435, 0.0204379145990345, 4.968469730080206, 0.460936104740269, 0.020392701724604, 5.399033700151219, 0.4924363156691782, 0.0199307751314667, 5.420060955417059, 0.9854903871360353, 0.02110094679018, 2.5837238312203517, -0.0178188093800412, 0.0207354513104989, 3.858655459025598, 0.2643115863902153, 0.0226680148791217, 5.196796192817037]|2772065.7500000000000000|      0.06250000|[673, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.0115064579603983, 0.0199146945513856, 1.8877870554015597, 0.0083346608722889, 0.0118491588573183, 2.004178729265723, 0.4269435448605152, 0.0268956179518904, 2.118327665828882, 0.7935225018916519, 0.0284642625534532, 2.1640326996843227, 0.2226199327823317, 0.0149175315078178, 2.209022913050525, 2.6876392241287386, 0.0272208974924949, 2.2871784096100924, 0.816730795806959, 0.0257433122457146, 2.380105529832489, 2.274280322916652, 0.0264328941366689, 2.482300104483649, 14.358009618913094, 0.0598333942060395, 2.5573574054957886, 12.151272507027295, 0.0414644495437562, 2.705984096221537, 0.273007422192578, 0.0216958908235216, 2.9484065206033403, 0.2453021779919579, 0.0126044203019745, 2.957567062748599, 1.1711539317714956, 0.0139615408436323, 3.133244427238169, 0.1897204792051157, 0.0148552453069099, 3.228540883163817, 0.1248284475056359, 0.0092423751423463, 3.2496783234641264, 3.7391881290119224, 0.0310613649778421, 3.3792809158739443, 0.8331352041511029, 0.0203600832387329, 3.661036077458884, 0.1620678633683113, 0.0197847800884116, 3.7347255514956714, 0.3930817664938992, 0.0253212710606253, 3.8257605308106903, 0.9104502717013245, 0.0186454218158762, 3.9687924906145007, 0.2553227948940763, 0.014434235068596, 4.050680746284689, 2.075277332259064, 0.0245398847117383, 4.16080150276414, 1.9475385338934517, 0.0233536200948625, 4.428825597268117, 1.4882928266044917, 0.0240408202904551, 4.551600901394461, 0.4785322042083647, 0.016899265635897, 4.593401718123473, 0.4913308887914865, 0.0208856655862742, 4.701866906178193, 0.328095340367319, 0.0100936525980758, 4.810777308286233, 0.8459491825323482, 0.0237449404535719, 4.961136999378935, 0.4657667221317969, 0.0174317174418199, 5.39018368527199, 0.4922810449192195, 0.0194828679288264, 5.423349713698877, 0.9815246502281173, 0.0233555755375636, 2.581951716092481, -0.0264890855977263, 0.0171186166822892, 3.8647847563152524, 0.2688276151351842, 0.0269320540494333, 5.198422461168505]|2255705.7500000000000000|      0.12500000|[785, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       8|[1.0115064579603983, 0.0199146945513856, 1.8877870554015597, 0.0083346608722889, 0.0118491588573183, 2.004178729265723, 0.4269435448605152, 0.0268956179518904, 2.118327665828882, 0.7935225018916519, 0.0284642625534532, 2.1640326996843227, 0.2226199327823317, 0.0149175315078178, 2.209022913050525, 2.6876392241287386, 0.0272208974924949, 2.2871784096100924, 0.816730795806959, 0.0257433122457146, 2.380105529832489, 2.274280322916652, 0.0264328941366689, 2.482300104483649, 14.358009618913094, 0.0598333942060395, 2.5573574054957886, 12.151272507027295, 0.0414644495437562, 2.705984096221537, 0.273007422192578, 0.0216958908235216, 2.9484065206033403, 0.2453021779919579, 0.0126044203019745, 2.957567062748599, 1.1711539317714956, 0.0139615408436323, 3.133244427238169, 0.1897204792051157, 0.0148552453069099, 3.228540883163817, 0.1248284475056359, 0.0092423751423463, 3.2496783234641264, 3.7391881290119224, 0.0310613649778421, 3.3792809158739443, 0.8331352041511029, 0.0203600832387329, 3.661036077458884, 0.1620678633683113, 0.0197847800884116, 3.7347255514956714, 0.3930817664938992, 0.0253212710606253, 3.8257605308106903, 0.9104502717013245, 0.0186454218158762, 3.9687924906145007, 0.2553227948940763, 0.014434235068596, 4.050680746284689, 2.075277332259064, 0.0245398847117383, 4.16080150276414, 1.9475385338934517, 0.0233536200948625, 4.428825597268117, 1.4882928266044917, 0.0240408202904551, 4.551600901394461, 0.4785322042083647, 0.016899265635897, 4.593401718123473, 0.4913308887914865, 0.0208856655862742, 4.701866906178193, 0.328095340367319, 0.0100936525980758, 4.810777308286233, 0.8459491825323482, 0.0237449404535719, 4.961136999378935, 0.4657667221317969, 0.0174317174418199, 5.39018368527199, 0.4922810449192195, 0.0194828679288264, 5.423349713698877, 0.9815246502281173, 0.0233555755375636, 2.581951716092481, -0.0264890855977263, 0.0171186166822892, 3.8647847563152524, 0.2688276151351842, 0.0269320540494333, 5.198422461168505]|2255705.7500000000000000|      0.06250000|[897, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       9|[1.0141962020098705, 0.0284117800491429, 1.8897314459544488, -0.0005346809124861, 0.0040938070554655, 2.011251353204337, 0.4221565087182744, 0.0339607216598104, 2.116243921282665, 0.791369499308297, 0.0248116049343579, 2.167912930438745, 0.2266197312277245, 0.0034629729309937, 2.2106828758781147, 2.698189743038118, 0.0293925720035663, 2.290454277416974, 0.8197984661648613, 0.0335504137451329, 2.383023212667928, 2.27568167388618, 0.032541638432186, 2.480549586799164, 14.357117925498398, 0.0662496736832428, 2.5664673176672856, 12.144872007987212, 0.0634052819242185, 2.7153535063953806, 0.2724256863034799, 0.0237435076522696, 2.9433907588542043, 0.2570378708286917, 0.0096600062450558, 2.956229273189894, 1.1723773856944952, 0.015709004015199, 3.13448103714582, 0.1908096863902181, 0.0082971322769089, 3.228608339006495, 0.1302709093193952, 0.0043575284601708, 3.2522035608322577, 3.7357412485256423, 0.0306821788847359, 3.3791246615018493, 0.8423001938425683, 0.0176347649194531, 3.6752416896100586, 0.1604948222951659, 0.0403942730600358, 3.7348756399961784, 0.3940046512033969, 0.0278862171281601, 3.8147313474829514, 0.9127536351051575, 0.0206787239773569, 3.9684523099341567, 0.2521687835301462, 0.0114856470401683, 4.047147077511115, 2.07956275043531, 0.0318923577272784, 4.160462805087595, 1.9416211455675647, 0.0357473350680073, 4.426516689421642, 1.489160074323859, 0.0282210520160728, 4.5492246541266095, 0.4798781794984334, 0.02669417440173, 4.589983320006277, 0.4870792877130083, 0.0197083144991854, 4.702199643450228, 0.3275670728594828, 0.0202861893957714, 4.811448052807261, 0.839062607516093, 0.0279298885243762, 4.969538770334482, 0.4659594642531257, 0.0100137261334874, 5.393942202425058, 0.4918137050918589, 0.0244795075454173, 5.4247179717363565, 0.9826658509765241, 0.0214713052108951, 2.5827640868724573, -0.0268146866551189, -0.0002358506225281, 3.8653005336310082, 0.2677322604243029, 0.0184965758332456, 5.206513854999846]|2013190.8750000000000000|      0.12500000|[1009, 144, 0, 18]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      10|[1.0135615335070853, 0.0280373387462285, 1.8858817606050275, 0.0051034334358174, 0.0086470969450778, 2.0156149276281456, 0.4099120098448819, 0.0370802777579473, 2.1130200635784173, 0.7774132985372927, 0.0256186978703702, 2.181242195683156, 0.237270343833961, -0.0068662306899173, 2.217038685390979, 2.70487733765383, 0.0451853766852694, 2.274372693240067, 0.8100641307081183, 0.0340755646627959, 2.3987022653917265, 2.2716543731223795, 0.0203219496465108, 2.4673230549929612, 14.351855411080557, 0.1104025172839287, 2.557208832442916, 12.165814137804455, 0.0955897256644611, 2.734046573192097, 0.2687444313987176, 0.0348842774014854, 2.933712521214154, 0.2653751812280068, 0.0141439020832317, 2.967194498713343, 1.1721377039385683, 0.006803356245505, 3.115643697018214, 0.2030669327894195, -0.0134447332417273, 3.2411454629335013, 0.1213916304040698, 0.0176602881592991, 3.2528676453242564, 3.715782366242282, 0.0279640769345928, 3.379181343846817, 0.8368277152614898, 0.0096063677953925, 3.679820318556395, 0.1448544315384456, 0.0185333086510466, 3.7371784113052464, 0.3933925606270292, 0.013022411388651, 3.814540476991128, 0.9006152639578759, 0.0368475525345993, 3.962392211229799, 0.2516180933321558, 0.0174771141058963, 4.043483989818693, 2.0826013586922625, 0.0340853004960066, 4.1595722503755, 1.9553988266512836, 0.0590434532898274, 4.423244273932534, 1.4592013964304618, 0.0416951495010138, 4.549334666715273, 0.48408954039652, 0.0200290828404652, 4.591612898495171, 0.453322558847792, 0.0208855758566399, 4.69219046210162, 0.3163657974693531, 0.0311627492041718, 4.809785674952331, 0.8317932274735536, 0.0236755544053069, 4.9988912715679525, 0.4685860233631243, -0.0005110501179732, 5.409676819539966, 0.5013671001848786, 0.0124652602874068, 5.431157980749307, 0.9946250846065875, 0.0187487628907356, 2.5891953308706888, -0.0353106092247741, 0.0049090038435626, 3.858242336773431, 0.2831893574141484, 0.0308754209525729, 5.200226320298056]|1645819.1250000000000000|      0.25000000|[1121, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
