k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.55111852633895, -0.5212446364210466, 0.3588423866841175, -0.2506057559864729, -0.5240326263570914, -0.3578856345240531, -0.2400240034774986]|48831.6837811124496511|      2.00000000|[32, 4, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=2
       2|[9.55111852633895, -0.5212446364210466, 0.3588423866841175, -0.2506057559864729, -0.5240326263570914, -0.3578856345240531, -0.2400240034774986]|48831.6837811124496511|      1.00000000|[64, 8, 2, 8]                                                              |  | used quadratic model with 36 points | iterate failure | actual_k=2
       3|[9.55111852633895, -0.5212446364210466, 0.3588423866841175, -0.2506057559864729, -0.5240326263570914, -0.3578856345240531, -0.2400240034774986]|48831.6837811124496511|      0.50000000|[96, 12, 3, 12]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=2
       4|[9.55111852633895, -0.5212446364210466, 0.3588423866841175, -0.2506057559864729, -0.5240326263570914, -0.3578856345240531, -0.2400240034774986]|48831.6837811124496511|      0.25000000|[127, 17, 4, 16]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       5|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.50000000|[157, 23, 5, 20]                                                           |  | used quadratic model with 36 points | iterate success | actual_k=2
       6|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.25000000|[188, 28, 6, 24]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       7|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.12500000|[219, 33, 7, 28]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       8|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.06250000|[251, 37, 8, 32]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
       9|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.03125000|[282, 42, 9, 36]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=2
      10|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.01562500|[313, 47, 10, 40]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      11|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.00781250|[345, 51, 11, 44]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      12|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.00390625|[377, 55, 12, 48]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      13|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.00195312|[407, 61, 13, 52]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      14|[9.534549910797821, -0.5056696544714491, 0.3448789448125874, -0.3463240160846248, -0.5609235183238783, -0.4150386112564735, -0.0209383187974603]|3444.8088670165075200|      0.00097656|[439, 65, 14, 56]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      15|[9.534520382796583, -0.5055698930716478, 0.3448150682096507, -0.3462495878336044, -0.560864796223079, -0.4150515443039957, -0.019974153488571]|3374.1245712845689013|      0.00195312|[471, 69, 15, 60]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=2
      16|[9.534520382796583, -0.5055698930716478, 0.3448150682096507, -0.3462495878336044, -0.560864796223079, -0.4150515443039957, -0.019974153488571]|3374.1245712845689013|      0.00097656|[502, 74, 16, 64]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      17|[9.534520382796583, -0.5055698930716478, 0.3448150682096507, -0.3462495878336044, -0.560864796223079, -0.4150515443039957, -0.019974153488571]|3374.1245712845689013|      0.00048828|[534, 78, 17, 68]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
      18|[9.534520382796583, -0.5055698930716478, 0.3448150682096507, -0.3462495878336044, -0.560864796223079, -0.4150515443039957, -0.019974153488571]|3374.1245712845689013|      0.00024414|[566, 82, 18, 72]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=2
