k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.284986152433074, -0.9679842660915151, -0.4381677604630489, 0.7510560715756788, -0.3720941489113726, -0.106063352311071, -0.0119457605684036]|1281343.8750000000000000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       2|[10.284986152433074, -0.9679842660915151, -0.4381677604630489, 0.7510560715756788, -0.3720941489113726, -0.106063352311071, -0.0119457605684036]|1281343.8750000000000000|      1.00000000|[70, 5, 0, 5]                                                              |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[9.702705238781993, -1.0928849768124642, -0.4224978961800521, 0.6182204773253626, -0.1000156598215029, 0.3922368866014158, 0.5404382344811581]|48180.0625000000000000|      2.00000000|[98, 7, 0, 7]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       4|[9.702705238781993, -1.0928849768124642, -0.4224978961800521, 0.6182204773253626, -0.1000156598215029, 0.3922368866014158, 0.5404382344811581]|48180.0625000000000000|      1.00000000|[140, 10, 0, 10]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[9.106141040044324, -1.106841392844298, -0.7367361194254012, 1.0009739520338536, 0.4541313887993119, 0.5187802218175535, 0.2655231117552012]|33705.3203125000000000|      2.00000000|[168, 12, 0, 12]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       6|[9.106141040044324, -1.106841392844298, -0.7367361194254012, 1.0009739520338536, 0.4541313887993119, 0.5187802218175535, 0.2655231117552012]|33705.3203125000000000|      1.00000000|[209, 15, 0, 15]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[9.106141040044324, -1.106841392844298, -0.7367361194254012, 1.0009739520338536, 0.4541313887993119, 0.5187802218175535, 0.2655231117552012]|33705.3203125000000000|      0.50000000|[250, 18, 0, 18]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[9.106141040044324, -1.106841392844298, -0.7367361194254012, 1.0009739520338536, 0.4541313887993119, 0.5187802218175535, 0.2655231117552012]|33705.3203125000000000|      0.25000000|[292, 21, 0, 21]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[9.106141040044324, -1.106841392844298, -0.7367361194254012, 1.0009739520338536, 0.4541313887993119, 0.5187802218175535, 0.2655231117552012]|33705.3203125000000000|      0.12500000|[333, 24, 0, 24]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[9.104100810982914, -1.1070923514605697, -0.730749708507236, 1.0403107175604416, 0.4461536286685431, 0.5254826015248999, 0.1475019708654036]|20004.9707031250000000|      0.25000000|[361, 26, 0, 26]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
