k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.039957117382208, -1.089069814163689, 0.217908631686142, -0.387176768640666, -0.5572830466246993, -0.4654863862651805, 0.5808887861706633]|60092.1479763011884643|      2.00000000|[34, 3, 1, 4]                                                              |  | used quadratic model with 37 points | iterate success | actual_k=1
       2|[10.039957117382208, -1.089069814163689, 0.217908631686142, -0.387176768640666, -0.5572830466246993, -0.4654863862651805, 0.5808887861706633]|60092.1479763011884643|      1.00000000|[68, 6, 2, 8]                                                              |  | used quadratic model with 37 points | iterate failure | actual_k=1
       3|[10.039957117382208, -1.089069814163689, 0.217908631686142, -0.387176768640666, -0.5572830466246993, -0.4654863862651805, 0.5808887861706633]|60092.1479763011884643|      0.50000000|[102, 9, 3, 12]                                                            |  | used quadratic model with 37 points | iterate failure | actual_k=1
       4|[10.039299626487171, -1.0776833655035483, 0.2121910005924155, 0.0436500069831859, -0.5650792198747326, -0.442189212381556, 0.8331227568497841]|55151.6631733534886735|      1.00000000|[137, 11, 4, 16]                                                           |  | used quadratic model with 37 points | iterate success | actual_k=1
       5|[10.238783498654433, -1.0236114541154753, 0.1669474085208799, 1.0122672054074668, -0.5156544917174262, -0.4147919485971888, 0.7155526091894884]|46467.5947277214363567|      2.00000000|[171, 14, 5, 20]                                                           |  | used quadratic model with 37 points | iterate success | actual_k=1
       6|[11.100915583326598, -0.654752986980752, 0.1256839152124416, 2.70483585422536, -0.5665410239643754, 0.0339890810457168, 0.9395761374831443]|38149.7591759140777867|      4.00000000|[206, 16, 6, 24]                                                           |  | used quadratic model with 37 points | iterate success | actual_k=1
       7|[11.100915583326598, -0.654752986980752, 0.1256839152124416, 2.70483585422536, -0.5665410239643754, 0.0339890810457168, 0.9395761374831443]|38149.7591759140777867|      2.00000000|[241, 18, 7, 28]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
       8|[11.100915583326598, -0.654752986980752, 0.1256839152124416, 2.70483585422536, -0.5665410239643754, 0.0339890810457168, 0.9395761374831443]|38149.7591759140777867|      1.00000000|[276, 20, 8, 32]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
       9|[11.100915583326598, -0.654752986980752, 0.1256839152124416, 2.70483585422536, -0.5665410239643754, 0.0339890810457168, 0.9395761374831443]|38149.7591759140777867|      0.50000000|[311, 22, 9, 36]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
      10|[11.094328358896712, -0.6475955336898673, 0.1252936513054714, 2.871759680987766, -0.5463980792413566, 0.0319413574051548, 0.4687983430880034]|23266.5504043499204272|      1.00000000|[346, 24, 10, 40]                                                          |  | used quadratic model with 37 points | iterate success | actual_k=1
      11|[11.094328358896712, -0.6475955336898673, 0.1252936513054714, 2.871759680987766, -0.5463980792413566, 0.0319413574051548, 0.4687983430880034]|23266.5504043499204272|      0.50000000|[380, 27, 11, 44]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      12|[11.094328358896712, -0.6475955336898673, 0.1252936513054714, 2.871759680987766, -0.5463980792413566, 0.0319413574051548, 0.4687983430880034]|23266.5504043499204272|      0.25000000|[415, 29, 12, 48]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      13|[11.095510812133064, -0.6547014285563328, 0.1247973285204446, 2.9026433987379763, -0.5494462865017721, 0.0209749014153359, 0.2210797467339349]|8108.6555399276130629|      0.50000000|[450, 31, 13, 52]                                                          |  | used quadratic model with 37 points | iterate success | actual_k=1
      14|[11.095510812133064, -0.6547014285563328, 0.1247973285204446, 2.9026433987379763, -0.5494462865017721, 0.0209749014153359, 0.2210797467339349]|8108.6555399276130629|      0.25000000|[485, 33, 14, 56]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      15|[11.095510812133064, -0.6547014285563328, 0.1247973285204446, 2.9026433987379763, -0.5494462865017721, 0.0209749014153359, 0.2210797467339349]|8108.6555399276130629|      0.12500000|[520, 35, 15, 60]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      16|[11.095510812133064, -0.6547014285563328, 0.1247973285204446, 2.9026433987379763, -0.5494462865017721, 0.0209749014153359, 0.2210797467339349]|8108.6555399276130629|      0.06250000|[555, 37, 16, 64]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      17|[11.095510812133064, -0.6547014285563328, 0.1247973285204446, 2.9026433987379763, -0.5494462865017721, 0.0209749014153359, 0.2210797467339349]|8108.6555399276130629|      0.03125000|[590, 39, 17, 68]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      18|[11.095510812133064, -0.6547014285563328, 0.1247973285204446, 2.9026433987379763, -0.5494462865017721, 0.0209749014153359, 0.2210797467339349]|8108.6555399276130629|      0.01562500|[624, 42, 18, 72]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
