k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.724364344581451, -0.5030986110721866, 0.4078689951312391, -0.3264184072176433, 0.0050359414837553, -0.4819752073798078, 0.4540995652566654]|60451.0243832549094805|      2.00000000|[40, 0, 1, 4]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=0
       2|[9.724364344581451, -0.5030986110721866, 0.4078689951312391, -0.3264184072176433, 0.0050359414837553, -0.4819752073798078, 0.4540995652566654]|60451.0243832549094805|      1.00000000|[80, 0, 2, 8]                                                              |  | used quadratic model with 40 points | iterate failure | actual_k=0
       3|[9.724364344581451, -0.5030986110721866, 0.4078689951312391, -0.3264184072176433, 0.0050359414837553, -0.4819752073798078, 0.4540995652566654]|60451.0243832549094805|      0.50000000|[120, 0, 3, 12]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
       4|[9.739990426724283, -0.5140612457390901, 0.404660039302102, 0.0927849164243073, 0.0081687178907074, -0.4679441133412867, 0.7255534957128671]|54638.8578886880713981|      1.00000000|[160, 0, 4, 16]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=0
       5|[10.008704791998229, -0.3977813347674001, 0.3833933076429276, 1.0188078548484851, 0.1594526127377218, -0.458750411457059, 0.5429898770967635]|43706.1151276951350155|      2.00000000|[200, 0, 5, 20]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=0
       6|[10.008704791998229, -0.3977813347674001, 0.3833933076429276, 1.0188078548484851, 0.1594526127377218, -0.458750411457059, 0.5429898770967635]|43706.1151276951350155|      1.00000000|[240, 0, 6, 24]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
       7|[9.815654575953529, -0.4071727938661009, -0.1489861805058157, 1.6162324591446917, 0.5860298585750271, -0.5314622211164, 0.1755062945641298]|13992.9179403367525083|      2.00000000|[280, 0, 7, 28]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=0
       8|[9.815654575953529, -0.4071727938661009, -0.1489861805058157, 1.6162324591446917, 0.5860298585750271, -0.5314622211164, 0.1755062945641298]|13992.9179403367525083|      1.00000000|[320, 0, 8, 32]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
       9|[9.815654575953529, -0.4071727938661009, -0.1489861805058157, 1.6162324591446917, 0.5860298585750271, -0.5314622211164, 0.1755062945641298]|13992.9179403367525083|      0.50000000|[360, 0, 9, 36]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
      10|[9.815654575953529, -0.4071727938661009, -0.1489861805058157, 1.6162324591446917, 0.5860298585750271, -0.5314622211164, 0.1755062945641298]|13992.9179403367525083|      0.25000000|[400, 0, 10, 40]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      11|[9.815654575953529, -0.4071727938661009, -0.1489861805058157, 1.6162324591446917, 0.5860298585750271, -0.5314622211164, 0.1755062945641298]|13992.9179403367525083|      0.12500000|[440, 0, 11, 44]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      12|[9.815654575953529, -0.4071727938661009, -0.1489861805058157, 1.6162324591446917, 0.5860298585750271, -0.5314622211164, 0.1755062945641298]|13992.9179403367525083|      0.06250000|[480, 0, 12, 48]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      13|[9.815513896117281, -0.4072215857984833, -0.1485843045994567, 1.622960294060738, 0.586122702411138, -0.5309973201284031, 0.1133727463898722]|10025.0238700064946897|      0.12500000|[520, 0, 13, 52]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=0
      14|[9.815513896117281, -0.4072215857984833, -0.1485843045994567, 1.622960294060738, 0.586122702411138, -0.5309973201284031, 0.1133727463898722]|10025.0238700064946897|      0.06250000|[560, 0, 14, 56]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      15|[9.815513896117281, -0.4072215857984833, -0.1485843045994567, 1.622960294060738, 0.586122702411138, -0.5309973201284031, 0.1133727463898722]|10025.0238700064946897|      0.03125000|[600, 0, 15, 60]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      16|[9.815513896117281, -0.4072215857984833, -0.1485843045994567, 1.622960294060738, 0.586122702411138, -0.5309973201284031, 0.1133727463898722]|10025.0238700064946897|      0.01562500|[640, 0, 16, 64]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      17|[9.815730213394096, -0.406349191644213, -0.1490459968713391, 1.6212604651462295, 0.585335228591231, -0.5298165299377093, 0.1288069875986701]|9710.2209934125366999|      0.03125000|[680, 0, 17, 68]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=0
      18|[9.815730213394096, -0.406349191644213, -0.1490459968713391, 1.6212604651462295, 0.585335228591231, -0.5298165299377093, 0.1288069875986701]|9710.2209934125366999|      0.01562500|[720, 0, 18, 72]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
