k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2077915508167611, -0.0679003017825596, 0.3032506328590067, 0.5798557225448655, 0.0851375448645972, -0.011153596444338, -0.0081834996963298, -0.3750479846091587, 0.0285699504520899, -0.0646143917062177, 0.1392999343933934, -0.0129181597088639, -0.1184296674173546, 0.4226335192107348, -0.1940586301202553, 0.0158481156576046, -0.053981039060321, 0.1551595441216726, -0.0002514524695533, -0.1133041441142225, 0.2835576559220547, -0.0238615289548404]| 13.7493896484375000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[1.1814013890443207, 0.1576590629718743, 0.7816659471066054, 1.5848253013291356, -0.3255591599318591, -0.307276559499534, 0.1440394210336161, -0.2378123329345905, -0.2012489574817345, 0.2426645237078654, 0.7542635466318595, -0.1235190866968759, -0.3444748093623382, 0.0601915888222951, 0.0679883538220059, -0.0310802074843453, 0.3542507899656925, 0.2811963834693304, -0.653335268844569, -0.1696184538185525, 0.4807651790540365, 0.1241092226030037]| 12.2169084548950195|      4.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[1.1814013890443207, 0.1576590629718743, 0.7816659471066054, 1.5848253013291356, -0.3255591599318591, -0.307276559499534, 0.1440394210336161, -0.2378123329345905, -0.2012489574817345, 0.2426645237078654, 0.7542635466318595, -0.1235190866968759, -0.3444748093623382, 0.0601915888222951, 0.0679883538220059, -0.0310802074843453, 0.3542507899656925, 0.2811963834693304, -0.653335268844569, -0.1696184538185525, 0.4807651790540365, 0.1241092226030037]| 12.2169084548950195|      2.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.1814013890443207, 0.1576590629718743, 0.7816659471066054, 1.5848253013291356, -0.3255591599318591, -0.307276559499534, 0.1440394210336161, -0.2378123329345905, -0.2012489574817345, 0.2426645237078654, 0.7542635466318595, -0.1235190866968759, -0.3444748093623382, 0.0601915888222951, 0.0679883538220059, -0.0310802074843453, 0.3542507899656925, 0.2811963834693304, -0.653335268844569, -0.1696184538185525, 0.4807651790540365, 0.1241092226030037]| 12.2169084548950195|      1.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.1814013890443207, 0.1576590629718743, 0.7816659471066054, 1.5848253013291356, -0.3255591599318591, -0.307276559499534, 0.1440394210336161, -0.2378123329345905, -0.2012489574817345, 0.2426645237078654, 0.7542635466318595, -0.1235190866968759, -0.3444748093623382, 0.0601915888222951, 0.0679883538220059, -0.0310802074843453, 0.3542507899656925, 0.2811963834693304, -0.653335268844569, -0.1696184538185525, 0.4807651790540365, 0.1241092226030037]| 12.2169084548950195|      0.50000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       6|[1.1814013890443207, 0.1576590629718743, 0.7816659471066054, 1.5848253013291356, -0.3255591599318591, -0.307276559499534, 0.1440394210336161, -0.2378123329345905, -0.2012489574817345, 0.2426645237078654, 0.7542635466318595, -0.1235190866968759, -0.3444748093623382, 0.0601915888222951, 0.0679883538220059, -0.0310802074843453, 0.3542507899656925, 0.2811963834693304, -0.653335268844569, -0.1696184538185525, 0.4807651790540365, 0.1241092226030037]| 12.2169084548950195|      0.25000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       7|[1.2373844870864645, 0.1085701210976225, 0.8916716170368824, 1.7056025482856803, -0.2989416240948541, -0.3600252308813249, 0.1152788621187218, -0.198084162838076, -0.1419653476849888, 0.2648747708020623, 0.779508696458493, -0.1528624182438313, -0.3206846191516214, 0.043722255707216, 0.1069324305305696, -0.10062017142382, 0.3852353278046267, 0.2814217023251864, -0.7245768711223473, -0.2006100396271421, 0.4154939301130438, 0.1445846323832234]| 12.1741266250610352|      0.50000000|[169, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[1.2373844870864645, 0.1085701210976225, 0.8916716170368824, 1.7056025482856803, -0.2989416240948541, -0.3600252308813249, 0.1152788621187218, -0.198084162838076, -0.1419653476849888, 0.2648747708020623, 0.779508696458493, -0.1528624182438313, -0.3206846191516214, 0.043722255707216, 0.1069324305305696, -0.10062017142382, 0.3852353278046267, 0.2814217023251864, -0.7245768711223473, -0.2006100396271421, 0.4154939301130438, 0.1445846323832234]| 12.1741266250610352|      0.25000000|[193, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.3484399032670178, 0.0562353704005757, 0.904876589405911, 1.8650247667830784, -0.3089886069241055, -0.4637069894513308, 0.0860255868897629, -0.1848527628488763, -0.1317839954004075, 0.2878066901748778, 0.7908772784363501, -0.1570240158067287, -0.3356003252275032, 0.023965399209207, 0.0893409841689425, -0.0816535913699565, 0.4215457281884126, 0.2910226350587592, -0.6812238731963293, -0.2064746074631297, 0.3685068914886449, 0.1932251678302099]| 12.1459414276265694|      0.50000000|[217, 72, 1, 19]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      10|[1.3484399032670178, 0.0562353704005757, 0.904876589405911, 1.8650247667830784, -0.3089886069241055, -0.4637069894513308, 0.0860255868897629, -0.1848527628488763, -0.1317839954004075, 0.2878066901748778, 0.7908772784363501, -0.1570240158067287, -0.3356003252275032, 0.023965399209207, 0.0893409841689425, -0.0816535913699565, 0.4215457281884126, 0.2910226350587592, -0.6812238731963293, -0.2064746074631297, 0.3685068914886449, 0.1932251678302099]| 12.1459414276265694|      0.25000000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      11|[1.3484399032670178, 0.0562353704005757, 0.904876589405911, 1.8650247667830784, -0.3089886069241055, -0.4637069894513308, 0.0860255868897629, -0.1848527628488763, -0.1317839954004075, 0.2878066901748778, 0.7908772784363501, -0.1570240158067287, -0.3356003252275032, 0.023965399209207, 0.0893409841689425, -0.0816535913699565, 0.4215457281884126, 0.2910226350587592, -0.6812238731963293, -0.2064746074631297, 0.3685068914886449, 0.1932251678302099]| 12.1459414276265694|      0.12500000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      12|[1.3484399032670178, 0.0562353704005757, 0.904876589405911, 1.8650247667830784, -0.3089886069241055, -0.4637069894513308, 0.0860255868897629, -0.1848527628488763, -0.1317839954004075, 0.2878066901748778, 0.7908772784363501, -0.1570240158067287, -0.3356003252275032, 0.023965399209207, 0.0893409841689425, -0.0816535913699565, 0.4215457281884126, 0.2910226350587592, -0.6812238731963293, -0.2064746074631297, 0.3685068914886449, 0.1932251678302099]| 12.1459414276265694|      0.06250000|[291, 96, 2, 26]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[1.3667021028782307, 0.0578498815188979, 0.9046325238536095, 1.9041953220736432, -0.3213696375298302, -0.453921247118808, 0.0896403778024675, -0.1609151005530586, -0.1299451159960169, 0.2849103245772321, 0.7793121605579141, -0.1572606791578114, -0.339414327860838, 0.0371135305494513, 0.0988091376015982, -0.0752570655012016, 0.4289264671910181, 0.2930875301532104, -0.6789366496035819, -0.1808448515533396, 0.3724642949959561, 0.1939590936684799]| 12.1443557739257812|      0.12500000|[315, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[1.3667021028782307, 0.0578498815188979, 0.9046325238536095, 1.9041953220736432, -0.3213696375298302, -0.453921247118808, 0.0896403778024675, -0.1609151005530586, -0.1299451159960169, 0.2849103245772321, 0.7793121605579141, -0.1572606791578114, -0.339414327860838, 0.0371135305494513, 0.0988091376015982, -0.0752570655012016, 0.4289264671910181, 0.2930875301532104, -0.6789366496035819, -0.1808448515533396, 0.3724642949959561, 0.1939590936684799]| 12.1443557739257812|      0.06250000|[339, 112, 2, 30]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
