k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[98.68624583113926, 36.15123935282242, 269.2885273600469]                       |231811.1152827476034872|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[100.04961146274088, 36.47288760126187, 267.8610202466344]                      |225215.5854994276887737|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[102.78994575620906, 37.13672949860682, 265.0237888680944]                      |212308.0133623139699921|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[108.4128602863455, 38.024521559198874, 259.4028763581962]                      |187651.0714874898549169|     16.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[119.83455589272704, 42.284388892525385, 249.0395564375519]                     |143175.3916590986773372|     32.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[141.69132819660655, 44.56593301748194, 225.77851473984967]                     |71963.1406205840758048|     64.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[179.6066720839292, 49.81973682858925, 174.4869536072378]                       |2603.6782225854321950|    128.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[179.6066720839292, 49.81973682858925, 174.4869536072378]                       |2603.6782225854321950|     64.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[179.6066720839292, 49.81973682858925, 174.4869536072378]                       |2603.6782225854321950|     32.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[204.58288597828135, 34.307165179473536, 187.11821879860412]                    |871.6470993058906060|     64.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[204.58288597828135, 34.307165179473536, 187.11821879860412]                    |871.6470993058906060|     32.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[204.58288597828135, 34.307165179473536, 187.11821879860412]                    |871.6470993058906060|     16.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[204.58288597828135, 34.307165179473536, 187.11821879860412]                    |871.6470993058906060|      8.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[209.56970118349795, 35.460495834249784, 180.9699261486261]                     |296.7191794497921364|     16.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[209.56970118349795, 35.460495834249784, 180.9699261486261]                     |296.7191794497921364|      8.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
