k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.449582591533751, -1.0957105264576192, -0.0226232303234734, -0.4978855754110694, -0.4588450342714788, -0.5184001823798603, 0.3140530635572206]|66831.9339013356075156|      2.00000000|[29, 11, 1, 4]                                                             |  | used quadratic model with 40 points | iterate success | actual_k=4
       2|[10.449582591533751, -1.0957105264576192, -0.0226232303234734, -0.4978855754110694, -0.4588450342714788, -0.5184001823798603, 0.3140530635572206]|66831.9339013356075156|      1.00000000|[58, 22, 2, 8]                                                             |  | used quadratic model with 40 points | iterate failure | actual_k=4
       3|[10.48523051338459, -1.1271418815699341, -0.276617917396479, 0.2691758996455324, -0.4395579150043948, -0.3948776732485576, 0.8878255661873838]|53502.0732261845187168|      2.00000000|[88, 32, 3, 12]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=4
       4|[10.48523051338459, -1.1271418815699341, -0.276617917396479, 0.2691758996455324, -0.4395579150043948, -0.3948776732485576, 0.8878255661873838]|53502.0732261845187168|      1.00000000|[119, 41, 4, 16]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
       5|[10.708063751186435, -1.0398626779754938, -0.2231417589339895, 1.1790230537946647, -0.3137668402712724, -0.4183198568384734, 0.5785146952831939]|42794.8808339788738522|      2.00000000|[148, 52, 5, 20]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=4
       6|[10.708063751186435, -1.0398626779754938, -0.2231417589339895, 1.1790230537946647, -0.3137668402712724, -0.4183198568384734, 0.5785146952831939]|42794.8808339788738522|      1.00000000|[178, 62, 6, 24]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
       7|[10.708063751186435, -1.0398626779754938, -0.2231417589339895, 1.1790230537946647, -0.3137668402712724, -0.4183198568384734, 0.5785146952831939]|42794.8808339788738522|      0.50000000|[210, 70, 7, 28]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
       8|[10.680666512123038, -1.0268477063565127, -0.2232484817728674, 1.3933223043846432, -0.3809084390577429, -0.4195512125888767, 0.1328171396609062]|11621.5956280429800245|      1.00000000|[239, 81, 8, 32]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=4
       9|[10.680666512123038, -1.0268477063565127, -0.2232484817728674, 1.3933223043846432, -0.3809084390577429, -0.4195512125888767, 0.1328171396609062]|11621.5956280429800245|      0.50000000|[268, 92, 9, 36]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=4
      10|[10.680666512123038, -1.0268477063565127, -0.2232484817728674, 1.3933223043846432, -0.3809084390577429, -0.4195512125888767, 0.1328171396609062]|11621.5956280429800245|      0.25000000|[298, 102, 10, 40]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      11|[10.680666512123038, -1.0268477063565127, -0.2232484817728674, 1.3933223043846432, -0.3809084390577429, -0.4195512125888767, 0.1328171396609062]|11621.5956280429800245|      0.12500000|[327, 113, 11, 44]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      12|[10.680666512123038, -1.0268477063565127, -0.2232484817728674, 1.3933223043846432, -0.3809084390577429, -0.4195512125888767, 0.1328171396609062]|11621.5956280429800245|      0.06250000|[358, 122, 12, 48]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      13|[10.680666512123038, -1.0268477063565127, -0.2232484817728674, 1.3933223043846432, -0.3809084390577429, -0.4195512125888767, 0.1328171396609062]|11621.5956280429800245|      0.03125000|[388, 132, 13, 52]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      14|[10.681368643517628, -1.0272968497123671, -0.2244159895595622, 1.3980343626271807, -0.3794337120706109, -0.4172957749243119, 0.1020756465987231]|9641.6724682233943895|      0.06250000|[419, 141, 14, 56]                                                         |  | used quadratic model with 40 points | iterate success | actual_k=4
      15|[10.681368643517628, -1.0272968497123671, -0.2244159895595622, 1.3980343626271807, -0.3794337120706109, -0.4172957749243119, 0.1020756465987231]|9641.6724682233943895|      0.03125000|[450, 150, 15, 60]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      16|[10.681368643517628, -1.0272968497123671, -0.2244159895595622, 1.3980343626271807, -0.3794337120706109, -0.4172957749243119, 0.1020756465987231]|9641.6724682233943895|      0.01562500|[480, 160, 16, 64]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      17|[10.681368643517628, -1.0272968497123671, -0.2244159895595622, 1.3980343626271807, -0.3794337120706109, -0.4172957749243119, 0.1020756465987231]|9641.6724682233943895|      0.00781250|[511, 169, 17, 68]                                                         |  | used quadratic model with 40 points | iterate failure | actual_k=4
      18|[10.681490451279485, -1.0280490298953877, -0.2250310997671928, 1.3984853684114373, -0.3788506818990684, -0.4159101999491489, 0.1096659716980671]|9612.0893270967681019|      0.01562500|[541, 179, 18, 72]                                                         |  | used quadratic model with 40 points | iterate success | actual_k=4
