k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.436292702621011, 0.1301696202566872, 0.2410678825781634, 0.6923369400247705, 0.1061483329450752, -0.0375542660749751, -0.163408077149979, -0.1224892032812325, 0.0044990533660003, 0.1523850076671527, 0.0296095914111113, 0.0986575679864835, 0.0349803399960636, -0.1706610443642247, -0.0349817924314477, 0.0394834600517298, -0.1210920723151778, 0.0897569688011139, -0.0575936892056435, -0.3152727493381655, -0.0631636749482743, 0.0668628063686897]| 13.3761177062988281|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[1.1885519152856951, -0.0497426454415819, 0.3160787423559906, 1.6212847947414162, 0.574307251559257, 0.0939953193298898, -0.872954892925536, 0.4994213619592584, -0.4308232843725822, -0.2060736871317972, -0.1081892235283184, 0.7745014911674297, 0.1339743793758228, -0.0807833775872228, 0.0826551665564018, 0.15893433259964, -0.1702126128876235, -0.4723345120756673, 0.0172704598731129, -0.1814623307821106, 0.3699925389471038, 0.2598112346161194]| 12.2328605651855469|      4.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[1.1885519152856951, -0.0497426454415819, 0.3160787423559906, 1.6212847947414162, 0.574307251559257, 0.0939953193298898, -0.872954892925536, 0.4994213619592584, -0.4308232843725822, -0.2060736871317972, -0.1081892235283184, 0.7745014911674297, 0.1339743793758228, -0.0807833775872228, 0.0826551665564018, 0.15893433259964, -0.1702126128876235, -0.4723345120756673, 0.0172704598731129, -0.1814623307821106, 0.3699925389471038, 0.2598112346161194]| 12.2328605651855469|      2.00000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.1885519152856951, -0.0497426454415819, 0.3160787423559906, 1.6212847947414162, 0.574307251559257, 0.0939953193298898, -0.872954892925536, 0.4994213619592584, -0.4308232843725822, -0.2060736871317972, -0.1081892235283184, 0.7745014911674297, 0.1339743793758228, -0.0807833775872228, 0.0826551665564018, 0.15893433259964, -0.1702126128876235, -0.4723345120756673, 0.0172704598731129, -0.1814623307821106, 0.3699925389471038, 0.2598112346161194]| 12.2328605651855469|      1.00000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.1885519152856951, -0.0497426454415819, 0.3160787423559906, 1.6212847947414162, 0.574307251559257, 0.0939953193298898, -0.872954892925536, 0.4994213619592584, -0.4308232843725822, -0.2060736871317972, -0.1081892235283184, 0.7745014911674297, 0.1339743793758228, -0.0807833775872228, 0.0826551665564018, 0.15893433259964, -0.1702126128876235, -0.4723345120756673, 0.0172704598731129, -0.1814623307821106, 0.3699925389471038, 0.2598112346161194]| 12.2328605651855469|      0.50000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.4539472041238948, 0.0148974684072355, 0.3673204928535457, 1.964869537610332, 0.5075460766898864, 0.2018499922834066, -0.9441975802925809, 0.4793206221517228, -0.3335521341477333, -0.2016798972426047, -0.0765902693202891, 0.8193727350305453, 0.2050148015948426, -0.0472166590622447, 0.1126686929139069, 0.1024704945490054, -0.1358425224100224, -0.4818430824520283, -0.0170917954258949, -0.1922878350676577, 0.3938713923334003, 0.3449366678456918]| 12.1444292068481445|      1.00000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[1.4539472041238948, 0.0148974684072355, 0.3673204928535457, 1.964869537610332, 0.5075460766898864, 0.2018499922834066, -0.9441975802925809, 0.4793206221517228, -0.3335521341477333, -0.2016798972426047, -0.0765902693202891, 0.8193727350305453, 0.2050148015948426, -0.0472166590622447, 0.1126686929139069, 0.1024704945490054, -0.1358425224100224, -0.4818430824520283, -0.0170917954258949, -0.1922878350676577, 0.3938713923334003, 0.3449366678456918]| 12.1444292068481445|      0.50000000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.4539472041238948, 0.0148974684072355, 0.3673204928535457, 1.964869537610332, 0.5075460766898864, 0.2018499922834066, -0.9441975802925809, 0.4793206221517228, -0.3335521341477333, -0.2016798972426047, -0.0765902693202891, 0.8193727350305453, 0.2050148015948426, -0.0472166590622447, 0.1126686929139069, 0.1024704945490054, -0.1358425224100224, -0.4818430824520283, -0.0170917954258949, -0.1922878350676577, 0.3938713923334003, 0.3449366678456918]| 12.1444292068481445|      0.25000000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.4539472041238948, 0.0148974684072355, 0.3673204928535457, 1.964869537610332, 0.5075460766898864, 0.2018499922834066, -0.9441975802925809, 0.4793206221517228, -0.3335521341477333, -0.2016798972426047, -0.0765902693202891, 0.8193727350305453, 0.2050148015948426, -0.0472166590622447, 0.1126686929139069, 0.1024704945490054, -0.1358425224100224, -0.4818430824520283, -0.0170917954258949, -0.1922878350676577, 0.3938713923334003, 0.3449366678456918]| 12.1444292068481445|      0.12500000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.4539472041238948, 0.0148974684072355, 0.3673204928535457, 1.964869537610332, 0.5075460766898864, 0.2018499922834066, -0.9441975802925809, 0.4793206221517228, -0.3335521341477333, -0.2016798972426047, -0.0765902693202891, 0.8193727350305453, 0.2050148015948426, -0.0472166590622447, 0.1126686929139069, 0.1024704945490054, -0.1358425224100224, -0.4818430824520283, -0.0170917954258949, -0.1922878350676577, 0.3938713923334003, 0.3449366678456918]| 12.1444292068481445|      0.06250000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.4539472041238948, 0.0148974684072355, 0.3673204928535457, 1.964869537610332, 0.5075460766898864, 0.2018499922834066, -0.9441975802925809, 0.4793206221517228, -0.3335521341477333, -0.2016798972426047, -0.0765902693202891, 0.8193727350305453, 0.2050148015948426, -0.0472166590622447, 0.1126686929139069, 0.1024704945490054, -0.1358425224100224, -0.4818430824520283, -0.0170917954258949, -0.1922878350676577, 0.3938713923334003, 0.3449366678456918]| 12.1444292068481445|      0.03125000|[314, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
