k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.5965789243477415, 0.3953835400281263]                                        |  0.5646000130469844|      1.00000000|[13, 4, 1, 5]                                                              |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[0.5965789243477415, 0.3953835400281263]                                        |  0.5646000130469844|      0.50000000|[20, 6, 1, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1132111289799255, 0.2674946257264673]                                        |  0.0176866315305233|      1.00000000|[26, 8, 1, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.1132111289799255, 0.2674946257264673]                                        |  0.0176866315305233|      0.50000000|[32, 10, 1, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1132111289799255, 0.2674946257264673]                                        |  0.0176866315305233|      0.25000000|[38, 12, 1, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1132111289799255, 0.2674946257264673]                                        |  0.0176866315305233|      0.12500000|[44, 14, 1, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.1698675402730983, 0.1560717777132409]                                        |  0.0056835473515093|      0.25000000|[50, 16, 1, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.1698675402730983, 0.1560717777132409]                                        |  0.0056835473515093|      0.12500000|[56, 18, 1, 19]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1052734415010355, 0.0490549453744681]                                        |  0.0004391749680508|      0.25000000|[62, 20, 1, 21]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
