k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.866442242679398, 10.070193188243021, 9.011447906388454]                      |33192249.5356288626790047|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[9.789180734296528, 8.486496271884453, 7.792458679020647]                       |10559742.1923632267862558|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[9.789180734296528, 8.486496271884453, 7.792458679020647]                       |10559742.1923632267862558|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[10.437363591273385, 8.656116155825584, 5.90802558684329]                       |1359913.4558664388023317|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[10.437363591273385, 8.656116155825584, 5.90802558684329]                       |1359913.4558664388023317|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[10.437363591273385, 8.656116155825584, 5.90802558684329]                       |1359913.4558664388023317|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[10.107390428836867, 8.663732155059652, 4.964065996274228]                      |786192.9746716088848189|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[10.107390428836867, 8.663732155059652, 4.964065996274228]                      |786192.9746716088848189|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[9.46858587652955, 8.66188079923775, 4.194699168010188]                         |667253.9721804605796933|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[8.960104809026538, 6.770996283511214, 4.60213352122138]                        |319946.2692673757555895|      4.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[8.960104809026538, 6.770996283511214, 4.60213352122138]                        |319946.2692673757555895|      2.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[7.797663881414853, 5.262821069840553, 3.9904648080418177]                      |111996.4592618453316391|      4.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[7.797663881414853, 5.262821069840553, 3.9904648080418177]                      |111996.4592618453316391|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[7.797663881414853, 5.262821069840553, 3.9904648080418177]                      |111996.4592618453316391|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[7.797663881414853, 5.262821069840553, 3.9904648080418177]                      |111996.4592618453316391|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
