k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.919455960398146, 9.80246833787902, 9.023017963243777]                        |34305980.0000000000000000|      2.00000000|[10, 3, 0, 3]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
       2|[10.153711221411319, 10.151161603474424, 7.067631178176418]                     |3938366.7500000000000000|      4.00000000|[16, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[9.463178272812097, 7.664660296758693, 4.011412027231934]                       |425764.8437500000000000|      8.00000000|[25, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
       4|[9.463178272812097, 7.664660296758693, 4.011412027231934]                       |425764.8437500000000000|      4.00000000|[34, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[9.463178272812097, 7.664660296758693, 4.011412027231934]                       |425764.8437500000000000|      2.00000000|[43, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[8.480291048088663, 5.923020765752728, 3.9864230794191524]                      |165135.5156250000000000|      4.00000000|[49, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[8.480291048088663, 5.923020765752728, 3.9864230794191524]                      |165135.5156250000000000|      2.00000000|[58, 19, 0, 19]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[7.821353840253547, 5.831117168880627, 2.100327778271188]                       |99321.4483451538835652|      4.00000000|[64, 21, 1, 22]                                                            |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       9|[8.440381913680488, 4.050291290042567, -1.4274850616581052]                     |32783.6953125000000000|      8.00000000|[71, 23, 1, 24]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[8.440381913680488, 4.050291290042567, -1.4274850616581052]                     |32783.6953125000000000|      4.00000000|[81, 26, 2, 28]                                                            |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[4.467913205000381, 3.6603641781014598, -1.6871949111645739]                    |8663.8828125000000000|      8.00000000|[87, 28, 2, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
