k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.014862688531066, -1.2161870326146655, 0.180472264021796, -0.3533395925439054, -0.7891227370277344, -0.3208791912319466, 0.4015818938502949]|61605.1096149062577751|      2.00000000|[33, 3, 1, 4]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=1
       2|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      4.00000000|[66, 6, 2, 8]                                                              |  | used quadratic model with 36 points | iterate success | actual_k=1
       3|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      2.00000000|[100, 8, 3, 12]                                                            |  | used quadratic model with 36 points | iterate failure | actual_k=1
       4|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      1.00000000|[134, 10, 4, 16]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       5|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.50000000|[167, 13, 5, 20]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       6|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.25000000|[201, 15, 6, 24]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       7|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.12500000|[235, 17, 7, 28]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       8|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.06250000|[269, 19, 8, 32]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
       9|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.03125000|[303, 21, 9, 36]                                                           |  | used quadratic model with 36 points | iterate failure | actual_k=1
      10|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.01562500|[337, 23, 10, 40]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      11|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.00781250|[370, 26, 11, 44]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      12|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.00390625|[404, 28, 12, 48]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      13|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.00195312|[438, 30, 13, 52]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      14|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.00097656|[472, 32, 14, 56]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      15|[9.682520098263254, -2.253021402565186, -1.263923976220949, 0.3359900385193882, -1.1214514137070641, -0.3723496622644671, 0.027448903909004]|23484.5320431708096294|      0.00048828|[506, 34, 15, 60]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
      16|[9.682518761729357, -2.2530163951086446, -1.2639263617870888, 0.3359609497251858, -1.12145316320208, -0.3723414696245402, 0.0279362125270295]|23072.7843236007283849|      0.00097656|[540, 36, 16, 64]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=1
      17|[9.682733803264771, -2.252843456917981, -1.2643513109733362, 0.3353253328307285, -1.1211489578380396, -0.3727679480973407, 0.0280722581001943]|23010.5263681801006896|      0.00195312|[574, 38, 17, 68]                                                          |  | used quadratic model with 36 points | iterate success | actual_k=1
      18|[9.682733803264771, -2.252843456917981, -1.2643513109733362, 0.3353253328307285, -1.1211489578380396, -0.3727679480973407, 0.0280722581001943]|23010.5263681801006896|      0.00097656|[607, 41, 18, 72]                                                          |  | used quadratic model with 36 points | iterate failure | actual_k=1
