k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4661905834243135, 0.1050512680438344, 0.026667631991353, -0.3257816389219891, 0.5725342758993949, 0.197543465567757, -0.4560439585489772, 0.2993753779746881, 0.0191077266958833]|342350.8871915556374006|      2.00000000|[10, 0, 1, 4]                                                              |  | used linear model with 10 points | iterate success | actual_k=0
       2|[-0.4661905834243135, 0.1050512680438344, 0.026667631991353, -0.3257816389219891, 0.5725342758993949, 0.197543465567757, -0.4560439585489772, 0.2993753779746881, 0.0191077266958833]|342350.8871915556374006|      1.00000000|[20, 0, 2, 8]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       3|[-0.4661905834243135, 0.1050512680438344, 0.026667631991353, -0.3257816389219891, 0.5725342758993949, 0.197543465567757, -0.4560439585489772, 0.2993753779746881, 0.0191077266958833]|342350.8871915556374006|      0.50000000|[30, 0, 3, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       4|[-0.2792328812360708, 0.0555421804622118, -0.120077349513581, 0.0015015651033145, 0.6892024988190761, -0.0156247873160227, -0.3376050810563251, 0.2090130000360572, -0.0328728204364116]|9899.6313756980307517|      1.00000000|[40, 0, 4, 16]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       5|[-0.2792328812360708, 0.0555421804622118, -0.120077349513581, 0.0015015651033145, 0.6892024988190761, -0.0156247873160227, -0.3376050810563251, 0.2090130000360572, -0.0328728204364116]|9899.6313756980307517|      0.50000000|[50, 0, 5, 20]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       6|[-0.2792328812360708, 0.0555421804622118, -0.120077349513581, 0.0015015651033145, 0.6892024988190761, -0.0156247873160227, -0.3376050810563251, 0.2090130000360572, -0.0328728204364116]|9899.6313756980307517|      0.25000000|[60, 0, 6, 24]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       7|[-0.2792328812360708, 0.0555421804622118, -0.120077349513581, 0.0015015651033145, 0.6892024988190761, -0.0156247873160227, -0.3376050810563251, 0.2090130000360572, -0.0328728204364116]|9899.6313756980307517|      0.12500000|[70, 0, 7, 28]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       8|[-0.2792328812360708, 0.0555421804622118, -0.120077349513581, 0.0015015651033145, 0.6892024988190761, -0.0156247873160227, -0.3376050810563251, 0.2090130000360572, -0.0328728204364116]|9899.6313756980307517|      0.06250000|[80, 0, 8, 32]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       9|[-0.2628238461220753, 0.0313622760446502, -0.1125085753910231, -0.0290156744453344, 0.7329716857812039, -0.0093646204705884, -0.327592222491326, 0.2070846746163878, -0.0350706251984721]|6074.7221731061908940|      0.12500000|[90, 0, 9, 36]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
      10|[-0.2628238461220753, 0.0313622760446502, -0.1125085753910231, -0.0290156744453344, 0.7329716857812039, -0.0093646204705884, -0.327592222491326, 0.2070846746163878, -0.0350706251984721]|6074.7221731061908940|      0.06250000|[100, 0, 10, 40]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      11|[-0.2679247220748932, 0.0379035639654281, -0.1276892249562213, 0.0131596532065389, 0.7737958912553112, -0.0052633822529279, -0.320665557522352, 0.2020524063765088, -0.0435260326012284]|4210.7515757798928462|      0.12500000|[110, 0, 11, 44]                                                           |  | used linear model with 10 points | iterate success | actual_k=0
