k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1466669538825512, 0.1757908518002869, -0.1278004632313736, -0.0789584765684483, 0.8615571413433394, -0.1448310347146046, -0.0601487688212224, -0.2779125399889314, 0.2844450578722725]|26571.4932382438237255|      2.00000000|[46, 13, 1, 5]                                                             |  | used quadratic model with 59 points | iterate success | actual_k=4
       2|[0.1466669538825512, 0.1757908518002869, -0.1278004632313736, -0.0789584765684483, 0.8615571413433394, -0.1448310347146046, -0.0601487688212224, -0.2779125399889314, 0.2844450578722725]|26571.4932382438237255|      1.00000000|[91, 27, 2, 10]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=4
       3|[0.1466669538825512, 0.1757908518002869, -0.1278004632313736, -0.0789584765684483, 0.8615571413433394, -0.1448310347146046, -0.0601487688212224, -0.2779125399889314, 0.2844450578722725]|26571.4932382438237255|      0.50000000|[136, 41, 3, 15]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=4
       4|[0.1466669538825512, 0.1757908518002869, -0.1278004632313736, -0.0789584765684483, 0.8615571413433394, -0.1448310347146046, -0.0601487688212224, -0.2779125399889314, 0.2844450578722725]|26571.4932382438237255|      0.25000000|[179, 57, 4, 20]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=4
       5|[0.1565273443562069, 0.1754981263924146, -0.1297216106323434, 0.0421939635270387, 0.9679436191514573, 0.0283306985591547, 0.0097517296009475, -0.2855159627403308, 0.3228393571251802]|1401.9520077272604794|      0.50000000|[225, 70, 5, 25]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=4
       6|[0.1565273443562069, 0.1754981263924146, -0.1297216106323434, 0.0421939635270387, 0.9679436191514573, 0.0283306985591547, 0.0097517296009475, -0.2855159627403308, 0.3228393571251802]|1401.9520077272604794|      0.25000000|[270, 84, 6, 30]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=4
       7|[0.1565273443562069, 0.1754981263924146, -0.1297216106323434, 0.0421939635270387, 0.9679436191514573, 0.0283306985591547, 0.0097517296009475, -0.2855159627403308, 0.3228393571251802]|1401.9520077272604794|      0.12500000|[313, 100, 7, 35]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=4
       8|[0.1565273443562069, 0.1754981263924146, -0.1297216106323434, 0.0421939635270387, 0.9679436191514573, 0.0283306985591547, 0.0097517296009475, -0.2855159627403308, 0.3228393571251802]|1401.9520077272604794|      0.06250000|[356, 116, 8, 40]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=4
       9|[0.1611322117481857, 0.1705780726449721, -0.1228305474951921, -0.0158752366117654, 0.9844383415923913, 0.0184192670846895, 0.0174579072967033, -0.2872121128896896, 0.3257965634452843]|194.5984726337112818|      0.12500000|[399, 132, 9, 45]                                                          |  | used quadratic model with 59 points | iterate success | actual_k=4
      10|[0.1611322117481857, 0.1705780726449721, -0.1228305474951921, -0.0158752366117654, 0.9844383415923913, 0.0184192670846895, 0.0174579072967033, -0.2872121128896896, 0.3257965634452843]|194.5984726337112818|      0.06250000|[442, 148, 10, 50]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=4
      11|[0.1611322117481857, 0.1705780726449721, -0.1228305474951921, -0.0158752366117654, 0.9844383415923913, 0.0184192670846895, 0.0174579072967033, -0.2872121128896896, 0.3257965634452843]|194.5984726337112818|      0.03125000|[488, 161, 11, 55]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=4
      12|[0.1605624493735661, 0.1642959659975967, -0.1239651361637169, 0.0088734489014187, 0.9849532014788426, 0.0055118885702538, 0.0270717142385957, -0.2919802953083275, 0.3193964124689982]| 76.7946489670188726|      0.06250000|[533, 175, 12, 60]                                                         |  | used quadratic model with 59 points | iterate success | actual_k=4
      13|[0.1605624493735661, 0.1642959659975967, -0.1239651361637169, 0.0088734489014187, 0.9849532014788426, 0.0055118885702538, 0.0270717142385957, -0.2919802953083275, 0.3193964124689982]| 76.7946489670188726|      0.03125000|[578, 189, 13, 65]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=4
      14|[0.1605624493735661, 0.1642959659975967, -0.1239651361637169, 0.0088734489014187, 0.9849532014788426, 0.0055118885702538, 0.0270717142385957, -0.2919802953083275, 0.3193964124689982]| 76.7946489670188726|      0.01562500|[622, 204, 14, 70]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=4
      15|[0.1609760035257108, 0.1674912130688139, -0.1205931879974246, -0.0021286832881805, 0.9840774814394412, 0.0153962859344316, 0.0283286462570503, -0.2925290450844545, 0.3203933305736368]|  8.8739825766838152|      0.03125000|[665, 220, 15, 75]                                                         |  | used quadratic model with 59 points | iterate success | actual_k=4
      16|[0.1609760035257108, 0.1674912130688139, -0.1205931879974246, -0.0021286832881805, 0.9840774814394412, 0.0153962859344316, 0.0283286462570503, -0.2925290450844545, 0.3203933305736368]|  8.8739825766838152|      0.01562500|[710, 234, 16, 80]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=4
