k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.4620753907125982, -1.0791818102665487, 20.036899794885485]                   |487.3156207751365514|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.4620753907125982, -1.0791818102665487, 20.036899794885485]                   |487.3156207751365514|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4620753907125982, -1.0791818102665487, 20.036899794885485]                   |487.3156207751365514|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.4620753907125982, -1.0791818102665487, 20.036899794885485]                   |487.3156207751365514|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.4620753907125982, -1.0791818102665487, 20.036899794885485]                   |487.3156207751365514|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.5103708816371556, -1.1188295777281196, 20.035539614136763]                   |408.2763031522561050|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[0.5103708816371556, -1.1188295777281196, 20.035539614136763]                   |408.2763031522561050|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.5636414745326802, -1.086156005657883, 20.034574409116924]                    |353.0045487876630546|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.5636414745326802, -1.086156005657883, 20.034574409116924]                    |353.0045487876630546|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.6236981531750326, -1.0939680174178208, 20.019133624722606]                   |294.3805125310666426|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.6236981531750326, -1.0939680174178208, 20.019133624722606]                   |294.3805125310666426|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.6236981531750326, -1.0939680174178208, 20.019133624722606]                   |294.3805125310666426|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.628125059484637, -1.1220462430078795, 20.0321173933681]                      |278.8130950680355795|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.6890735405332039, -1.1235259878766513, 20.045877590059856]                   |241.3730656587236751|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
