k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3006897512882837, 0.0896710325043035, 0.120605054914046, 0.6573739423928832, -0.1607148838795891, -0.0766892997827306, 0.3171712221283295, 0.041401586669169, -0.2165922356267631, -0.2397426320785812, 0.0021593457458448, 0.1091472727881449, -0.1493966034720837, 0.0331039202499935, 0.3211129229309846, -0.0120218869119504, -0.1702919949079585, 0.1549507645499253, -0.0101495363795922, -0.0042101331704696, 0.1456765275601453, 0.0592051020161787]| 13.5793457031250000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[1.3256317991489626, 0.2670348840825557, 0.5530396183134538, 1.7352161941013016, -0.2663683463136381, 0.0313910616348875, 0.8471949695908692, 0.075363171861079, -0.6285518829976167, -0.2598380756890802, -0.6180256212210387, 0.0229465663896177, -0.1635900004841861, 0.1128765012213587, 0.2661307999885165, -0.2864409450425471, -0.3414022351885344, 0.0284595705797221, 0.1794347634068579, -0.5561259362586413, 0.2813490660570624, 0.520791683968476]| 12.1658201217651367|      4.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[1.3256317991489626, 0.2670348840825557, 0.5530396183134538, 1.7352161941013016, -0.2663683463136381, 0.0313910616348875, 0.8471949695908692, 0.075363171861079, -0.6285518829976167, -0.2598380756890802, -0.6180256212210387, 0.0229465663896177, -0.1635900004841861, 0.1128765012213587, 0.2661307999885165, -0.2864409450425471, -0.3414022351885344, 0.0284595705797221, 0.1794347634068579, -0.5561259362586413, 0.2813490660570624, 0.520791683968476]| 12.1658201217651367|      2.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       4|[1.3256317991489626, 0.2670348840825557, 0.5530396183134538, 1.7352161941013016, -0.2663683463136381, 0.0313910616348875, 0.8471949695908692, 0.075363171861079, -0.6285518829976167, -0.2598380756890802, -0.6180256212210387, 0.0229465663896177, -0.1635900004841861, 0.1128765012213587, 0.2661307999885165, -0.2864409450425471, -0.3414022351885344, 0.0284595705797221, 0.1794347634068579, -0.5561259362586413, 0.2813490660570624, 0.520791683968476]| 12.1658201217651367|      1.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.3256317991489626, 0.2670348840825557, 0.5530396183134538, 1.7352161941013016, -0.2663683463136381, 0.0313910616348875, 0.8471949695908692, 0.075363171861079, -0.6285518829976167, -0.2598380756890802, -0.6180256212210387, 0.0229465663896177, -0.1635900004841861, 0.1128765012213587, 0.2661307999885165, -0.2864409450425471, -0.3414022351885344, 0.0284595705797221, 0.1794347634068579, -0.5561259362586413, 0.2813490660570624, 0.520791683968476]| 12.1658201217651367|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       6|[1.3256317991489626, 0.2670348840825557, 0.5530396183134538, 1.7352161941013016, -0.2663683463136381, 0.0313910616348875, 0.8471949695908692, 0.075363171861079, -0.6285518829976167, -0.2598380756890802, -0.6180256212210387, 0.0229465663896177, -0.1635900004841861, 0.1128765012213587, 0.2661307999885165, -0.2864409450425471, -0.3414022351885344, 0.0284595705797221, 0.1794347634068579, -0.5561259362586413, 0.2813490660570624, 0.520791683968476]| 12.1658201217651367|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.50000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.25000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.06250000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.03125000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      12|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.01562500|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[1.4999800189064585, 0.2629777186130989, 0.5825488293786011, 1.8592504793571554, -0.2770135713721487, -0.0161629729134174, 0.8504641696167238, 0.066387031698725, -0.609560708855208, -0.2437303325424241, -0.6030881963807879, 0.0737467331892931, -0.1616821275113826, 0.1195920531690378, 0.1825120876616311, -0.3279485608836001, -0.3657275180208727, 0.0126108144520183, 0.1840245428804347, -0.5385911212751326, 0.2834643383807633, 0.5219934582260939]| 12.1446943283081055|      0.00781250|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[1.5015701623831181, 0.2637514239945031, 0.5837200238456827, 1.8646901013004307, -0.2779507064242849, -0.018518260864237, 0.8498988684578076, 0.0681053817499668, -0.6102689618393194, -0.2433593430945259, -0.601606832713702, 0.0721391906846119, -0.1628630017390345, 0.1202024539592927, 0.1823540693768909, -0.3288066888623954, -0.3657789208671937, 0.0134755580092744, 0.1843114658418828, -0.5385636345220766, 0.2806285579010399, 0.5226472569678998]| 12.1446752548217773|      0.01562500|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
