k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0815373805325473, -0.0343690387001647, -0.5188480935138035, -0.1089485491194052, 0.7225153336762306, 0.0168015693041139, -0.0003191966716623, 0.3401614034273547, 0.2703270461127537]|29518.7264830706917564|      2.00000000|[13, 1, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=2
       2|[-0.0815373805325473, -0.0343690387001647, -0.5188480935138035, -0.1089485491194052, 0.7225153336762306, 0.0168015693041139, -0.0003191966716623, 0.3401614034273547, 0.2703270461127537]|29518.7264830706917564|      1.00000000|[26, 2, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=2
       3|[-0.0815373805325473, -0.0343690387001647, -0.5188480935138035, -0.1089485491194052, 0.7225153336762306, 0.0168015693041139, -0.0003191966716623, 0.3401614034273547, 0.2703270461127537]|29518.7264830706917564|      0.50000000|[38, 4, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=2
       4|[-0.0815373805325473, -0.0343690387001647, -0.5188480935138035, -0.1089485491194052, 0.7225153336762306, 0.0168015693041139, -0.0003191966716623, 0.3401614034273547, 0.2703270461127537]|29518.7264830706917564|      0.25000000|[50, 6, 4, 8]                                                              |  | used linear model with 14 points | iterate failure | actual_k=2
       5|[-0.011709285370075, -0.0538274098125065, -0.480612869971061, 0.0396380487670195, 0.8110183961675053, 0.0742512229711633, 0.0428100751157021, 0.4790256438968386, 0.232527133600472]|12410.2061461391003832|      0.50000000|[62, 8, 5, 10]                                                             |  | used linear model with 14 points | iterate success | actual_k=2
       6|[-0.011709285370075, -0.0538274098125065, -0.480612869971061, 0.0396380487670195, 0.8110183961675053, 0.0742512229711633, 0.0428100751157021, 0.4790256438968386, 0.232527133600472]|12410.2061461391003832|      0.25000000|[74, 10, 6, 12]                                                            |  | used linear model with 14 points | iterate failure | actual_k=2
       7|[-0.011709285370075, -0.0538274098125065, -0.480612869971061, 0.0396380487670195, 0.8110183961675053, 0.0742512229711633, 0.0428100751157021, 0.4790256438968386, 0.232527133600472]|12410.2061461391003832|      0.12500000|[86, 12, 7, 14]                                                            |  | used linear model with 14 points | iterate failure | actual_k=2
       8|[-0.0043269864344943, -0.0441252302534721, -0.4822590360981855, -0.0365648929747232, 0.8229847676178057, -0.0162755592730742, 0.0423639092645805, 0.4521532779499755, 0.2571473634224186]|4153.5606884492290192|      0.25000000|[99, 13, 8, 16]                                                            |  | used linear model with 14 points | iterate success | actual_k=2
       9|[-0.0043269864344943, -0.0441252302534721, -0.4822590360981855, -0.0365648929747232, 0.8229847676178057, -0.0162755592730742, 0.0423639092645805, 0.4521532779499755, 0.2571473634224186]|4153.5606884492290192|      0.12500000|[112, 14, 9, 18]                                                           |  | used linear model with 14 points | iterate failure | actual_k=2
      10|[-0.0043269864344943, -0.0441252302534721, -0.4822590360981855, -0.0365648929747232, 0.8229847676178057, -0.0162755592730742, 0.0423639092645805, 0.4521532779499755, 0.2571473634224186]|4153.5606884492290192|      0.06250000|[126, 14, 10, 20]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      11|[0.0111854715222368, -0.0504252829498194, -0.4761074913607605, 0.0041878065929624, 0.8536891738102095, 0.0064159328392992, 0.0244221918658376, 0.4624519018437572, 0.2506923105010739]|623.4992441157160101|      0.12500000|[138, 16, 11, 22]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
      12|[0.0111854715222368, -0.0504252829498194, -0.4761074913607605, 0.0041878065929624, 0.8536891738102095, 0.0064159328392992, 0.0244221918658376, 0.4624519018437572, 0.2506923105010739]|623.4992441157160101|      0.06250000|[151, 17, 12, 24]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      13|[0.0111854715222368, -0.0504252829498194, -0.4761074913607605, 0.0041878065929624, 0.8536891738102095, 0.0064159328392992, 0.0244221918658376, 0.4624519018437572, 0.2506923105010739]|623.4992441157160101|      0.03125000|[163, 19, 13, 26]                                                          |  | used linear model with 14 points | iterate failure | actual_k=2
      14|[0.0123021096981432, -0.0674961716857445, -0.4718583302688211, -0.0015974147353349, 0.8694654136308702, -0.0009115245462435, 0.0091730137982134, 0.4526643077979713, 0.2519007878852152]|411.8616689354475398|      0.06250000|[175, 21, 14, 28]                                                          |  | used linear model with 14 points | iterate success | actual_k=2
