k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[10, 3, 0, 3]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.6049111757062205, -1.097912927318558, 20.045371766135418]                    |304.0815124511718750|      1.00000000|[16, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[0.6049111757062205, -1.097912927318558, 20.045371766135418]                    |304.0815124511718750|      0.50000000|[25, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.6049111757062205, -1.097912927318558, 20.045371766135418]                    |304.0815124511718750|      0.25000000|[34, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.6049111757062205, -1.097912927318558, 20.045371766135418]                    |304.0815124511718750|      0.12500000|[43, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.6049111757062205, -1.097912927318558, 20.045371766135418]                    |304.0815124511718750|      0.06250000|[52, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.6654313722109264, -1.1134378623571881, 20.04696305714529]                    |254.1957397460937500|      0.12500000|[58, 19, 0, 19]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[0.6654313722109264, -1.1134378623571881, 20.04696305714529]                    |254.1957397460937500|      0.06250000|[68, 22, 1, 23]                                                            |  | trying quadratic partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.7239700630372496, -1.1162424498476538, 20.0686795477768]                     |232.0403711207624724|      0.12500000|[77, 25, 2, 27]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      10|[0.7239700630372496, -1.1162424498476538, 20.0686795477768]                     |232.0403711207624724|      0.06250000|[87, 28, 2, 30]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
