k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0576447243587975, 0.1510849177211069, 0.0830614588794272, -0.0564038641386913, 0.9072714869857155, -0.1573674857042336, -0.2232844724256948, -0.2395801966136588, 0.0927853903362268]|30513.0110695555340499|      2.00000000|[53, 6, 1, 5]                                                              |  | used quadratic model with 59 points | iterate success | actual_k=2
       2|[-0.0576447243587975, 0.1510849177211069, 0.0830614588794272, -0.0564038641386913, 0.9072714869857155, -0.1573674857042336, -0.2232844724256948, -0.2395801966136588, 0.0927853903362268]|30513.0110695555340499|      1.00000000|[105, 13, 2, 10]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       3|[-0.0576447243587975, 0.1510849177211069, 0.0830614588794272, -0.0564038641386913, 0.9072714869857155, -0.1573674857042336, -0.2232844724256948, -0.2395801966136588, 0.0927853903362268]|30513.0110695555340499|      0.50000000|[157, 20, 3, 15]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       4|[-0.0576447243587975, 0.1510849177211069, 0.0830614588794272, -0.0564038641386913, 0.9072714869857155, -0.1573674857042336, -0.2232844724256948, -0.2395801966136588, 0.0927853903362268]|30513.0110695555340499|      0.25000000|[208, 28, 4, 20]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       5|[-0.0210050561612646, 0.1168707141133442, 0.0393053138576465, 0.0202154135652327, 0.9904646296429785, 0.0508253977210245, -0.2191915384284859, -0.2317647467439879, 0.0496739071404767]|3411.2756603446769077|      0.50000000|[261, 34, 5, 25]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=2
       6|[-0.0210050561612646, 0.1168707141133442, 0.0393053138576465, 0.0202154135652327, 0.9904646296429785, 0.0508253977210245, -0.2191915384284859, -0.2317647467439879, 0.0496739071404767]|3411.2756603446769077|      0.25000000|[314, 40, 6, 30]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       7|[-0.0210050561612646, 0.1168707141133442, 0.0393053138576465, 0.0202154135652327, 0.9904646296429785, 0.0508253977210245, -0.2191915384284859, -0.2317647467439879, 0.0496739071404767]|3411.2756603446769077|      0.12500000|[365, 48, 7, 35]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       8|[-0.0210050561612646, 0.1168707141133442, 0.0393053138576465, 0.0202154135652327, 0.9904646296429785, 0.0508253977210245, -0.2191915384284859, -0.2317647467439879, 0.0496739071404767]|3411.2756603446769077|      0.06250000|[416, 56, 8, 40]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       9|[-0.0163865779374629, 0.1171165574874016, 0.0407824824793211, -0.0057766188325514, 0.9948290732164319, -0.0052418120053098, -0.2180729792012273, -0.235067090613272, 0.0553620017818206]| 59.0159567104276945|      0.12500000|[467, 64, 9, 45]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=2
      10|[-0.0163865779374629, 0.1171165574874016, 0.0407824824793211, -0.0057766188325514, 0.9948290732164319, -0.0052418120053098, -0.2180729792012273, -0.235067090613272, 0.0553620017818206]| 59.0159567104276945|      0.06250000|[518, 72, 10, 50]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=2
      11|[-0.0163865779374629, 0.1171165574874016, 0.0407824824793211, -0.0057766188325514, 0.9948290732164319, -0.0052418120053098, -0.2180729792012273, -0.235067090613272, 0.0553620017818206]| 59.0159567104276945|      0.03125000|[570, 79, 11, 55]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=2
      12|[-0.0163865779374629, 0.1171165574874016, 0.0407824824793211, -0.0057766188325514, 0.9948290732164319, -0.0052418120053098, -0.2180729792012273, -0.235067090613272, 0.0553620017818206]| 59.0159567104276945|      0.01562500|[621, 87, 12, 60]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=2
      13|[-0.0163865779374629, 0.1171165574874016, 0.0407824824793211, -0.0057766188325514, 0.9948290732164319, -0.0052418120053098, -0.2180729792012273, -0.235067090613272, 0.0553620017818206]| 59.0159567104276945|      0.00781250|[673, 94, 13, 65]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=2
      14|[-0.0167261656357702, 0.1177147097894793, 0.0402950838690919, -0.0082524146474918, 0.9952835172047176, 0.0020943781983276, -0.2178195897224689, -0.2353826065983838, 0.0552915366208738]|  2.1772707365797213|      0.01562500|[724, 102, 14, 70]                                                         |  | used quadratic model with 59 points | iterate success | actual_k=2
      15|[-0.0167261656357702, 0.1177147097894793, 0.0402950838690919, -0.0082524146474918, 0.9952835172047176, 0.0020943781983276, -0.2178195897224689, -0.2353826065983838, 0.0552915366208738]|  2.1772707365797213|      0.00781250|[775, 110, 15, 75]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=2
      16|[-0.0167261656357702, 0.1177147097894793, 0.0402950838690919, -0.0082524146474918, 0.9952835172047176, 0.0020943781983276, -0.2178195897224689, -0.2353826065983838, 0.0552915366208738]|  2.1772707365797213|      0.00390625|[827, 117, 16, 80]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=2
      17|[-0.0167261656357702, 0.1177147097894793, 0.0402950838690919, -0.0082524146474918, 0.9952835172047176, 0.0020943781983276, -0.2178195897224689, -0.2353826065983838, 0.0552915366208738]|  2.1772707365797213|      0.00195312|[879, 124, 17, 85]                                                         |  | used quadratic model with 59 points | iterate failure | actual_k=2
      18|[-0.0168057974779908, 0.1177522981290688, 0.0399510480945673, -0.0101628648801259, 0.995221938205759, 0.0022354729989438, -0.2178770552151695, -0.2353569136719365, 0.0551861785583554]|  0.2973767605115564|      0.00390625|[930, 132, 18, 90]                                                         |  | used quadratic model with 59 points | iterate success | actual_k=2
