k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1793725383823168, -0.4714635327288328]                                       |  0.1656313181987089|      2.00000000|[3, 0, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=0
       2|[0.1793725383823168, -0.4714635327288328]                                       |  0.1656313181987089|      1.00000000|[6, 0, 2, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       3|[0.1793725383823168, -0.4714635327288328]                                       |  0.1656313181987089|      0.50000000|[9, 0, 3, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       4|[-0.2959560207827137, -0.3163417713860215]                                      |  0.0705899238391026|      1.00000000|[12, 0, 4, 8]                                                              |  | used linear model with 3 points | iterate success | actual_k=0
       5|[-0.2959560207827137, -0.3163417713860215]                                      |  0.0705899238391026|      0.50000000|[15, 0, 4, 9]                                                              |  | used linear model with 3 points | actual_k=0
       6|[-0.2959560207827137, -0.3163417713860215]                                      |  0.0705899238391026|      0.25000000|[17, 0, 5, 11]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       7|[-0.2117182307957282, -0.0809612396122392]                                      |  0.0067442562867591|      0.50000000|[20, 0, 6, 13]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
       8|[-0.2117182307957282, -0.0809612396122392]                                      |  0.0067442562867591|      0.25000000|[23, 0, 7, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       9|[-0.2117182307957282, -0.0809612396122392]                                      |  0.0067442562867591|      0.12500000|[26, 0, 8, 17]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      10|[-0.0904501294634807, -0.0506454417624091]                                      |  0.0002625035130807|      0.25000000|[29, 0, 9, 19]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
      11|[-0.0904501294634807, -0.0506454417624091]                                      |  0.0002625035130807|      0.12500000|[32, 0, 9, 20]                                                             |  | used linear model with 3 points | actual_k=0
