k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2040932057683985, 0.1409678892574361, 0.1156704126887304, 0.1172215687207009, 0.9204536868273793, -0.2027975277348338, 0.0689439564953441, -0.1262207277183785, 0.048028209628229]|58676.6685520189057570|      2.00000000|[59, 0, 1, 5]                                                              |  | used quadratic model with 59 points | iterate success | actual_k=0
       2|[0.2040932057683985, 0.1409678892574361, 0.1156704126887304, 0.1172215687207009, 0.9204536868273793, -0.2027975277348338, 0.0689439564953441, -0.1262207277183785, 0.048028209628229]|58676.6685520189057570|      1.00000000|[118, 0, 2, 10]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       3|[0.2040932057683985, 0.1409678892574361, 0.1156704126887304, 0.1172215687207009, 0.9204536868273793, -0.2027975277348338, 0.0689439564953441, -0.1262207277183785, 0.048028209628229]|58676.6685520189057570|      0.50000000|[177, 0, 3, 15]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       4|[0.2648201659349011, 0.0358879133062667, 0.1379467092008567, -0.0971831183475318, 1.011972425617691, 0.202290675707923, 0.0419608966077884, -0.0786066525196891, 0.163516364621472]|33407.5068243537607486|      1.00000000|[236, 0, 4, 20]                                                            |  | used quadratic model with 59 points | iterate success | actual_k=0
       5|[0.2648201659349011, 0.0358879133062667, 0.1379467092008567, -0.0971831183475318, 1.011972425617691, 0.202290675707923, 0.0419608966077884, -0.0786066525196891, 0.163516364621472]|33407.5068243537607486|      0.50000000|[295, 0, 5, 25]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       6|[0.5493599645604823, -0.1431481271013513, 0.2399705575366841, 0.0326024120224809, 0.9036994056053955, -0.0934749486726944, -0.0113443744607796, -0.1424249135751088, 0.1033875369684455]|10415.8699108219880145|      1.00000000|[354, 0, 6, 30]                                                            |  | used quadratic model with 59 points | iterate success | actual_k=0
       7|[0.5493599645604823, -0.1431481271013513, 0.2399705575366841, 0.0326024120224809, 0.9036994056053955, -0.0934749486726944, -0.0113443744607796, -0.1424249135751088, 0.1033875369684455]|10415.8699108219880145|      0.50000000|[413, 0, 7, 35]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       8|[0.5493599645604823, -0.1431481271013513, 0.2399705575366841, 0.0326024120224809, 0.9036994056053955, -0.0934749486726944, -0.0113443744607796, -0.1424249135751088, 0.1033875369684455]|10415.8699108219880145|      0.25000000|[472, 0, 8, 40]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       9|[0.5493599645604823, -0.1431481271013513, 0.2399705575366841, 0.0326024120224809, 0.9036994056053955, -0.0934749486726944, -0.0113443744607796, -0.1424249135751088, 0.1033875369684455]|10415.8699108219880145|      0.12500000|[531, 0, 9, 45]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
      10|[0.5558490738594281, -0.1557503056140015, 0.2291198770487794, -0.002130139241147, 0.9253905676723577, 0.0221946811839717, -0.0138640695249527, -0.1437820053079817, 0.118938383528337]|286.9170898144551529|      0.25000000|[590, 0, 10, 50]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=0
      11|[0.5558490738594281, -0.1557503056140015, 0.2291198770487794, -0.002130139241147, 0.9253905676723577, 0.0221946811839717, -0.0138640695249527, -0.1437820053079817, 0.118938383528337]|286.9170898144551529|      0.12500000|[649, 0, 11, 55]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      12|[0.5558490738594281, -0.1557503056140015, 0.2291198770487794, -0.002130139241147, 0.9253905676723577, 0.0221946811839717, -0.0138640695249527, -0.1437820053079817, 0.118938383528337]|286.9170898144551529|      0.06250000|[708, 0, 12, 60]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      13|[0.5558490738594281, -0.1557503056140015, 0.2291198770487794, -0.002130139241147, 0.9253905676723577, 0.0221946811839717, -0.0138640695249527, -0.1437820053079817, 0.118938383528337]|286.9170898144551529|      0.03125000|[767, 0, 13, 65]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      14|[0.5558490738594281, -0.1557503056140015, 0.2291198770487794, -0.002130139241147, 0.9253905676723577, 0.0221946811839717, -0.0138640695249527, -0.1437820053079817, 0.118938383528337]|286.9170898144551529|      0.01562500|[826, 0, 14, 70]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      15|[0.5555215632648085, -0.155952123075188, 0.2293881355590345, 0.0022559112187812, 0.9266804749289921, 0.0073352248806027, -0.0141340020092843, -0.1448394822063096, 0.1199507110239465]| 46.2427051378743101|      0.03125000|[885, 0, 15, 75]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=0
      16|[0.5555215632648085, -0.155952123075188, 0.2293881355590345, 0.0022559112187812, 0.9266804749289921, 0.0073352248806027, -0.0141340020092843, -0.1448394822063096, 0.1199507110239465]| 46.2427051378743101|      0.01562500|[944, 0, 16, 80]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
