k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[94, 6, 1, 8]                                                              |  | used linear model with 100 points | iterate failure | actual_k=1
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[188, 12, 2, 16]                                                           |  | used linear model with 100 points | iterate failure | actual_k=1
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[282, 18, 3, 24]                                                           |  | used linear model with 100 points | iterate failure | actual_k=1
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[376, 24, 4, 32]                                                           |  | used linear model with 100 points | iterate failure | actual_k=1
       5|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.03125000|[470, 30, 5, 40]                                                           |  | used linear model with 100 points | iterate failure | actual_k=1
       6|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.01562500|[564, 36, 6, 48]                                                           |  | used linear model with 100 points | iterate failure | actual_k=1
       7|[0.5972651882824989, 0.0171671973763388, 1.8881087567799582, 0.6510044215516839, 0.0221296322977329, 2.0015100446763285, 1.2973814986972272, 0.0226767630731553, 2.1213698970025554, -0.0219522578521797, 0.0206941356181737, 2.1612943583349398, 1.2308899113616023, 0.0203665402978269, 2.2210676377066845, 0.2206571454172273, 0.019373901469401, 2.283978647498385, 1.3360380574216237, 0.0196621828366047, 2.3883016951593303, 4.504973542191065, 0.0262648878443408, 2.486417262819947, 0.6588627357543066, 0.0180417933899209, 2.55838391763896, 4.389809742382884, 0.0229932194143596, 2.7085853990276085, 0.2295639693444986, 0.0200829741264255, 2.941203621990944, 0.236501347015744, 0.019721124131208, 2.9671757055124486, 0.7114574943668596, 0.0209928767570828, 3.1299397515562486, 0.2029083872842309, 0.0209092412319537, 3.2279003241413022, -0.0651135595742764, 0.0203595735881014, 3.255380960981854, 1.3792487972238086, 0.0177853204227175, 3.3805253849672177, 0.2416999558270743, 0.019596997073733, 3.668613089460723, 0.0604340246197888, 0.0193948725868129, 3.7221231578403384, 0.0193226968099587, 0.018283932409936, 3.83055165632682, 0.4156015794863266, 0.0199890940560757, 3.9572395500422854, 0.264657544647365, 0.0188620238893643, 4.05299125247902, 0.8202026600879069, 0.0188458803959553, 4.174755503295106, 0.966292167504817, 0.0165031794687307, 4.428708813876075, 0.7411309973368676, 0.0192363530448627, 4.559319882776165, 0.2150293215894984, 0.0204966541858806, 4.602923226561914, 0.5014038472724548, 0.0202909078986895, 4.704810937093721, 0.0512727771137681, 0.0192072921931509, 4.799888585735308, 0.3683195156333706, 0.0173151813068792, 4.967387859663354, 0.1618553253160517, 0.0180508583653944, 5.393055200822803, 0.2888316000155675, 0.0195282568971342, 5.419896993434885, 0.0980687048827764, 0.0221836225508258, 2.585250659498893, -0.0003987832570842, 0.0171350982014087, 3.860345669762928, 0.1548623548239242, 0.0205145038500365, 5.199197725655208]|431026.9121174023021013|      0.03125000|[658, 42, 7, 56]                                                           |  | used linear model with 100 points | iterate success | actual_k=1
       8|[0.5977752720386599, 0.0153097663234017, 1.8883792792347427, 0.6495306455881146, 0.0214412898951302, 2.0037365779478886, 1.2930545107964801, 0.0285242183421892, 2.124686418228059, -0.022532283879624, 0.0202959386225059, 2.1640161962894977, 1.2324354439519047, 0.0237128504536865, 2.2237943093547154, 0.2230918487954397, 0.019064169944568, 2.279939241308542, 1.3382846989378985, 0.0186652766220711, 2.389995675287116, 4.508470292933742, 0.0319007994881755, 2.4869959969775874, 0.6576515922759888, 0.018500369772383, 2.5590681419938868, 4.389358067301376, 0.0332006505946419, 2.7056844779163445, 0.2293187589723424, 0.0205562483891737, 2.9395529410014176, 0.2345676944398454, 0.0200293223885158, 2.9712029510814637, 0.7099603530251509, 0.0183312555918892, 3.128440562663195, 0.1999049191148373, 0.0218507757245381, 3.225459898260497, -0.0581784988792588, 0.0154632653415431, 3.253722548008032, 1.3776225718312027, 0.0263542598737178, 3.3836379595988055, 0.2450043618307775, 0.0228234275118064, 3.673769890142653, 0.0610393054172831, 0.0215509260961797, 3.717216048627183, 0.0213110450187381, 0.0152134912675789, 3.8306614771867205, 0.4167147451893396, 0.0218445021465871, 3.95953370260192, 0.2607742205728388, 0.0238095641094133, 4.057973957330556, 0.8231940862155396, 0.0185923817104614, 4.175608576529279, 0.9688741038465887, 0.0175823259512404, 4.4286521159447645, 0.7429435318020003, 0.0225910950941441, 4.556809634717281, 0.2089485526432052, 0.0276736477561846, 4.605391128657689, 0.4977676131654157, 0.0192782756730233, 4.702305464064891, 0.0538247690313895, 0.0187448616643233, 4.799004849707688, 0.3674012899258285, 0.0193414367276205, 4.96471188609251, 0.1615369238495382, 0.0127150571276807, 5.38978098105717, 0.2916836893740691, 0.0199112108634327, 5.4173952859725505, 0.0992150039869859, 0.0186280476137142, 2.585050000013999, 0.0056599694528751, 0.0138192269810626, 3.862480242290657, 0.157134246551094, 0.0205179869542764, 5.196440348090895]|367614.8177706032874994|      0.06250000|[752, 48, 8, 64]                                                           |  | used linear model with 100 points | iterate success | actual_k=1
       9|[0.5977752720386599, 0.0153097663234017, 1.8883792792347427, 0.6495306455881146, 0.0214412898951302, 2.0037365779478886, 1.2930545107964801, 0.0285242183421892, 2.124686418228059, -0.022532283879624, 0.0202959386225059, 2.1640161962894977, 1.2324354439519047, 0.0237128504536865, 2.2237943093547154, 0.2230918487954397, 0.019064169944568, 2.279939241308542, 1.3382846989378985, 0.0186652766220711, 2.389995675287116, 4.508470292933742, 0.0319007994881755, 2.4869959969775874, 0.6576515922759888, 0.018500369772383, 2.5590681419938868, 4.389358067301376, 0.0332006505946419, 2.7056844779163445, 0.2293187589723424, 0.0205562483891737, 2.9395529410014176, 0.2345676944398454, 0.0200293223885158, 2.9712029510814637, 0.7099603530251509, 0.0183312555918892, 3.128440562663195, 0.1999049191148373, 0.0218507757245381, 3.225459898260497, -0.0581784988792588, 0.0154632653415431, 3.253722548008032, 1.3776225718312027, 0.0263542598737178, 3.3836379595988055, 0.2450043618307775, 0.0228234275118064, 3.673769890142653, 0.0610393054172831, 0.0215509260961797, 3.717216048627183, 0.0213110450187381, 0.0152134912675789, 3.8306614771867205, 0.4167147451893396, 0.0218445021465871, 3.95953370260192, 0.2607742205728388, 0.0238095641094133, 4.057973957330556, 0.8231940862155396, 0.0185923817104614, 4.175608576529279, 0.9688741038465887, 0.0175823259512404, 4.4286521159447645, 0.7429435318020003, 0.0225910950941441, 4.556809634717281, 0.2089485526432052, 0.0276736477561846, 4.605391128657689, 0.4977676131654157, 0.0192782756730233, 4.702305464064891, 0.0538247690313895, 0.0187448616643233, 4.799004849707688, 0.3674012899258285, 0.0193414367276205, 4.96471188609251, 0.1615369238495382, 0.0127150571276807, 5.38978098105717, 0.2916836893740691, 0.0199112108634327, 5.4173952859725505, 0.0992150039869859, 0.0186280476137142, 2.585050000013999, 0.0056599694528751, 0.0138192269810626, 3.862480242290657, 0.157134246551094, 0.0205179869542764, 5.196440348090895]|367614.8177706032874994|      0.03125000|[846, 54, 9, 72]                                                           |  | used linear model with 100 points | iterate failure | actual_k=1
      10|[0.5983591816392674, 0.0130526147655599, 1.889181278280142, 0.6540085832140771, 0.0241383400762825, 2.001873190749946, 1.2898740046907202, 0.0340242899229685, 2.12402028379521, -0.0179019136758934, 0.0163507861585623, 2.1617395895659586, 1.232361005650343, 0.0267172842638021, 2.2266871911707717, 0.2251595660423315, 0.0203369816876166, 2.2803622539797095, 1.3381527799508879, 0.0250516781816585, 2.386823238727426, 4.508843354818711, 0.0439144568929157, 2.486794907071353, 0.6582796005027073, 0.0197984150005754, 2.5579400269036108, 4.38743322619322, 0.0431246377938536, 2.7055580190037856, 0.2335219419550186, 0.0209344553029173, 2.9396756671771893, 0.2287709073744374, 0.0204100743605571, 2.9689647813462305, 0.7117310243147529, 0.0206474907194892, 3.1317822618612805, 0.1983288763396264, 0.0209513358105581, 3.2278391551094514, -0.0536871034551283, 0.0145446070374792, 3.2492251007029354, 1.371994697539015, 0.0260686750514997, 3.3855759272633317, 0.244757659615923, 0.0232960343113065, 3.6718329678395194, 0.0627483464958804, 0.0229034654364795, 3.712198892640375, 0.0229852067794808, 0.0162552569065668, 3.8268340430146153, 0.4135737480773185, 0.0249929248438703, 3.9573174153543604, 0.2618823218558741, 0.0174074360008435, 4.059416554773494, 0.8258944692625144, 0.0226569938307513, 4.170699207039493, 0.971268151712215, 0.0224616194419548, 4.425764048604194, 0.7449229859394398, 0.0275350709099874, 4.556390992680536, 0.2115316808791581, 0.0271967839996534, 4.603832607032267, 0.4994535994329126, 0.0217094655139375, 4.704550122081142, 0.0479261988102475, 0.0207828687415023, 4.797093723893838, 0.3662630738847961, 0.0213754859496376, 4.966583598680455, 0.1608992316511516, 0.0124260341177107, 5.390682430865763, 0.2901995122093753, 0.0184312759225992, 5.415989959483227, 0.0998587417211159, 0.0189821213540035, 2.582540866956963, 0.0052968765227944, 0.0119473623175277, 3.86189554530282, 0.1588884542055902, 0.0201816314312468, 5.202619216713839]|320553.0221295831142925|      0.06250000|[940, 60, 10, 80]                                                          |  | used linear model with 100 points | iterate success | actual_k=1
      11|[0.5983591816392674, 0.0130526147655599, 1.889181278280142, 0.6540085832140771, 0.0241383400762825, 2.001873190749946, 1.2898740046907202, 0.0340242899229685, 2.12402028379521, -0.0179019136758934, 0.0163507861585623, 2.1617395895659586, 1.232361005650343, 0.0267172842638021, 2.2266871911707717, 0.2251595660423315, 0.0203369816876166, 2.2803622539797095, 1.3381527799508879, 0.0250516781816585, 2.386823238727426, 4.508843354818711, 0.0439144568929157, 2.486794907071353, 0.6582796005027073, 0.0197984150005754, 2.5579400269036108, 4.38743322619322, 0.0431246377938536, 2.7055580190037856, 0.2335219419550186, 0.0209344553029173, 2.9396756671771893, 0.2287709073744374, 0.0204100743605571, 2.9689647813462305, 0.7117310243147529, 0.0206474907194892, 3.1317822618612805, 0.1983288763396264, 0.0209513358105581, 3.2278391551094514, -0.0536871034551283, 0.0145446070374792, 3.2492251007029354, 1.371994697539015, 0.0260686750514997, 3.3855759272633317, 0.244757659615923, 0.0232960343113065, 3.6718329678395194, 0.0627483464958804, 0.0229034654364795, 3.712198892640375, 0.0229852067794808, 0.0162552569065668, 3.8268340430146153, 0.4135737480773185, 0.0249929248438703, 3.9573174153543604, 0.2618823218558741, 0.0174074360008435, 4.059416554773494, 0.8258944692625144, 0.0226569938307513, 4.170699207039493, 0.971268151712215, 0.0224616194419548, 4.425764048604194, 0.7449229859394398, 0.0275350709099874, 4.556390992680536, 0.2115316808791581, 0.0271967839996534, 4.603832607032267, 0.4994535994329126, 0.0217094655139375, 4.704550122081142, 0.0479261988102475, 0.0207828687415023, 4.797093723893838, 0.3662630738847961, 0.0213754859496376, 4.966583598680455, 0.1608992316511516, 0.0124260341177107, 5.390682430865763, 0.2901995122093753, 0.0184312759225992, 5.415989959483227, 0.0998587417211159, 0.0189821213540035, 2.582540866956963, 0.0052968765227944, 0.0119473623175277, 3.86189554530282, 0.1588884542055902, 0.0201816314312468, 5.202619216713839]|320553.0221295831142925|      0.03125000|[1034, 66, 11, 88]                                                         |  | used linear model with 100 points | iterate failure | actual_k=1
