k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1793725383823168, 0.4285364672711671]                                        |  0.6568235545385896|      2.00000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       2|[0.1793725383823168, 0.4285364672711671]                                        |  0.6568235545385896|      1.00000000|[5, 1, 2, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       3|[0.1793725383823168, 0.4285364672711671]                                        |  0.6568235545385896|      0.50000000|[8, 1, 2, 5]                                                               |  | used linear model with 3 points | actual_k=1
       4|[0.1793725383823168, 0.4285364672711671]                                        |  0.6568235545385896|      0.25000000|[9, 2, 3, 7]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[0.3690197378753308, 0.265644049631619]                                         |  0.5139225795019733|      0.50000000|[12, 2, 4, 9]                                                              |  | used linear model with 3 points | iterate success | actual_k=1
       6|[-0.104374514763883, 0.4265722372438586]                                        |  0.3869510628453541|      1.00000000|[15, 2, 5, 11]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
       7|[-0.104374514763883, 0.4265722372438586]                                        |  0.3869510628453541|      0.50000000|[18, 2, 6, 13]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       8|[-0.104374514763883, 0.4265722372438586]                                        |  0.3869510628453541|      0.25000000|[21, 2, 7, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       9|[-0.104374514763883, 0.4265722372438586]                                        |  0.3869510628453541|      0.12500000|[23, 3, 7, 16]                                                             |  | used linear model with 3 points | actual_k=1
      10|[-0.2256426160961304, 0.3962564393940285]                                       |  0.2681408254842232|      0.25000000|[24, 4, 8, 18]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
      11|[-0.0763944650329987, 0.1956947546079343]                                       |  0.0609898725782336|      0.50000000|[27, 4, 9, 20]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
