k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1093901636597027, 0.3604934051705352, -0.0281920427980415, 0.0308481111881849, 0.6104217084026865, -0.270079265292418, 0.1770480437329906, 0.3801261917790422, -0.48469835628542]|214523.2506343047716655|      2.00000000|[52, 3, 1, 5]                                                              |  | used quadratic model with 55 points | iterate success | actual_k=1
       2|[0.1093901636597027, 0.3604934051705352, -0.0281920427980415, 0.0308481111881849, 0.6104217084026865, -0.270079265292418, 0.1770480437329906, 0.3801261917790422, -0.48469835628542]|214523.2506343047716655|      1.00000000|[104, 6, 2, 10]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=1
       3|[0.1093901636597027, 0.3604934051705352, -0.0281920427980415, 0.0308481111881849, 0.6104217084026865, -0.270079265292418, 0.1770480437329906, 0.3801261917790422, -0.48469835628542]|214523.2506343047716655|      0.50000000|[155, 10, 3, 15]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       4|[0.0863695939646746, 0.2189681277576397, -0.2230265689824377, 0.0061088762641611, 0.8752336463420602, 0.0595270532465347, 0.0800980561958884, 0.3288834121718073, -0.493491344666341]|17243.3643890371131420|      1.00000000|[206, 14, 4, 20]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=1
       5|[0.0863695939646746, 0.2189681277576397, -0.2230265689824377, 0.0061088762641611, 0.8752336463420602, 0.0595270532465347, 0.0800980561958884, 0.3288834121718073, -0.493491344666341]|17243.3643890371131420|      0.50000000|[258, 17, 5, 25]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       6|[0.0863695939646746, 0.2189681277576397, -0.2230265689824377, 0.0061088762641611, 0.8752336463420602, 0.0595270532465347, 0.0800980561958884, 0.3288834121718073, -0.493491344666341]|17243.3643890371131420|      0.25000000|[310, 20, 6, 30]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       7|[-0.0775488563862552, 0.2121354208905245, -0.2517450677015967, -0.0417290921246869, 0.9695518269388244, -0.0533218686652986, 0.1305675532833975, 0.3776281779175085, -0.4165705303730246]|6168.7883637879003800|      0.50000000|[362, 23, 7, 35]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=1
       8|[-0.0775488563862552, 0.2121354208905245, -0.2517450677015967, -0.0417290921246869, 0.9695518269388244, -0.0533218686652986, 0.1305675532833975, 0.3776281779175085, -0.4165705303730246]|6168.7883637879003800|      0.25000000|[413, 27, 8, 40]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       9|[-0.0775488563862552, 0.2121354208905245, -0.2517450677015967, -0.0417290921246869, 0.9695518269388244, -0.0533218686652986, 0.1305675532833975, 0.3776281779175085, -0.4165705303730246]|6168.7883637879003800|      0.12500000|[465, 30, 9, 45]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
      10|[-0.0775488563862552, 0.2121354208905245, -0.2517450677015967, -0.0417290921246869, 0.9695518269388244, -0.0533218686652986, 0.1305675532833975, 0.3776281779175085, -0.4165705303730246]|6168.7883637879003800|      0.06250000|[516, 34, 10, 50]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=1
      11|[-0.0758895134448331, 0.211456756988539, -0.2485064618942001, -0.0010165974927924, 0.9749877922831462, -0.0064563305170592, 0.1281982026728741, 0.3760620089792698, -0.4155482207449231]|306.2704748553612148|      0.12500000|[568, 37, 11, 55]                                                          |  | used quadratic model with 55 points | iterate success | actual_k=1
      12|[-0.0758895134448331, 0.211456756988539, -0.2485064618942001, -0.0010165974927924, 0.9749877922831462, -0.0064563305170592, 0.1281982026728741, 0.3760620089792698, -0.4155482207449231]|306.2704748553612148|      0.06250000|[619, 41, 12, 60]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=1
      13|[-0.0758895134448331, 0.211456756988539, -0.2485064618942001, -0.0010165974927924, 0.9749877922831462, -0.0064563305170592, 0.1281982026728741, 0.3760620089792698, -0.4155482207449231]|306.2704748553612148|      0.03125000|[670, 45, 13, 65]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=1
      14|[-0.0758895134448331, 0.211456756988539, -0.2485064618942001, -0.0010165974927924, 0.9749877922831462, -0.0064563305170592, 0.1281982026728741, 0.3760620089792698, -0.4155482207449231]|306.2704748553612148|      0.01562500|[722, 48, 14, 70]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=1
