k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4998817758072962, 0.1339063502046999]                                        |  1.5403467416763306|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.4998817758072962, 0.1339063502046999]                                        |  1.5403467416763306|      1.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.353739433102706, -0.3866002310005665]                                        |  0.5200930237770081|      2.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.353739433102706, -0.3866002310005665]                                        |  0.5200930237770081|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.353739433102706, -0.3866002310005665]                                        |  0.5200930237770081|      0.50000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.0076673678493657, -0.747479886358537]                                        |  0.0638580396771431|      1.00000000|[29, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.0076673678493657, -0.747479886358537]                                        |  0.0638580396771431|      0.50000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.0076673678493657, -0.747479886358537]                                        |  0.0638580396771431|      0.25000000|[39, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.966642336686888, -0.9940908082945246]                                        |  0.0022472741547972|      0.50000000|[44, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[1.966642336686888, -0.9940908082945246]                                        |  0.0022472741547972|      0.25000000|[49, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
