k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6681363439230836, 10.001595144835456, 1.7440371505792227]                    |  1.0168416500091553|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.6681363439230836, 10.001595144835456, 1.7440371505792227]                    |  1.0168416500091553|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.6681363439230836, 10.001595144835456, 1.7440371505792227]                    |  1.0168416500091553|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.2804535575371017, 10.29115689598655, 1.618116344473507]                      |  0.2972722351551056|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.2804535575371017, 10.29115689598655, 1.618116344473507]                      |  0.2972722351551056|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.2804535575371017, 10.29115689598655, 1.618116344473507]                      |  0.2972722351551056|      0.25000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.2804535575371017, 10.29115689598655, 1.618116344473507]                      |  0.2972722351551056|      0.12500000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.28466793481529, 10.309827930326493, 1.4945905111396096]                      |  0.2041046917438507|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.28466793481529, 10.309827930326493, 1.4945905111396096]                      |  0.2041046917438507|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.3150748112629335, 10.352657610726418, 1.3811619418039343]                    |  0.1722667217254639|      0.25000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.4925194014035305, 10.423618492261307, 1.2199851112059015]                    |  0.0884357020258904|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.4925194014035305, 10.423618492261307, 1.2199851112059015]                    |  0.0884357020258904|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.4925194014035305, 10.423618492261307, 1.2199851112059015]                    |  0.0884357020258904|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.5926074191977146, 10.424417419926385, 1.2948633484221783]                    |  0.0541017428040504|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.5926074191977146, 10.424417419926385, 1.2948633484221783]                    |  0.0541017428040504|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
