k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[5050, 0, 1, 80]                                                           |  | used quadratic model with 5050 points | iterate failure | actual_k=0
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[10100, 0, 2, 160]                                                         |  | used quadratic model with 5050 points | iterate failure | actual_k=0
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[15150, 0, 3, 240]                                                         |  | used quadratic model with 5050 points | iterate failure | actual_k=0
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[20200, 0, 4, 320]                                                         |  | used quadratic model with 5050 points | iterate failure | actual_k=0
       5|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.03125000|[25250, 0, 5, 400]                                                         |  | used quadratic model with 5050 points | iterate failure | actual_k=0
       6|[1.0214911030963665, 0.0201690351553214, 1.8878449675050606, 0.0128357197205179, 0.0201252134335873, 2.0015002194686597, 0.4293257400141949, 0.0199381426011447, 2.118799815004236, 0.8009679383306373, 0.0200674943701907, 2.162460686599411, 0.2200660970650407, 0.0201438167453523, 2.2194759006754112, 2.6916029450941696, 0.0206811576405714, 2.2812728279416805, 0.8065673987182114, 0.0201376779860279, 2.390468736009423, 2.2685233170935737, 0.0198099156091638, 2.48781923889454, 14.352804394768974, 0.0457804693978836, 2.5582072510113245, 12.161568050337301, 0.0373905472064419, 2.707564496571669, 0.2765865255826984, 0.0199732037640659, 2.940498535119971, 0.2432896673200123, 0.0199248449525184, 2.9667188168499985, 1.1652180750791363, 0.0202568394037332, 3.129078373729848, 0.1774801986073007, 0.0201592198990212, 3.226518628975247, 0.1155913365614197, 0.0199483852283224, 3.2553757032220023, 3.7468395651055424, 0.0217501807365861, 3.380166337504167, 0.8332770557403818, 0.0200648798929351, 3.6694136169578946, 0.1585713668905497, 0.0198158516957287, 3.7221347027554863, 0.3867057724830413, 0.0200343849813154, 3.8312312201886045, 0.9231085036422173, 0.0200600207597096, 3.9590637020370236, 0.2595553577658904, 0.0201406712892221, 4.052492837182106, 2.070986324201213, 0.0208439288600559, 4.1746529854666985, 1.9447264916983413, 0.0203616952032198, 4.431201333188746, 1.484304216183967, 0.0201141531573814, 4.5592369238887, 0.4818646941612178, 0.0198722100105319, 4.601331510179905, 0.4932741066113799, 0.0199516273131587, 4.704641943018614, 0.3290409626110292, 0.0200820691806131, 4.800676717485382, 0.8400576509094468, 0.020419697561851, 4.968823414714366, 0.4599648514696182, 0.0200867446505789, 5.395251512609183, 0.4912008105169812, 0.0199162301795904, 5.418879833534635, 0.9859936345949617, 0.0206466347979245, 2.5874408767876083, -0.0178242771442232, 0.0201912303412375, 3.8620319850471794, 0.2653086027077141, 0.0199979007399907, 5.198536700094084]|2538825.2762576658278704|      0.06250000|[30300, 0, 6, 480]                                                         |  | used quadratic model with 5050 points | iterate success | actual_k=0
       7|[1.0208569182409437, 0.0201391982163435, 1.8872461806176857, 0.0115552950740999, 0.0188495599709074, 2.002688650423087, 0.4302922854130086, 0.0214165734017651, 2.1160730565486023, 0.8007814540629977, 0.0196048565608466, 2.1623029633145094, 0.2217335913583258, 0.0205923564399356, 2.219502001588698, 2.69036375615131, 0.0340204211849971, 2.2817476463871302, 0.8066698156214033, 0.0214911734992949, 2.3913452739819934, 2.26807326553952, 0.0266105943308551, 2.483875654967129, 14.350590607918456, 0.0860231647847602, 2.5493083241090866, 12.163344422620877, 0.0726594280442449, 2.7161924008364675, 0.277125977058749, 0.0232167593545549, 2.939924347258288, 0.2437068840153654, 0.0203962181406093, 2.9675472213312135, 1.1665508631915131, 0.0230875312852641, 3.130470407167873, 0.1775753684527825, 0.0201941645161952, 3.226448878774469, 0.1169685281256698, 0.0195144318875701, 3.2561413053120463, 3.746740006279575, 0.0393274556908162, 3.37879892506726, 0.831479619445597, 0.0211102033567479, 3.670852695309031, 0.1589608785251419, 0.0191129998228725, 3.7221367269312307, 0.3859088362038903, 0.0206685085308297, 3.830023815886292, 0.9223399169995423, 0.0212725859235583, 3.9589627580878766, 0.2615076180316916, 0.0192543482203127, 4.051785650047493, 2.06970632641418, 0.0329453290189417, 4.1760598595279745, 1.9450337803850617, 0.0245749343212535, 4.430583044997679, 1.4849162716572524, 0.0236217235177241, 4.560897650486746, 0.4827937474921003, 0.0217940331491144, 4.602274181988676, 0.4931278509963904, 0.0190981606957146, 4.704222443699951, 0.3315050229057891, 0.0184355657897748, 4.800330520764868, 0.8400909481666499, 0.0199302843981266, 4.9663735349937665, 0.4593985941852606, 0.0228625695313791, 5.394425769667991, 0.4888271797145629, 0.0200933569643712, 5.418925881573569, 0.9834286759112693, 0.0258645962076974, 2.589931336365486, -0.0179589325393328, 0.0203096253970225, 3.861300955659242, 0.2669265484206114, 0.0205215656629974, 5.197931969884835]|1784813.7174021361861378|      0.12500000|[35350, 0, 7, 560]                                                         |  | used quadratic model with 5050 points | iterate success | actual_k=0
       8|[1.0208569182409437, 0.0201391982163435, 1.8872461806176857, 0.0115552950740999, 0.0188495599709074, 2.002688650423087, 0.4302922854130086, 0.0214165734017651, 2.1160730565486023, 0.8007814540629977, 0.0196048565608466, 2.1623029633145094, 0.2217335913583258, 0.0205923564399356, 2.219502001588698, 2.69036375615131, 0.0340204211849971, 2.2817476463871302, 0.8066698156214033, 0.0214911734992949, 2.3913452739819934, 2.26807326553952, 0.0266105943308551, 2.483875654967129, 14.350590607918456, 0.0860231647847602, 2.5493083241090866, 12.163344422620877, 0.0726594280442449, 2.7161924008364675, 0.277125977058749, 0.0232167593545549, 2.939924347258288, 0.2437068840153654, 0.0203962181406093, 2.9675472213312135, 1.1665508631915131, 0.0230875312852641, 3.130470407167873, 0.1775753684527825, 0.0201941645161952, 3.226448878774469, 0.1169685281256698, 0.0195144318875701, 3.2561413053120463, 3.746740006279575, 0.0393274556908162, 3.37879892506726, 0.831479619445597, 0.0211102033567479, 3.670852695309031, 0.1589608785251419, 0.0191129998228725, 3.7221367269312307, 0.3859088362038903, 0.0206685085308297, 3.830023815886292, 0.9223399169995423, 0.0212725859235583, 3.9589627580878766, 0.2615076180316916, 0.0192543482203127, 4.051785650047493, 2.06970632641418, 0.0329453290189417, 4.1760598595279745, 1.9450337803850617, 0.0245749343212535, 4.430583044997679, 1.4849162716572524, 0.0236217235177241, 4.560897650486746, 0.4827937474921003, 0.0217940331491144, 4.602274181988676, 0.4931278509963904, 0.0190981606957146, 4.704222443699951, 0.3315050229057891, 0.0184355657897748, 4.800330520764868, 0.8400909481666499, 0.0199302843981266, 4.9663735349937665, 0.4593985941852606, 0.0228625695313791, 5.394425769667991, 0.4888271797145629, 0.0200933569643712, 5.418925881573569, 0.9834286759112693, 0.0258645962076974, 2.589931336365486, -0.0179589325393328, 0.0203096253970225, 3.861300955659242, 0.2669265484206114, 0.0205215656629974, 5.197931969884835]|1784813.7174021361861378|      0.06250000|[40400, 0, 8, 640]                                                         |  | used quadratic model with 5050 points | iterate failure | actual_k=0
       9|[1.020351188659857, 0.0266530246773268, 1.886697936575846, 0.0109409481745853, 0.0187619603258685, 2.003393977416466, 0.4294881230165717, 0.0215106558945613, 2.1143850121993717, 0.8006183979715372, 0.0233754656422531, 2.161395303923353, 0.2217952858912022, 0.0202959133013432, 2.218227737725971, 2.689616089497841, 0.0399870610746118, 2.28027807999009, 0.8072165961207642, 0.0216277398054956, 2.3908604398723083, 2.2668929788933676, 0.0352576042085284, 2.473811931468275, 14.34889259063389, 0.1282049824821858, 2.537648073034346, 12.161506122249088, 0.1019744536951767, 2.7378666221629993, 0.277334629131568, 0.02367702032635, 2.9403748907191005, 0.24321332840125, 0.0199821872221006, 2.968143536068189, 1.1662292459406618, 0.0264577171541356, 3.130257666370618, 0.1775846748456352, 0.0204842798684759, 3.225650523010292, 0.1164401288032488, 0.0195925586094081, 3.2560421568916516, 3.746932525890567, 0.0497269273649631, 3.3794955489329075, 0.831257192690998, 0.0248497518058079, 3.6702081170478316, 0.1582929647854835, 0.0190676493564831, 3.722097340477373, 0.3848036060764404, 0.0211950929691796, 3.8296901248134274, 0.9220890722144962, 0.0239700311076587, 3.959182728406045, 0.2613871615429757, 0.0187857279655205, 4.051068590300656, 2.068402713967489, 0.0371421330407831, 4.175359171787301, 1.945850971080276, 0.0342353847773835, 4.429806475911014, 1.4848620142441753, 0.0303489961239579, 4.559319119780575, 0.4824489239570665, 0.0219149586268517, 4.603293678653198, 0.4930513023613335, 0.0204422613282978, 4.704245107465039, 0.3321766933491794, 0.0184385210317746, 4.800159709454818, 0.8394430685269033, 0.0238170027567551, 4.966287141615597, 0.4594592836905118, 0.0229590757293293, 5.394229291981009, 0.4894771610712733, 0.0223005047315132, 5.419218177122384, 0.9834322665924717, 0.0320727836834612, 2.591406468020028, -0.0173768368472695, 0.0207558341842387, 3.8616468515903195, 0.2669900235818721, 0.0207936468695747, 5.197988302491453]|1445097.2994555383920670|      0.12500000|[45450, 0, 9, 720]                                                         |  | used quadratic model with 5050 points | iterate success | actual_k=0
      10|[1.0176048001811269, 0.0509936054222462, 1.8948544868357051, 0.0168871553248448, 0.0039801810091288, 1.987903890060464, 0.4195702684792558, 0.0192762820791375, 2.1127113408366975, 0.8151875270068728, 0.0195678025096663, 2.1632122406191936, 0.2097817218804424, 0.0240513282415946, 2.2286953679521235, 2.7057606166913137, 0.0539890329693386, 2.2733926506671285, 0.8175066841081283, 0.0469119132070657, 2.373712865567967, 2.263437474910358, 0.0567289944199448, 2.466049521263772, 14.357681079015086, 0.170079783903267, 2.5155211374638773, 12.160858381096226, 0.1229058228081948, 2.763722028787532, 0.2742338390855387, 0.012086650281285, 2.958883806521277, 0.2570448985678039, 0.024288492189399, 2.959325837294382, 1.1676442598012102, 0.0457897177244471, 3.123834791872208, 0.1903773737178111, 0.0211606648652519, 3.232195936394801, 0.1298590367803532, 0.0198084780839971, 3.258166373079611, 3.7408450128275694, 0.0696972218994499, 3.37911344876668, 0.8200436345857968, 0.0276671703059393, 3.6556487100537294, 0.1436547899217943, 0.0330315568787614, 3.7362323088671405, 0.3786099082337539, 0.0192770392363259, 3.835183871782457, 0.9308087989937178, 0.0171516349361483, 3.958348322224089, 0.2610033143699112, 0.024004606370876, 4.050748865573359, 2.0708382727306573, 0.0703135994005143, 4.18185017438509, 1.955443049423255, 0.056122887369482, 4.440214402235011, 1.4997861444185858, 0.0537610274506251, 4.562216795370946, 0.4933812380175622, 0.0272591904032464, 4.6131106263374235, 0.4961872641508348, 0.0212131698856919, 4.709698914997946, 0.3414138306236684, 0.0126193449342272, 4.797930216726837, 0.8409681423294154, 0.0311266840686305, 4.94643129064277, 0.4519014440489745, 0.0425663950524044, 5.395314823285043, 0.4954513323136057, 0.038865117233013, 5.427734092743957, 0.9719298572722507, 0.0189515815090691, 2.6075910026978404, -0.0100781313319115, 0.0205640624743679, 3.8498889358597097, 0.2617307466673811, 0.0216432972941764, 5.207077552311943]|1243676.1625788090750575|      0.25000000|[50500, 0, 10, 800]                                                        |  | used quadratic model with 5050 points | iterate success | actual_k=0
      11|[0.9972826712499198, 0.0230594671229371, 1.8777852396938597, -0.0079958705636219, 0.0499092733567297, 2.0324545185633016, 0.3878726726289446, 0.0027607188907533, 2.112169188832783, 0.8275535378706124, 0.0401997673723, 2.1139018965555016, 0.2173271607515463, 0.0210601909472327, 2.23492374705455, 2.6911940304576625, 0.111058484307677, 2.2376125299059715, 0.8281740089719003, 0.0399668304698041, 2.3831116037421145, 2.247349609070975, 0.089701305099972, 2.470013458708426, 14.363005269746917, 0.2304786759281059, 2.5114502089898845, 12.163288687522178, 0.1908069529997384, 2.8079316620027854, 0.2771456349996153, -0.0122650685296085, 2.949854177730888, 0.2394177315787047, 0.0286087966041848, 2.978119929423833, 1.1522902586870443, 0.0662889973985596, 3.1273663089614203, 0.202866775051008, 0.041894629020733, 3.2194319277529915, 0.108180943981826, 0.0359137789754874, 3.277113642573005, 3.7142456780983886, 0.0955605112422799, 3.351613105405542, 0.8269514411446584, 0.0225841279745434, 3.648235650501293, 0.1770641558295837, 0.0047599112445448, 3.7335654508906337, 0.3769364633030565, 0.0034081704082823, 3.823383964947497, 0.908704577931683, 0.0199757358214572, 3.938567529663418, 0.2565626934443315, 0.0180015710962641, 4.0332583570038185, 2.0848639834624856, 0.1014697380648092, 4.232218105157117, 1.945718391997813, 0.0722144094358421, 4.445513614987863, 1.514069236407971, 0.064736223093272, 4.557147495366005, 0.522174717484502, -0.0143250764465852, 4.619878236495234, 0.4536087642155868, 0.0166973393678317, 4.733343343088673, 0.3363797009896469, 0.0105988720350474, 4.810768001330803, 0.8619873153480011, 0.0661158465071859, 4.946652755635146, 0.41521320688374, 0.0724131770748568, 5.387700610713569, 0.4965110380849052, 0.0162318531558522, 5.423292542618465, 0.9274530810460155, -0.0418136001552376, 2.586870235815744, -0.0040845702132107, 0.0381166212711077, 3.8817544025144595, 0.2989599032729116, 0.0674751636183612, 5.229856666039513]|886119.3342971574747935|      0.50000000|[55550, 0, 11, 880]                                                        |  | used quadratic model with 5050 points | iterate success | actual_k=0
