k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[48, 7, 1, 5]                                                              |  | used quadratic model with 55 points | iterate failure | actual_k=2
       2|[0.0982253462595432, -0.0053422928676447, 0.0359536214124204, 0.0080985657418447, 0.4860120883565234, 0.0338914003249221, -0.0050725124374205, -0.0115631202047238, 0.0380680761717301]|66935.5793900896824198|      1.00000000|[96, 14, 2, 10]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=2
       3|[0.0982253462595432, -0.0053422928676447, 0.0359536214124204, 0.0080985657418447, 0.4860120883565234, 0.0338914003249221, -0.0050725124374205, -0.0115631202047238, 0.0380680761717301]|66935.5793900896824198|      0.50000000|[144, 21, 3, 15]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       4|[0.0982253462595432, -0.0053422928676447, 0.0359536214124204, 0.0080985657418447, 0.4860120883565234, 0.0338914003249221, -0.0050725124374205, -0.0115631202047238, 0.0380680761717301]|66935.5793900896824198|      0.25000000|[193, 27, 4, 20]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       5|[0.0760738552801363, -0.0323165950788046, 0.0386910684179715, -0.0609209670550933, 0.7087329108328542, -0.0378392384230678, 0.0097480932454766, -0.0440410032276197, 0.0160182143624172]|14485.9305430510557926|      0.50000000|[242, 33, 5, 25]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=2
       6|[0.0760738552801363, -0.0323165950788046, 0.0386910684179715, -0.0609209670550933, 0.7087329108328542, -0.0378392384230678, 0.0097480932454766, -0.0440410032276197, 0.0160182143624172]|14485.9305430510557926|      0.25000000|[290, 40, 6, 30]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       7|[0.0760738552801363, -0.0323165950788046, 0.0386910684179715, -0.0609209670550933, 0.7087329108328542, -0.0378392384230678, 0.0097480932454766, -0.0440410032276197, 0.0160182143624172]|14485.9305430510557926|      0.12500000|[338, 47, 7, 35]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
       8|[0.0656343844350427, -0.0453382958857269, 0.0428453936126421, -0.0121200708188764, 0.7611154090981747, 0.0587036269052842, 0.0207269890843944, -0.0165416367470445, 0.0134756596847437]|8173.1808639950004363|      0.25000000|[387, 53, 8, 40]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=2
       9|[0.0656343844350427, -0.0453382958857269, 0.0428453936126421, -0.0121200708188764, 0.7611154090981747, 0.0587036269052842, 0.0207269890843944, -0.0165416367470445, 0.0134756596847437]|8173.1808639950004363|      0.12500000|[435, 60, 9, 45]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=2
      10|[0.0761625370872922, -0.042646820212212, 0.0483057640872608, 0.0098756777613519, 0.836149939687264, -0.0261990542753129, 0.0275457083094409, -0.0151500126103002, 0.0593690988358686]|1835.5980252467588798|      0.25000000|[482, 68, 10, 50]                                                          |  | used quadratic model with 55 points | iterate success | actual_k=2
      11|[0.0761625370872922, -0.042646820212212, 0.0483057640872608, 0.0098756777613519, 0.836149939687264, -0.0261990542753129, 0.0275457083094409, -0.0151500126103002, 0.0593690988358686]|1835.5980252467588798|      0.12500000|[531, 74, 11, 55]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=2
      12|[0.0761625370872922, -0.042646820212212, 0.0483057640872608, 0.0098756777613519, 0.836149939687264, -0.0261990542753129, 0.0275457083094409, -0.0151500126103002, 0.0593690988358686]|1835.5980252467588798|      0.06250000|[579, 81, 12, 60]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=2
