k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      2.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      4.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      2.00000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.8277758251558311, 0.1555344531174309, 0.4060653177877454, 2.338836208618368, -1.669572342e-07, -1.293248252e-07, -1.065827615e-07, 1.431052995e-07, -2.062213514e-07, 1.285762828e-07, -8.05899268e-08, 2.501297844e-07, 1.059445006e-07, -2.689284202e-07, -1.36336418e-07, 1.221973476e-07, 2.6617981e-08, 9.8191096e-09, -6.84577616e-08, 1.839052544e-07, 2.469428862e-07, 6.29507378e-08]| 12.2813034057617188|      0.50000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.5212017167930636, 0.1287949304341151, 0.338848869622016, 1.9505331528706578, -2.110261855e-07, 8.34581322e-08, 1.029032031e-07, 1.173404559e-07, 4.520329402e-07, 2.856407619e-07, -5.684056e-08, 9.75588855e-08, 6.46370499e-08, -7.080650095e-07, 4.67898056e-08, 3.109672475e-07, -1.635317071e-07, -2.290664919e-07, -3.827022837e-07, 3.783586619e-07, -8.49960574e-08, 2.623093284e-07]| 12.1453084945678711|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.5212017167930636, 0.1287949304341151, 0.338848869622016, 1.9505331528706578, -2.110261855e-07, 8.34581322e-08, 1.029032031e-07, 1.173404559e-07, 4.520329402e-07, 2.856407619e-07, -5.684056e-08, 9.75588855e-08, 6.46370499e-08, -7.080650095e-07, 4.67898056e-08, 3.109672475e-07, -1.635317071e-07, -2.290664919e-07, -3.827022837e-07, 3.783586619e-07, -8.49960574e-08, 2.623093284e-07]| 12.1453084945678711|      0.50000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.5212017167930636, 0.1287949304341151, 0.338848869622016, 1.9505331528706578, -2.110261855e-07, 8.34581322e-08, 1.029032031e-07, 1.173404559e-07, 4.520329402e-07, 2.856407619e-07, -5.684056e-08, 9.75588855e-08, 6.46370499e-08, -7.080650095e-07, 4.67898056e-08, 3.109672475e-07, -1.635317071e-07, -2.290664919e-07, -3.827022837e-07, 3.783586619e-07, -8.49960574e-08, 2.623093284e-07]| 12.1453084945678711|      0.25000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.5212017167930636, 0.1287949304341151, 0.338848869622016, 1.9505331528706578, -2.110261855e-07, 8.34581322e-08, 1.029032031e-07, 1.173404559e-07, 4.520329402e-07, 2.856407619e-07, -5.684056e-08, 9.75588855e-08, 6.46370499e-08, -7.080650095e-07, 4.67898056e-08, 3.109672475e-07, -1.635317071e-07, -2.290664919e-07, -3.827022837e-07, 3.783586619e-07, -8.49960574e-08, 2.623093284e-07]| 12.1453084945678711|      0.12500000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.5212017167930636, 0.1287949304341151, 0.338848869622016, 1.9505331528706578, -2.110261855e-07, 8.34581322e-08, 1.029032031e-07, 1.173404559e-07, 4.520329402e-07, 2.856407619e-07, -5.684056e-08, 9.75588855e-08, 6.46370499e-08, -7.080650095e-07, 4.67898056e-08, 3.109672475e-07, -1.635317071e-07, -2.290664919e-07, -3.827022837e-07, 3.783586619e-07, -8.49960574e-08, 2.623093284e-07]| 12.1453084945678711|      0.06250000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.4805472276689358, 0.1244603418226988, 0.3310303491983217, 1.903911866059457, -2.8765433358e-06, 3.8259567388e-06, -2.5231454091e-06, 4.9078991072e-06, -9.2346433282e-06, -1.5631620052e-06, 4.23968768e-08, 4.340615166e-06, -3.4762966113e-06, 1.7395647884e-06, -9.537710869e-07, 2.0689641269e-06, -1.3025782286e-06, -2.7159766293e-06, -1.31255278e-06, -2.2424835848e-06, -3.941827692e-07, 2.6966483217e-06]| 12.1448688507080078|      0.12500000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
