k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.369203936642705, 38.99065317073791, 41.42893770142466, 39.77263129172774]   |842.1725463867187500|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.49181730878909, 38.49162279186081, 41.53895032945999, 40.23554095050252]    |690.5642736933073138|      4.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[22.40063634733079, 36.26919715340346, 44.370811381537855, 38.49396887461263]   |579.8840942382812500|      8.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[15.759820249604912, 34.87504301079138, 47.89755667560772, 40.84300344514975]   |228.6255798339843750|     16.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[2.98645036266441, 33.71798142789359, 55.17958654214285, 47.04576663970053]     |  4.4396944046020508|     32.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[2.98645036266441, 33.71798142789359, 55.17958654214285, 47.04576663970053]     |  4.4396944046020508|     16.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.98645036266441, 33.71798142789359, 55.17958654214285, 47.04576663970053]     |  4.4396944046020508|      8.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.98645036266441, 33.71798142789359, 55.17958654214285, 47.04576663970053]     |  4.4396944046020508|      4.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.6740235227936804, 31.285037280300397, 53.26671341915113, 46.00924297847836]  |  0.0332126803696156|      8.00000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.6740235227936804, 31.285037280300397, 53.26671341915113, 46.00924297847836]  |  0.0332126803696156|      4.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.6740235227936804, 31.285037280300397, 53.26671341915113, 46.00924297847836]  |  0.0332126803696156|      2.00000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.6740235227936804, 31.285037280300397, 53.26671341915113, 46.00924297847836]  |  0.0332126803696156|      1.00000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.6740235227936804, 31.285037280300397, 53.26671341915113, 46.00924297847836]  |  0.0332126803696156|      0.50000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.6740235227936804, 31.285037280300397, 53.26671341915113, 46.00924297847836]  |  0.0332126803696156|      0.25000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.4709829347380703, 31.2609816790007, 53.3625434446871, 46.11653908210714]     |  0.0069500594399869|      0.50000000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.4709829347380703, 31.2609816790007, 53.3625434446871, 46.11653908210714]     |  0.0069500594399869|      0.25000000|[98, 32, 1, 33]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.4709829347380703, 31.2609816790007, 53.3625434446871, 46.11653908210714]     |  0.0069500594399869|      0.12500000|[104, 34, 1, 35]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.4709829347380703, 31.2609816790007, 53.3625434446871, 46.11653908210714]     |  0.0069500594399869|      0.06250000|[110, 36, 1, 37]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.4709829347380703, 31.2609816790007, 53.3625434446871, 46.11653908210714]     |  0.0069500594399869|      0.03125000|[116, 38, 1, 39]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.4709829347380703, 31.2609816790007, 53.3625434446871, 46.11653908210714]     |  0.0069500594399869|      0.01562500|[122, 40, 2, 42]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
