k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.103160468768408, 2.0083721557977414, -8.077666828738296]                     | 41.9275932312011719|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.795337480563143, 0.1017038921755429, -7.558185221336945]                     |  4.2347479574692661|      4.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[1.795337480563143, 0.1017038921755429, -7.558185221336945]                     |  4.2347479574692661|      2.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.795337480563143, 0.1017038921755429, -7.558185221336945]                     |  4.2347479574692661|      1.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.2551782990742404, -0.6756474884768546, -7.880602481499999]                   |  2.6227424144744873|      2.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-0.7444990888477305, -0.7017827886736728, -7.855959220409283]                  |  1.5973038673400879|      4.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.7444990888477305, -0.7017827886736728, -7.855959220409283]                  |  1.5973038673400879|      2.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.7444990888477305, -0.7017827886736728, -7.855959220409283]                  |  1.5973038673400879|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.7444990888477305, -0.7017827886736728, -7.855959220409283]                  |  1.5973038673400879|      0.50000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7444990888477305, -0.7017827886736728, -7.855959220409283]                  |  1.5973038673400879|      0.25000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.7444990888477305, -0.7017827886736728, -7.855959220409283]                  |  1.5973038673400879|      0.12500000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.6223693198890848, -0.7163915876441097, -7.878228089413999]                  |  1.4278658628463745|      0.25000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.3745472105757721, -0.7492726315310462, -7.876484791273736]                  |  1.1748192310333252|      0.50000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.1172349942750362, -0.8356287764141205, -7.902807390556692]                   |  1.0318707227706909|      1.00000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.1172349942750362, -0.8356287764141205, -7.902807390556692]                   |  1.0318707227706909|      0.50000000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
