k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6058973506996723, 0.0809335705105627]                                        |  0.6136139631271362|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.6058973506996723, 0.0809335705105627]                                        |  0.6136139631271362|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.6058973506996723, 0.0809335705105627]                                        |  0.6136139631271362|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.1749056799892219, -0.1725347308176599]                                       |  0.0260545294731855|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.1749056799892219, -0.1725347308176599]                                       |  0.0260545294731855|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.1749056799892219, -0.1725347308176599]                                       |  0.0260545294731855|      0.25000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.1749056799892219, -0.1725347308176599]                                       |  0.0260545294731855|      0.12500000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.1589222878224346, -0.0485608175340876]                                       |  0.0150643512606621|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.1589222878224346, -0.0485608175340876]                                       |  0.0150643512606621|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.1589222878224346, -0.0485608175340876]                                       |  0.0150643512606621|      0.06250000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
