k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[-0.9999987677034828, 0.4311378090140328, 0.2532196470202516]                   |1680.9758438541427950|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-0.6839262805777229, 0.6274905570130513, 1.1814134744266669]                   |697.3071217935165578|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[0.9367391686289341, 1.1542818615402801, 2.2282823407238195]                    | 94.7839858297323019|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[0.9367391686289341, 1.1542818615402801, 2.2282823407238195]                    | 94.7839858297323019|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.9367391686289341, 1.1542818615402801, 2.2282823407238195]                    | 94.7839858297323019|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.9367391686289341, 1.1542818615402801, 2.2282823407238195]                    | 94.7839858297323019|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.4727493814141615, 1.0332570391036349, 2.08662617349285]                      | 13.4773277477837077|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.4727493814141615, 1.0332570391036349, 2.08662617349285]                      | 13.4773277477837077|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.4727493814141615, 1.0332570391036349, 2.08662617349285]                      | 13.4773277477837077|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.2752612961895026, 1.1022524288209945, 1.9497390214586015]                    |  8.2387485633315443|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.2752612961895026, 1.1022524288209945, 1.9497390214586015]                    |  8.2387485633315443|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.2752612961895026, 1.1022524288209945, 1.9497390214586015]                    |  8.2387485633315443|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.3130601349735936, 0.9850027626385242, 1.9709230618351103]                    |  4.1516547945449771|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.3130601349735936, 0.9850027626385242, 1.9709230618351103]                    |  4.1516547945449771|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
