k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8232903609926756, 0.5728257356064242, 0.8004026362455712]                   |1045.2998125512265233|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[-0.8450127753193055, 1.908204529360745, 2.2891241057982468]                    |199.8322393497246026|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[-0.8450127753193055, 1.908204529360745, 2.2891241057982468]                    |199.8322393497246026|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.1538210396573118, 0.7849001735921628, 3.7926005136157728]                   |115.3342558830414930|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[-0.1538210396573118, 0.7849001735921628, 3.7926005136157728]                   |115.3342558830414930|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-0.1538210396573118, 0.7849001735921628, 3.7926005136157728]                   |115.3342558830414930|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.1538210396573118, 0.7849001735921628, 3.7926005136157728]                   |115.3342558830414930|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.2942108817639634, 0.8790962607957319, 3.3220499962546644]                   | 21.0579640758568765|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[-0.2942108817639634, 0.8790962607957319, 3.3220499962546644]                   | 21.0579640758568765|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.2942108817639634, 0.8790962607957319, 3.3220499962546644]                   | 21.0579640758568765|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-0.5417839208091617, 0.9134234082984646, 3.3274571472836625]                   | 11.5170001814383642|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[-0.5417839208091617, 0.9134234082984646, 3.3274571472836625]                   | 11.5170001814383642|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-0.5417839208091617, 0.9134234082984646, 3.3274571472836625]                   | 11.5170001814383642|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[-0.5417839208091617, 0.9134234082984646, 3.3274571472836625]                   | 11.5170001814383642|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[-0.5417839208091617, 0.9134234082984646, 3.3274571472836625]                   | 11.5170001814383642|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
