k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1730031902978419, -0.0616538861263388, 0.4770901537963119, -0.0164158027389154, 0.806930565517969, 0.067014667799675, -0.266954434985986, 0.1009010455595255, 0.0362022985761249]|7698.9582493649140815|      2.00000000|[8, 2, 1, 2]                                                               |  | used linear model with 10 points | iterate success | actual_k=4
       2|[-0.1730031902978419, -0.0616538861263388, 0.4770901537963119, -0.0164158027389154, 0.806930565517969, 0.067014667799675, -0.266954434985986, 0.1009010455595255, 0.0362022985761249]|7698.9582493649140815|      1.00000000|[16, 4, 2, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=4
       3|[-0.1730031902978419, -0.0616538861263388, 0.4770901537963119, -0.0164158027389154, 0.806930565517969, 0.067014667799675, -0.266954434985986, 0.1009010455595255, 0.0362022985761249]|7698.9582493649140815|      0.50000000|[24, 6, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=4
       4|[-0.1730031902978419, -0.0616538861263388, 0.4770901537963119, -0.0164158027389154, 0.806930565517969, 0.067014667799675, -0.266954434985986, 0.1009010455595255, 0.0362022985761249]|7698.9582493649140815|      0.25000000|[33, 7, 4, 8]                                                              |  | used linear model with 10 points | iterate failure | actual_k=4
       5|[-0.1730031902978419, -0.0616538861263388, 0.4770901537963119, -0.0164158027389154, 0.806930565517969, 0.067014667799675, -0.266954434985986, 0.1009010455595255, 0.0362022985761249]|7698.9582493649140815|      0.12500000|[41, 9, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=4
       6|[-0.1730031902978419, -0.0616538861263388, 0.4770901537963119, -0.0164158027389154, 0.806930565517969, 0.067014667799675, -0.266954434985986, 0.1009010455595255, 0.0362022985761249]|7698.9582493649140815|      0.06250000|[48, 12, 6, 12]                                                            |  | used linear model with 10 points | iterate failure | actual_k=4
       7|[-0.1538413266533192, -0.0554378591920417, 0.4510437439337066, -0.0274903745536949, 0.8029116242513156, 0.0286892846782667, -0.244993074807708, 0.1103964053199057, 0.0615384842606874]|3568.2056853164904169|      0.12500000|[55, 15, 7, 14]                                                            |  | used linear model with 10 points | iterate success | actual_k=4
       8|[-0.1538413266533192, -0.0554378591920417, 0.4510437439337066, -0.0274903745536949, 0.8029116242513156, 0.0286892846782667, -0.244993074807708, 0.1103964053199057, 0.0615384842606874]|3568.2056853164904169|      0.06250000|[63, 17, 8, 16]                                                            |  | used linear model with 10 points | iterate failure | actual_k=4
       9|[-0.1538413266533192, -0.0554378591920417, 0.4510437439337066, -0.0274903745536949, 0.8029116242513156, 0.0286892846782667, -0.244993074807708, 0.1103964053199057, 0.0615384842606874]|3568.2056853164904169|      0.03125000|[73, 17, 9, 18]                                                            |  | used linear model with 10 points | iterate failure | actual_k=4
      10|[-0.1678707090163812, -0.0555112170704001, 0.4655242532127229, -0.0149236548635473, 0.8119469399871573, 0.0252502426763411, -0.2624682838755976, 0.1068539782772474, 0.0623930570931026]|2293.9288617463307673|      0.06250000|[81, 19, 10, 20]                                                           |  | used linear model with 10 points | iterate success | actual_k=4
      11|[-0.1678707090163812, -0.0555112170704001, 0.4655242532127229, -0.0149236548635473, 0.8119469399871573, 0.0252502426763411, -0.2624682838755976, 0.1068539782772474, 0.0623930570931026]|2293.9288617463307673|      0.03125000|[91, 19, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=4
      12|[-0.1690629857027348, -0.0364986952503096, 0.4531416530363771, -0.0154190956803304, 0.8160805001775288, 0.0084589869150417, -0.2589220363237182, 0.1079493325210878, 0.0745290563970777]|1465.7419434784726491|      0.06250000|[99, 21, 12, 24]                                                           |  | used linear model with 10 points | iterate success | actual_k=4
