k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0450207791106996, 0.0010094679191783, 0.0922759930890505, 0.1813239067126044, 0.9420086169080364, -0.0094836522652485, 0.0495978710211352, -0.1940240914674867, 0.170303909255783]|35857.3063980878432631|      2.00000000|[55, 0, 1, 5]                                                              |  | used quadratic model with 55 points | iterate success | actual_k=0
       2|[-0.0450207791106996, 0.0010094679191783, 0.0922759930890505, 0.1813239067126044, 0.9420086169080364, -0.0094836522652485, 0.0495978710211352, -0.1940240914674867, 0.170303909255783]|35857.3063980878432631|      1.00000000|[110, 0, 2, 10]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       3|[-0.0450207791106996, 0.0010094679191783, 0.0922759930890505, 0.1813239067126044, 0.9420086169080364, -0.0094836522652485, 0.0495978710211352, -0.1940240914674867, 0.170303909255783]|35857.3063980878432631|      0.50000000|[165, 0, 3, 15]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       4|[-0.0450207791106996, 0.0010094679191783, 0.0922759930890505, 0.1813239067126044, 0.9420086169080364, -0.0094836522652485, 0.0495978710211352, -0.1940240914674867, 0.170303909255783]|35857.3063980878432631|      0.25000000|[220, 0, 4, 20]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       5|[0.0020834390961722, 0.013021602849384, 0.0949593683130499, -0.0472881041211275, 1.0216697729720785, 0.0219247142953532, 0.0631449445931343, -0.1998430849490912, 0.1880937962293948]|2420.5823634400389892|      0.50000000|[275, 0, 5, 25]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=0
       6|[0.0020834390961722, 0.013021602849384, 0.0949593683130499, -0.0472881041211275, 1.0216697729720785, 0.0219247142953532, 0.0631449445931343, -0.1998430849490912, 0.1880937962293948]|2420.5823634400389892|      0.25000000|[330, 0, 6, 30]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       7|[0.0020834390961722, 0.013021602849384, 0.0949593683130499, -0.0472881041211275, 1.0216697729720785, 0.0219247142953532, 0.0631449445931343, -0.1998430849490912, 0.1880937962293948]|2420.5823634400389892|      0.12500000|[385, 0, 7, 35]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       8|[0.0020834390961722, 0.013021602849384, 0.0949593683130499, -0.0472881041211275, 1.0216697729720785, 0.0219247142953532, 0.0631449445931343, -0.1998430849490912, 0.1880937962293948]|2420.5823634400389892|      0.06250000|[440, 0, 8, 40]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       9|[0.0075522972406559, 0.0129596412302274, 0.0938366807990281, 0.0123936396451634, 1.0289851074873733, 0.006266354400293, 0.0603147089814314, -0.2016912904375917, 0.1898380250832321]| 90.0783172635638749|      0.12500000|[495, 0, 9, 45]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=0
      10|[0.0075522972406559, 0.0129596412302274, 0.0938366807990281, 0.0123936396451634, 1.0289851074873733, 0.006266354400293, 0.0603147089814314, -0.2016912904375917, 0.1898380250832321]| 90.0783172635638749|      0.06250000|[550, 0, 10, 50]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=0
      11|[0.0075522972406559, 0.0129596412302274, 0.0938366807990281, 0.0123936396451634, 1.0289851074873733, 0.006266354400293, 0.0603147089814314, -0.2016912904375917, 0.1898380250832321]| 90.0783172635638749|      0.03125000|[605, 0, 11, 55]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=0
