k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.2401735206029169, 0.3784668304867034, 0.4186936075112661, 0.3909613491504053]|  0.0043876041688802|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[0.2401735206029169, 0.3784668304867034, 0.4186936075112661, 0.3909613491504053]|  0.0043876041688802|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.22469571152442, 0.3801249092757359, 0.4188897169430906, 0.392299395094949]   |  0.0040112136774873|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.22469571152442, 0.3801249092757359, 0.4188897169430906, 0.392299395094949]   |  0.0040112136774873|      0.01562500|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.2271789277193353, 0.3892519535777225, 0.4146561114940028, 0.3806054689133648]|  0.0035371933278808|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.2306458473865875, 0.4053633921952058, 0.4163609414189204, 0.3541090905075714]|  0.0029263794468306|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.1980563970584325, 0.4376608761809071, 0.4062913533119313, 0.3128822345656291]|  0.0021817470743735|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.1980563970584325, 0.4376608761809071, 0.4062913533119313, 0.3128822345656291]|  0.0021817470743735|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.1980563970584325, 0.4376608761809071, 0.4062913533119313, 0.3128822345656291]|  0.0021817470743735|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[0.2160643874275929, 0.413251450178974, 0.4131707295842527, 0.3098608297228122] |  0.0016916658589242|      0.06250000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[0.2160643874275929, 0.413251450178974, 0.4131707295842527, 0.3098608297228122] |  0.0016916658589242|      0.03125000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[0.2160643874275929, 0.413251450178974, 0.4131707295842527, 0.3098608297228122] |  0.0016916658589242|      0.01562500|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[0.207578306153317, 0.4255070122678283, 0.4094464882707349, 0.3070221197814292] |  0.0016317712076911|      0.03125000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      20|[0.207578306153317, 0.4255070122678283, 0.4094464882707349, 0.3070221197814292] |  0.0016317712076911|      0.01562500|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
