k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      2.00000000|[53, 3, 1, 5]                                                              |  | used quadratic model with 56 points | iterate success | actual_k=1
       2|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      1.00000000|[105, 7, 2, 10]                                                            |  | used quadratic model with 56 points | iterate failure | actual_k=1
       3|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      0.50000000|[157, 11, 3, 15]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       4|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      0.25000000|[209, 15, 4, 20]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       5|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      0.12500000|[262, 18, 5, 25]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       6|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      0.06250000|[315, 21, 6, 30]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       7|[0.1797241990696531, 0.1670237227011036, 0.0565771780053803, 0.0081245350066195, 0.9626903190445513, -0.0243028792901738, -0.0175202514560867, 0.0535724172177361, -0.0774277712592955]|576.0483814481947320|      0.03125000|[368, 24, 7, 35]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
       8|[0.1812179087683098, 0.1676215846268403, 0.0561071960065906, 0.0018232509989554, 0.9660989584779741, 0.0059878000017369, -0.0190347734856588, 0.0547213135418547, -0.0785631191070306]|114.3202150732423235|      0.06250000|[420, 28, 8, 40]                                                           |  | used quadratic model with 56 points | iterate success | actual_k=1
       9|[0.1812179087683098, 0.1676215846268403, 0.0561071960065906, 0.0018232509989554, 0.9660989584779741, 0.0059878000017369, -0.0190347734856588, 0.0547213135418547, -0.0785631191070306]|114.3202150732423235|      0.03125000|[473, 31, 9, 45]                                                           |  | used quadratic model with 56 points | iterate failure | actual_k=1
      10|[0.1812179087683098, 0.1676215846268403, 0.0561071960065906, 0.0018232509989554, 0.9660989584779741, 0.0059878000017369, -0.0190347734856588, 0.0547213135418547, -0.0785631191070306]|114.3202150732423235|      0.01562500|[525, 35, 10, 50]                                                          |  | used quadratic model with 56 points | iterate failure | actual_k=1
      11|[0.1797505019515191, 0.1687235728095789, 0.0579042445713537, 0.0028126406376219, 0.9675107115979146, -0.0091585268427267, -0.0170780024942331, 0.0536988957755767, -0.0780282038564948]| 57.2928779107085191|      0.03125000|[578, 38, 11, 55]                                                          |  | used quadratic model with 56 points | iterate success | actual_k=1
