k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       2|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.25000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       3|[0.9765661662513143, 0.9331518101665257, 0.9059994941956626, 0.9802856148136061, 0.9566394377204377, 0.9966112317084869, 0.9751008003175016, 0.949152181946026, 1.0280025384040428, 1.0181265044151497, 1.0703128502147463, 0.8426423592029557, 1.005033180448305, 0.9139551804434732, 0.9959272055550289, 0.9709549803435711, 1.012197117343976, 1.0265324924027457, 0.9747810961520929, 0.9703030154780874, 1.0363022084394033, 1.0190932400395927]|  1.4720569537598358|      0.50000000|[73, 24, 1, 7]                                                             |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       4|[0.9765661662513143, 0.9331518101665257, 0.9059994941956626, 0.9802856148136061, 0.9566394377204377, 0.9966112317084869, 0.9751008003175016, 0.949152181946026, 1.0280025384040428, 1.0181265044151497, 1.0703128502147463, 0.8426423592029557, 1.005033180448305, 0.9139551804434732, 0.9959272055550289, 0.9709549803435711, 1.012197117343976, 1.0265324924027457, 0.9747810961520929, 0.9703030154780874, 1.0363022084394033, 1.0190932400395927]|  1.4720569537598358|      0.25000000|[98, 32, 1, 9]                                                             |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       5|[0.8749743559667025, 0.8835903661925834, 0.8525390144270246, 0.9218144710882209, 0.9353981149793211, 0.930697827216087, 0.9252286117239119, 0.9785796267453875, 0.9804618866402607, 1.0444572424052636, 1.117343419063101, 0.7388808595113574, 0.9514090402788352, 0.8704281082725094, 0.9377910152144001, 0.9338844568667577, 0.9839542375312396, 1.0160411224054404, 0.9791351192666851, 0.9338090525550389, 1.0882245519065536, 0.9491895605709489]|  1.4194841384887695|      0.50000000|[122, 40, 1, 11]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[0.8749743559667025, 0.8835903661925834, 0.8525390144270246, 0.9218144710882209, 0.9353981149793211, 0.930697827216087, 0.9252286117239119, 0.9785796267453875, 0.9804618866402607, 1.0444572424052636, 1.117343419063101, 0.7388808595113574, 0.9514090402788352, 0.8704281082725094, 0.9377910152144001, 0.9338844568667577, 0.9839542375312396, 1.0160411224054404, 0.9791351192666851, 0.9338090525550389, 1.0882245519065536, 0.9491895605709489]|  1.4194841384887695|      0.25000000|[146, 48, 1, 13]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       7|[0.8672150572309268, 0.8842027797150634, 0.7931199499701189, 0.9179078719369703, 0.9299935386758729, 0.9091400219644264, 0.8411087327418718, 0.8826502946249494, 0.9817309239599498, 1.0314075194056742, 1.109988029152462, 0.6442662850532364, 0.9481652643762951, 0.8205327146907382, 0.8919024485297549, 0.8633045689994092, 0.9394571216163292, 0.8941258421184561, 0.9672776789779252, 0.8706862865322349, 1.1084095697735807, 0.9046938611233731]|  1.3747559785842896|      0.50000000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[0.8672150572309268, 0.8842027797150634, 0.7931199499701189, 0.9179078719369703, 0.9299935386758729, 0.9091400219644264, 0.8411087327418718, 0.8826502946249494, 0.9817309239599498, 1.0314075194056742, 1.109988029152462, 0.6442662850532364, 0.9481652643762951, 0.8205327146907382, 0.8919024485297549, 0.8633045689994092, 0.9394571216163292, 0.8941258421184561, 0.9672776789779252, 0.8706862865322349, 1.1084095697735807, 0.9046938611233731]|  1.3747559785842896|      0.25000000|[194, 64, 2, 18]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
       9|[0.837362421755973, 0.8703548104158134, 0.7515486619515377, 0.88800976487629, 0.922046305471594, 0.9025458537210593, 0.76252457414689, 0.8473076915635293, 0.993019994183594, 1.0070581219720194, 1.2080857124529343, 0.5779607882732023, 0.9552426627407256, 0.760472572164489, 0.9364860297934977, 0.8622837362084688, 1.0152669143754998, 0.788433882675149, 0.8806412211563305, 0.9383616251862228, 1.146309569512298, 0.9256142576181907]|  1.3406221866607666|      0.50000000|[219, 72, 2, 20]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      10|[0.837362421755973, 0.8703548104158134, 0.7515486619515377, 0.88800976487629, 0.922046305471594, 0.9025458537210593, 0.76252457414689, 0.8473076915635293, 0.993019994183594, 1.0070581219720194, 1.2080857124529343, 0.5779607882732023, 0.9552426627407256, 0.760472572164489, 0.9364860297934977, 0.8622837362084688, 1.0152669143754998, 0.788433882675149, 0.8806412211563305, 0.9383616251862228, 1.146309569512298, 0.9256142576181907]|  1.3406221866607666|      0.25000000|[243, 80, 2, 22]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      11|[0.8701129779167018, 0.8589953592561836, 0.7380744088631086, 0.8320467713669099, 0.8473906553028212, 0.8583063196200414, 0.6898486709479107, 0.8002117261875442, 0.9707632417913852, 0.9560283798130026, 1.1721257119521356, 0.4143438278497675, 1.0076570391331938, 0.7562312571625099, 0.9402782065986842, 0.8659510659137041, 0.9896929430933978, 0.7333678901694074, 0.8876348557079259, 0.8894378651458833, 1.1996314812918873, 0.9204708226234936]|  1.2833406925201416|      0.50000000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      12|[0.8701129779167018, 0.8589953592561836, 0.7380744088631086, 0.8320467713669099, 0.8473906553028212, 0.8583063196200414, 0.6898486709479107, 0.8002117261875442, 0.9707632417913852, 0.9560283798130026, 1.1721257119521356, 0.4143438278497675, 1.0076570391331938, 0.7562312571625099, 0.9402782065986842, 0.8659510659137041, 0.9896929430933978, 0.7333678901694074, 0.8876348557079259, 0.8894378651458833, 1.1996314812918873, 0.9204708226234936]|  1.2833406925201416|      0.25000000|[291, 96, 2, 26]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[0.8294472679176528, 0.7374345500543033, 0.7303940611905338, 0.8377748590583554, 0.7949337586047411, 0.8223995039927784, 0.7136532191915741, 0.7705786760136191, 0.8951552164034898, 0.8864448217808519, 1.1984389324105311, 0.364664037453504, 0.9765301199856908, 0.7250394655668463, 0.9728975121751512, 0.8314704212620032, 0.9554386119920162, 0.7500248659870111, 1.0207628714318588, 0.897025915929184, 1.1886047680627654, 0.8636820673195915]|  1.2475736141204834|      0.50000000|[315, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[0.8294472679176528, 0.7374345500543033, 0.7303940611905338, 0.8377748590583554, 0.7949337586047411, 0.8223995039927784, 0.7136532191915741, 0.7705786760136191, 0.8951552164034898, 0.8864448217808519, 1.1984389324105311, 0.364664037453504, 0.9765301199856908, 0.7250394655668463, 0.9728975121751512, 0.8314704212620032, 0.9554386119920162, 0.7500248659870111, 1.0207628714318588, 0.897025915929184, 1.1886047680627654, 0.8636820673195915]|  1.2475736141204834|      0.25000000|[339, 112, 3, 31]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      15|[0.8294472679176528, 0.7374345500543033, 0.7303940611905338, 0.8377748590583554, 0.7949337586047411, 0.8223995039927784, 0.7136532191915741, 0.7705786760136191, 0.8951552164034898, 0.8864448217808519, 1.1984389324105311, 0.364664037453504, 0.9765301199856908, 0.7250394655668463, 0.9728975121751512, 0.8314704212620032, 0.9554386119920162, 0.7500248659870111, 1.0207628714318588, 0.897025915929184, 1.1886047680627654, 0.8636820673195915]|  1.2475736141204834|      0.12500000|[364, 120, 3, 33]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[0.8129442017719787, 0.72379564747932, 0.7044199468288886, 0.8006826768428643, 0.7961231399516895, 0.8296010301519471, 0.7011127510809981, 0.730854875777958, 0.9157371027847234, 0.8727066093768354, 1.2122743560486826, 0.304396611201266, 0.9777839967275724, 0.7087569508625843, 0.9609496198323642, 0.855831597055054, 0.9811182157847198, 0.7456943827986571, 1.056975333054201, 0.9480485574890628, 1.1664286991549047, 0.8920396614742849]|  1.2286351919174194|      0.25000000|[388, 128, 3, 35]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      17|[0.7631275945541177, 0.661499254105242, 0.6527217672247856, 0.8316169288708471, 0.7606885196655295, 0.7775102591149099, 0.646928071536424, 0.69552460900032, 0.9059081893657606, 0.8164741336938681, 1.1334579608485487, 0.1764816372964123, 0.9166646084552617, 0.6397578521111523, 0.9066972336861681, 0.8059604132520892, 0.9648950385088089, 0.7138335674641881, 1.033542541191188, 0.9131013299240731, 1.1938170256646519, 0.9202507267270493]|  1.1789071559906006|      0.50000000|[412, 136, 3, 37]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      18|[0.7631275945541177, 0.661499254105242, 0.6527217672247856, 0.8316169288708471, 0.7606885196655295, 0.7775102591149099, 0.646928071536424, 0.69552460900032, 0.9059081893657606, 0.8164741336938681, 1.1334579608485487, 0.1764816372964123, 0.9166646084552617, 0.6397578521111523, 0.9066972336861681, 0.8059604132520892, 0.9648950385088089, 0.7138335674641881, 1.033542541191188, 0.9131013299240731, 1.1938170256646519, 0.9202507267270493]|  1.1789071559906006|      0.25000000|[436, 144, 3, 39]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[0.7171591236329142, 0.6087348239553135, 0.6140502268275595, 0.8248712047674363, 0.7525788300772571, 0.7104741497224546, 0.7499281217745617, 0.6989997374225336, 0.8531310542173097, 0.78689814730492, 1.1350362751695742, 0.0403771175510695, 0.9143152640107055, 0.6544285355744051, 0.9557329414853117, 0.8134492580617004, 0.9601780004146282, 0.6825037958253628, 1.0973150267182168, 0.9931850395464412, 1.1282084052411387, 0.9352197999101023]|  1.1428737640380859|      0.50000000|[460, 152, 3, 41]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      20|[0.7171591236329142, 0.6087348239553135, 0.6140502268275595, 0.8248712047674363, 0.7525788300772571, 0.7104741497224546, 0.7499281217745617, 0.6989997374225336, 0.8531310542173097, 0.78689814730492, 1.1350362751695742, 0.0403771175510695, 0.9143152640107055, 0.6544285355744051, 0.9557329414853117, 0.8134492580617004, 0.9601780004146282, 0.6825037958253628, 1.0973150267182168, 0.9931850395464412, 1.1282084052411387, 0.9352197999101023]|  1.1428737640380859|      0.25000000|[484, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
