k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[6, 0, 1, 3]                                                               |  | used linear model with 6 points | iterate failure | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[12, 0, 2, 6]                                                              |  | used linear model with 6 points | iterate failure | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[18, 0, 3, 9]                                                              |  | used linear model with 6 points | iterate failure | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[24, 0, 4, 12]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       5|[0.2239802837149691, 0.3777283250844661, 0.439960124432038, 0.340445761558156]  |  0.0029147030805579|      0.12500000|[30, 0, 5, 15]                                                             |  | used linear model with 6 points | iterate success | actual_k=0
       6|[0.2239802837149691, 0.3777283250844661, 0.439960124432038, 0.340445761558156]  |  0.0029147030805579|      0.06250000|[36, 0, 6, 18]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       7|[0.2239802837149691, 0.3777283250844661, 0.439960124432038, 0.340445761558156]  |  0.0029147030805579|      0.03125000|[42, 0, 7, 21]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
       8|[0.2336136343950669, 0.3945874826851959, 0.4296720122784675, 0.3182267469989195]|  0.0026362820037529|      0.06250000|[48, 0, 8, 24]                                                             |  | used linear model with 6 points | iterate success | actual_k=0
       9|[0.2336136343950669, 0.3945874826851959, 0.4296720122784675, 0.3182267469989195]|  0.0026362820037529|      0.03125000|[54, 0, 9, 27]                                                             |  | used linear model with 6 points | iterate failure | actual_k=0
      10|[0.2336136343950669, 0.3945874826851959, 0.4296720122784675, 0.3182267469989195]|  0.0026362820037529|      0.01562500|[60, 0, 10, 30]                                                            |  | used linear model with 6 points | iterate failure | actual_k=0
      11|[0.2182335075481726, 0.397139813821179, 0.430706885651333, 0.3183102098521294]  |  0.0021278844129144|      0.03125000|[66, 0, 11, 33]                                                            |  | used linear model with 6 points | iterate success | actual_k=0
      12|[0.2182335075481726, 0.397139813821179, 0.430706885651333, 0.3183102098521294]  |  0.0021278844129144|      0.01562500|[72, 0, 12, 36]                                                            |  | used linear model with 6 points | iterate failure | actual_k=0
      13|[0.2182335075481726, 0.397139813821179, 0.430706885651333, 0.3183102098521294]  |  0.0021278844129144|      0.00781250|[78, 0, 13, 39]                                                            |  | used linear model with 6 points | iterate failure | actual_k=0
      14|[0.220792882098536, 0.401002175388815, 0.4296960663421777, 0.3121017345476735]  |  0.0019414763430704|      0.01562500|[84, 0, 14, 42]                                                            |  | used linear model with 6 points | iterate success | actual_k=0
