k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[4748, 318, 1, 81]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=4
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[9496, 636, 2, 162]                                                        |  | used quadratic model with 5066 points | iterate failure | actual_k=4
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[14244, 954, 3, 243]                                                       |  | used quadratic model with 5066 points | iterate failure | actual_k=4
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[18994, 1270, 4, 324]                                                      |  | used quadratic model with 5066 points | iterate failure | actual_k=4
       5|[0.5972574468661813, 0.0200744573795439, 1.8907358874280127, 0.6505882672470802, 0.0189852016199414, 2.0002334263284935, 1.2976427128605068, 0.0231444899011007, 2.1187948820738254, -0.013010879122826, 0.019702511013396, 2.16398965977587, 1.2374083139946264, 0.0275124223509059, 2.218301749749196, 0.218663920385967, 0.0211171812928752, 2.2826924601786014, 1.3359247131197947, 0.0204626402056011, 2.3914634053766735, 4.507329166050214, 0.0576204523566909, 2.488717175364523, 0.6587724493178871, 0.0202967104796286, 2.5600846787856746, 4.386545455185097, 0.060367434458676, 2.704870975195389, 0.227768570666332, 0.0174447367191949, 2.93933888517121, 0.2350855111639787, 0.0177284136515434, 2.9697333492868654, 0.714786260519585, 0.0203916587845306, 3.129096026307562, 0.207316630434971, 0.0219637950950136, 3.2237983782447723, -0.0734597456364744, 0.0185861399626169, 3.257961780948368, 1.3820075005467936, 0.0297996464470823, 3.3755578795594143, 0.2453201101471937, 0.0160557580095186, 3.668289115198814, 0.0602812881288178, 0.0213240705425248, 3.7166109128613356, 0.017052424181788, 0.0204245671083427, 3.8264646220854677, 0.4100342688569474, 0.0217973899902871, 3.957024327187001, 0.2586942766846925, 0.0186542796310243, 4.053754812018855, 0.8208249959240241, 0.019872527237369, 4.17187924908009, 0.9634837003531668, 0.0208254918958337, 4.428864201248887, 0.7424435941517139, 0.022299233612117, 4.561654900635312, 0.2156857455824649, 0.0225696388806377, 4.599341454047283, 0.5053903413205602, 0.019696594680491, 4.705215169991703, 0.0458351759751387, 0.0202030034581647, 4.801032212687754, 0.3682374635295577, 0.0175375847667188, 4.971031429057295, 0.1642681124658582, 0.0169372180297275, 5.390590180969133, 0.2891999364702624, 0.0202590016608594, 5.417877536188371, 0.0936053388745923, 0.0264120588539361, 2.5906755696961814, -0.0042031258132702, 0.0194575606077174, 3.867250590747002, 0.1563744999157521, 0.0210628456306036, 5.200923379749811]|298216.2148219253867865|      0.12500000|[23743, 1587, 5, 405]                                                      |  | used quadratic model with 5066 points | iterate success | actual_k=4
       6|[0.5972574468661813, 0.0200744573795439, 1.8907358874280127, 0.6505882672470802, 0.0189852016199414, 2.0002334263284935, 1.2976427128605068, 0.0231444899011007, 2.1187948820738254, -0.013010879122826, 0.019702511013396, 2.16398965977587, 1.2374083139946264, 0.0275124223509059, 2.218301749749196, 0.218663920385967, 0.0211171812928752, 2.2826924601786014, 1.3359247131197947, 0.0204626402056011, 2.3914634053766735, 4.507329166050214, 0.0576204523566909, 2.488717175364523, 0.6587724493178871, 0.0202967104796286, 2.5600846787856746, 4.386545455185097, 0.060367434458676, 2.704870975195389, 0.227768570666332, 0.0174447367191949, 2.93933888517121, 0.2350855111639787, 0.0177284136515434, 2.9697333492868654, 0.714786260519585, 0.0203916587845306, 3.129096026307562, 0.207316630434971, 0.0219637950950136, 3.2237983782447723, -0.0734597456364744, 0.0185861399626169, 3.257961780948368, 1.3820075005467936, 0.0297996464470823, 3.3755578795594143, 0.2453201101471937, 0.0160557580095186, 3.668289115198814, 0.0602812881288178, 0.0213240705425248, 3.7166109128613356, 0.017052424181788, 0.0204245671083427, 3.8264646220854677, 0.4100342688569474, 0.0217973899902871, 3.957024327187001, 0.2586942766846925, 0.0186542796310243, 4.053754812018855, 0.8208249959240241, 0.019872527237369, 4.17187924908009, 0.9634837003531668, 0.0208254918958337, 4.428864201248887, 0.7424435941517139, 0.022299233612117, 4.561654900635312, 0.2156857455824649, 0.0225696388806377, 4.599341454047283, 0.5053903413205602, 0.019696594680491, 4.705215169991703, 0.0458351759751387, 0.0202030034581647, 4.801032212687754, 0.3682374635295577, 0.0175375847667188, 4.971031429057295, 0.1642681124658582, 0.0169372180297275, 5.390590180969133, 0.2891999364702624, 0.0202590016608594, 5.417877536188371, 0.0936053388745923, 0.0264120588539361, 2.5906755696961814, -0.0042031258132702, 0.0194575606077174, 3.867250590747002, 0.1563744999157521, 0.0210628456306036, 5.200923379749811]|298216.2148219253867865|      0.06250000|[28491, 1905, 6, 486]                                                      |  | used quadratic model with 5066 points | iterate failure | actual_k=4
       7|[0.6040310660973325, 0.0212733433892415, 1.8873125275548488, 0.6443641975963886, 0.0346630169518421, 1.9992614728238123, 1.2936737945082877, 0.036369331437325, 2.117136341833214, -0.0068572251207987, 0.0181723472549009, 2.1726082354470826, 1.2359680886297169, 0.0417956335156009, 2.2178132243622524, 0.2217912083537639, 0.0191730296924541, 2.282022636123437, 1.3334048492162485, 0.0479232518727352, 2.3885760134221297, 4.507272565687419, 0.0772190822957052, 2.48401119271188, 0.6614373720698795, 0.0246583534726286, 2.5592026574017335, 4.388506350533038, 0.0739735735272741, 2.71014489228857, 0.2268813590499302, 0.0189334346470307, 2.9329327765902926, 0.2348313614895166, 0.0279754044489453, 2.9730263609942664, 0.7137399539619362, 0.0253544709639685, 3.128066577548929, 0.2106224840615527, 0.0210412661935319, 3.2280383012321545, -0.0768024386688126, 0.0163268193508137, 3.261526876039118, 1.3794627512417021, 0.0406082971149387, 3.3725005564654005, 0.2380172934853744, 0.0176642425792197, 3.666714118643884, 0.0608488027716911, 0.019646357748308, 3.717836583738585, 0.0141639251224198, 0.0193581958216914, 3.827382867771076, 0.4088932981556108, 0.0225189870956198, 3.9534461789002906, 0.2603134641416056, 0.0128166354223992, 4.05768176112014, 0.8222328054076543, 0.037023030863768, 4.168474115198238, 0.959985555685825, 0.0343824846511246, 4.438180056969987, 0.7406500246100618, 0.0302229286650774, 4.568364089528393, 0.2174615815776182, 0.0211128270975885, 4.5997752107274446, 0.5098720615223061, 0.0177089247065615, 4.707303584023384, 0.048035456988856, 0.019687152290352, 4.79689770488919, 0.3672535474448164, 0.0283337512980868, 4.971015276373043, 0.1654654779421134, 0.0211453196420633, 5.395546721742716, 0.2891707097250538, 0.0218336654905379, 5.419545096641672, 0.0964552641169204, 0.0332689143266427, 2.595450862086082, 0.0003964929563298, 0.021068035659889, 3.8687115490777786, 0.1560776306037857, 0.0161390624475325, 5.2075788257197]|259090.6309027645911556|      0.12500000|[33241, 2221, 7, 567]                                                      |  | used quadratic model with 5066 points | iterate success | actual_k=4
       8|[0.6040310660973325, 0.0212733433892415, 1.8873125275548488, 0.6443641975963886, 0.0346630169518421, 1.9992614728238123, 1.2936737945082877, 0.036369331437325, 2.117136341833214, -0.0068572251207987, 0.0181723472549009, 2.1726082354470826, 1.2359680886297169, 0.0417956335156009, 2.2178132243622524, 0.2217912083537639, 0.0191730296924541, 2.282022636123437, 1.3334048492162485, 0.0479232518727352, 2.3885760134221297, 4.507272565687419, 0.0772190822957052, 2.48401119271188, 0.6614373720698795, 0.0246583534726286, 2.5592026574017335, 4.388506350533038, 0.0739735735272741, 2.71014489228857, 0.2268813590499302, 0.0189334346470307, 2.9329327765902926, 0.2348313614895166, 0.0279754044489453, 2.9730263609942664, 0.7137399539619362, 0.0253544709639685, 3.128066577548929, 0.2106224840615527, 0.0210412661935319, 3.2280383012321545, -0.0768024386688126, 0.0163268193508137, 3.261526876039118, 1.3794627512417021, 0.0406082971149387, 3.3725005564654005, 0.2380172934853744, 0.0176642425792197, 3.666714118643884, 0.0608488027716911, 0.019646357748308, 3.717836583738585, 0.0141639251224198, 0.0193581958216914, 3.827382867771076, 0.4088932981556108, 0.0225189870956198, 3.9534461789002906, 0.2603134641416056, 0.0128166354223992, 4.05768176112014, 0.8222328054076543, 0.037023030863768, 4.168474115198238, 0.959985555685825, 0.0343824846511246, 4.438180056969987, 0.7406500246100618, 0.0302229286650774, 4.568364089528393, 0.2174615815776182, 0.0211128270975885, 4.5997752107274446, 0.5098720615223061, 0.0177089247065615, 4.707303584023384, 0.048035456988856, 0.019687152290352, 4.79689770488919, 0.3672535474448164, 0.0283337512980868, 4.971015276373043, 0.1654654779421134, 0.0211453196420633, 5.395546721742716, 0.2891707097250538, 0.0218336654905379, 5.419545096641672, 0.0964552641169204, 0.0332689143266427, 2.595450862086082, 0.0003964929563298, 0.021068035659889, 3.8687115490777786, 0.1560776306037857, 0.0161390624475325, 5.2075788257197]|259090.6309027645911556|      0.06250000|[37991, 2537, 8, 648]                                                      |  | used quadratic model with 5066 points | iterate failure | actual_k=4
       9|[0.5945691280328551, 0.0295748220099837, 1.8827638726817444, 0.6392857178030692, 0.0337913530369312, 1.992050972149088, 1.2912220050707062, 0.0448223703547615, 2.10922209250342, -0.0072564327024112, 0.0198599067040703, 2.169880947636872, 1.236772069112998, 0.0431598155927514, 2.2170968408278235, 0.2184321856587073, 0.0234069383642201, 2.282794344940156, 1.3324245307930263, 0.0512424356217473, 2.3803000302600488, 4.508956348918368, 0.1058632155790965, 2.4804395786070144, 0.6643052407592571, 0.033383016630703, 2.5618641760473975, 4.390880514392648, 0.0941323814457909, 2.72721784197429, 0.2189336751701754, 0.0269711325157117, 2.932748706838164, 0.2335098341372735, 0.0277957847829441, 2.967998356184517, 0.7143735118250092, 0.0236494221095428, 3.131987042385325, 0.207966141289851, 0.0232171006423221, 3.2265393130132054, -0.0802273885571275, 0.023203240004563, 3.259796247984546, 1.3739545607456867, 0.0421818441648253, 3.3725547265943554, 0.2358191424536838, 0.0334328460037566, 3.6648570142090104, 0.0674821163730818, 0.0222090360849195, 3.718972090836545, 0.0173801647904446, 0.0215762306458177, 3.8229498674896303, 0.4068129051251345, 0.023457038747809, 3.953458776007276, 0.2574819070134832, 0.0246295614334453, 4.058487651760611, 0.8212498979690058, 0.0397612846724445, 4.169813947338564, 0.9572686474393683, 0.0358738707983641, 4.437615735297093, 0.7366471842501792, 0.0422788699868081, 4.570285302640653, 0.2199501578543868, 0.0248028621796458, 4.600857842406822, 0.5058737761555505, 0.0409714266337805, 4.710906534015925, 0.0511115294607897, 0.0242820416720076, 4.794597748845207, 0.3673787238481435, 0.0279100786964328, 4.970042620552443, 0.1680348761166469, 0.0224837913573597, 5.393566554298276, 0.287217229751592, 0.0263362253430728, 5.415098868627848, 0.0902752871674693, 0.0331189917204511, 2.5950844632983108, 0.0065720594199321, 0.0226679646950701, 3.866148901980218, 0.1594741817695849, 0.0135601869021993, 5.208517169936461]|232521.4604815746424720|      0.12500000|[42738, 2856, 9, 729]                                                      |  | used quadratic model with 5066 points | iterate success | actual_k=4
      10|[0.5945691280328551, 0.0295748220099837, 1.8827638726817444, 0.6392857178030692, 0.0337913530369312, 1.992050972149088, 1.2912220050707062, 0.0448223703547615, 2.10922209250342, -0.0072564327024112, 0.0198599067040703, 2.169880947636872, 1.236772069112998, 0.0431598155927514, 2.2170968408278235, 0.2184321856587073, 0.0234069383642201, 2.282794344940156, 1.3324245307930263, 0.0512424356217473, 2.3803000302600488, 4.508956348918368, 0.1058632155790965, 2.4804395786070144, 0.6643052407592571, 0.033383016630703, 2.5618641760473975, 4.390880514392648, 0.0941323814457909, 2.72721784197429, 0.2189336751701754, 0.0269711325157117, 2.932748706838164, 0.2335098341372735, 0.0277957847829441, 2.967998356184517, 0.7143735118250092, 0.0236494221095428, 3.131987042385325, 0.207966141289851, 0.0232171006423221, 3.2265393130132054, -0.0802273885571275, 0.023203240004563, 3.259796247984546, 1.3739545607456867, 0.0421818441648253, 3.3725547265943554, 0.2358191424536838, 0.0334328460037566, 3.6648570142090104, 0.0674821163730818, 0.0222090360849195, 3.718972090836545, 0.0173801647904446, 0.0215762306458177, 3.8229498674896303, 0.4068129051251345, 0.023457038747809, 3.953458776007276, 0.2574819070134832, 0.0246295614334453, 4.058487651760611, 0.8212498979690058, 0.0397612846724445, 4.169813947338564, 0.9572686474393683, 0.0358738707983641, 4.437615735297093, 0.7366471842501792, 0.0422788699868081, 4.570285302640653, 0.2199501578543868, 0.0248028621796458, 4.600857842406822, 0.5058737761555505, 0.0409714266337805, 4.710906534015925, 0.0511115294607897, 0.0242820416720076, 4.794597748845207, 0.3673787238481435, 0.0279100786964328, 4.970042620552443, 0.1680348761166469, 0.0224837913573597, 5.393566554298276, 0.287217229751592, 0.0263362253430728, 5.415098868627848, 0.0902752871674693, 0.0331189917204511, 2.5950844632983108, 0.0065720594199321, 0.0226679646950701, 3.866148901980218, 0.1594741817695849, 0.0135601869021993, 5.208517169936461]|232521.4604815746424720|      0.06250000|[47486, 3174, 10, 810]                                                     |  | used quadratic model with 5066 points | iterate failure | actual_k=4
      11|[0.5942242704618718, 0.0300095620386838, 1.8839446953275187, 0.6319152628483801, 0.0307722741230189, 1.9891304910764667, 1.2872194788522977, 0.0501765305029626, 2.104458561447907, -0.0122477577946621, 0.0219504116662742, 2.1730227633996257, 1.2346246742228033, 0.0493574339222323, 2.210147860205718, 0.223491254889321, 0.0232750675904096, 2.2840403821273867, 1.3341617333364897, 0.0548043884948115, 2.366405800760268, 4.500081027023255, 0.1257748231210433, 2.4773199620217703, 0.6626852190113144, 0.0394656516399492, 2.549467199986243, 4.385428236921897, 0.1085615398795984, 2.7440293540663285, 0.2160329377285723, 0.0204498761095988, 2.937115845140084, 0.2296322616160841, 0.0279071150794865, 2.965100203390006, 0.7129494463452197, 0.0378018266235355, 3.137683484830032, 0.2012231353057076, 0.0277972995952132, 3.2228427212835937, -0.0774104700449882, 0.0231314423392731, 3.260480265228841, 1.3702720156187658, 0.0588023822834209, 3.3662118660504987, 0.2349631452860899, 0.0274443280234331, 3.6600258135778074, 0.075337163355352, 0.0235790584807842, 3.7160912780431334, 0.0227501607803209, 0.0190500961558971, 3.819315674859953, 0.4077803119516223, 0.021369158351265, 3.950697904059859, 0.2655296457548399, 0.0274630679320447, 4.060091551195924, 0.8241905828791748, 0.0493282605970031, 4.1708021891369045, 0.9596052967175659, 0.0493342966641482, 4.4309044525207595, 0.7430829814671781, 0.0422157620902271, 4.571516904091122, 0.2234210056396541, 0.0290570454134677, 4.604042029079949, 0.5075237010990767, 0.0494049972660231, 4.699057906028439, 0.0582614153071165, 0.0237389373356724, 4.787159221463909, 0.364029928780004, 0.029455851977023, 4.972188587434243, 0.1663193066357192, 0.0244468311507244, 5.396454717586045, 0.2843462702697605, 0.0292478808161173, 5.410533708493605, 0.0886523132082752, 0.0341870903188444, 2.5902796157641115, 0.0047484015704294, 0.0280044147291609, 3.8630792450345743, 0.1598693329210779, 0.0284041287417579, 5.217905132069415]|216404.7910364404087886|      0.12500000|[52236, 3490, 11, 891]                                                     |  | used quadratic model with 5066 points | iterate success | actual_k=4
