k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.41995093547973, -0.5074016532454846, -0.5533957335840836, -0.2364036642118835, -0.0288162668624687, -0.020459757613526, -0.0035087044357913]|630471.4408460772829130|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[10.368603611059099, 0.2596817799078354, -1.4341702427552498, -1.184492940955366, 0.0138517499148442, -0.5155518721861074, -0.77166710831384]|45749.2692195989802713|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[10.368603611059099, 0.2596817799078354, -1.4341702427552498, -1.184492940955366, 0.0138517499148442, -0.5155518721861074, -0.77166710831384]|45749.2692195989802713|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[9.72982891201668, -0.3809477360809067, -0.3763939582098235, -2.144666068347557, -0.4424047798862709, -1.4554344889766586, -0.9934513504575536]|42177.6229862594045699|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[11.528215148752007, -1.3074376153886358, -1.6305113413160266, -5.347124298944695, -0.597533318449337, -1.2411500174534613, -1.0877467348626568]|28266.4616769474050670|      8.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[10.457738524673339, -2.451847279037299, -8.576952371484175, -5.992146767065934, -4.111222796107842, -1.890499981972646, -0.7596610338106442]|17245.7772639824033831|     16.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[10.457738524673339, -2.451847279037299, -8.576952371484175, -5.992146767065934, -4.111222796107842, -1.890499981972646, -0.7596610338106442]|17245.7772639824033831|      8.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[10.457738524673339, -2.451847279037299, -8.576952371484175, -5.992146767065934, -4.111222796107842, -1.890499981972646, -0.7596610338106442]|17245.7772639824033831|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[10.457738524673339, -2.451847279037299, -8.576952371484175, -5.992146767065934, -4.111222796107842, -1.890499981972646, -0.7596610338106442]|17245.7772639824033831|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[10.457738524673339, -2.451847279037299, -8.576952371484175, -5.992146767065934, -4.111222796107842, -1.890499981972646, -0.7596610338106442]|17245.7772639824033831|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[10.457738524673339, -2.451847279037299, -8.576952371484175, -5.992146767065934, -4.111222796107842, -1.890499981972646, -0.7596610338106442]|17245.7772639824033831|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[10.615004332956953, -2.462084976537574, -8.513457931141977, -5.84492905986058, -4.080461467250364, -2.002759667562625, -0.3284887231693126]|8154.9277224558900343|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[10.615004332956953, -2.462084976537574, -8.513457931141977, -5.84492905986058, -4.080461467250364, -2.002759667562625, -0.3284887231693126]|8154.9277224558900343|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[10.615004332956953, -2.462084976537574, -8.513457931141977, -5.84492905986058, -4.080461467250364, -2.002759667562625, -0.3284887231693126]|8154.9277224558900343|      0.25000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[10.615004332956953, -2.462084976537574, -8.513457931141977, -5.84492905986058, -4.080461467250364, -2.002759667562625, -0.3284887231693126]|8154.9277224558900343|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[10.572343190460009, -2.4767884084427627, -8.462405077611834, -5.870371876589832, -4.155109676716519, -1.971543656452302, -0.3900379774965074]|6633.1583223822017317|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[10.572343190460009, -2.4767884084427627, -8.462405077611834, -5.870371876589832, -4.155109676716519, -1.971543656452302, -0.3900379774965074]|6633.1583223822017317|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[10.572343190460009, -2.4767884084427627, -8.462405077611834, -5.870371876589832, -4.155109676716519, -1.971543656452302, -0.3900379774965074]|6633.1583223822017317|      0.06250000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
