k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[8, 3, 1, 4]                                                               |  | used linear model with 11 points | iterate failure | actual_k=1
       2|[-0.1197586336711327, 0.1148844389856494, -0.1234266121750991, -0.1024200792424283, 0.4352339411417455, 0.0065271926142631, -0.0372235471510813, -0.0680714022027183, 0.035283680215863]|112444.8049947345280088|      1.00000000|[17, 5, 2, 8]                                                              |  | used linear model with 11 points | iterate success | actual_k=1
       3|[-0.1197586336711327, 0.1148844389856494, -0.1234266121750991, -0.1024200792424283, 0.4352339411417455, 0.0065271926142631, -0.0372235471510813, -0.0680714022027183, 0.035283680215863]|112444.8049947345280088|      0.50000000|[25, 8, 3, 12]                                                             |  | used linear model with 11 points | iterate failure | actual_k=1
       4|[0.2608787678001671, 0.0270306029442197, -0.1730404288738476, -0.1142831677593044, 0.6734981975098637, -0.0892520585527584, -0.1513136713056132, -0.0816221756654806, 0.1603872681324475]|42004.4906155779390247|      1.00000000|[34, 10, 4, 16]                                                            |  | used linear model with 11 points | iterate success | actual_k=1
       5|[0.2608787678001671, 0.0270306029442197, -0.1730404288738476, -0.1142831677593044, 0.6734981975098637, -0.0892520585527584, -0.1513136713056132, -0.0816221756654806, 0.1603872681324475]|42004.4906155779390247|      0.50000000|[43, 12, 5, 20]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
       6|[0.2608787678001671, 0.0270306029442197, -0.1730404288738476, -0.1142831677593044, 0.6734981975098637, -0.0892520585527584, -0.1513136713056132, -0.0816221756654806, 0.1603872681324475]|42004.4906155779390247|      0.25000000|[52, 14, 6, 24]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
       7|[0.3753786346343237, 0.0960935881264798, -0.1259684207954111, 0.0353911149089179, 0.6783347910824675, 0.0328530034401806, -0.1771239513994842, -0.0804788556114093, 0.2267303400762147]|13305.0942853403721529|      0.50000000|[61, 16, 7, 28]                                                            |  | used linear model with 11 points | iterate success | actual_k=1
       8|[0.3753786346343237, 0.0960935881264798, -0.1259684207954111, 0.0353911149089179, 0.6783347910824675, 0.0328530034401806, -0.1771239513994842, -0.0804788556114093, 0.2267303400762147]|13305.0942853403721529|      0.25000000|[69, 19, 8, 32]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
       9|[0.3753786346343237, 0.0960935881264798, -0.1259684207954111, 0.0353911149089179, 0.6783347910824675, 0.0328530034401806, -0.1771239513994842, -0.0804788556114093, 0.2267303400762147]|13305.0942853403721529|      0.12500000|[78, 21, 9, 36]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
      10|[0.3957470638936448, 0.1210840633316891, -0.1274711102817722, -0.0484583080783152, 0.7183629658609882, 0.0755352719623097, -0.2390104628150115, -0.081846856926487, 0.2095031266490726]|9411.9721935840170772|      0.25000000|[86, 24, 10, 40]                                                           |  | used linear model with 11 points | iterate success | actual_k=1
      11|[0.3081998080768857, 0.2758892788072699, -0.0632165839151309, -0.0500145131495773, 0.8730401842410134, 0.0297998119208808, -0.2634698426777407, -0.0832992411236028, 0.2205761774292442]|1030.0718756345856946|      0.50000000|[94, 27, 11, 44]                                                           |  | used linear model with 11 points | iterate success | actual_k=1
