k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0366068482398987, -0.1127142757177353]                                       | 61.4647712707519531|      2.00000000|[4, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.1576822996139526, 1.5861919075250626]                                        | 47.3058547973632812|      4.00000000|[7, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[0.1576822996139526, 1.5861919075250626]                                        | 47.3058547973632812|      2.00000000|[10, 0, 1, 4]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[0.1576822996139526, 1.5861919075250626]                                        | 47.3058547973632812|      1.00000000|[14, 0, 2, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[0.8490973711013794, 1.1428685039281845]                                        |  3.7883055210113525|      2.00000000|[18, 0, 2, 7]                                                              | | GPS sucess | actual_k=0
       6|[0.8490973711013794, 1.1428685039281845]                                        |  3.7883055210113525|      1.00000000|[21, 0, 3, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.9446430653333664, 0.9857105761766434]                                        |  0.5291300415992737|      2.00000000|[25, 0, 3, 10]                                                             | | GPS sucess | actual_k=0
       8|[0.9446430653333664, 0.9857105761766434]                                        |  0.5291300415992737|      1.00000000|[28, 0, 4, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.9446430653333664, 0.9857105761766434]                                        |  0.5291300415992737|      0.50000000|[32, 0, 5, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.9446430653333664, 0.9857105761766434]                                        |  0.5291300415992737|      0.25000000|[36, 0, 6, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[0.9446430653333664, 0.9857105761766434]                                        |  0.5291300415992737|      0.12500000|[40, 0, 7, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      12|[0.9446430653333664, 0.9857105761766434]                                        |  0.5291300415992737|      0.06250000|[44, 0, 8, 20]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
