k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2468646615743637, -0.0769446641206741, 0.3966071605682373, 0.0099343378096819, -0.4363338947296143, -0.0838608890771866, 0.2060846984386444, -0.0688762962818146, -0.2596638798713684, -0.2106619775295258, -0.3285622894763947, -0.1666866689920425, -0.1715127378702164, 0.3613016605377197, -0.1589917093515396, 0.1049014776945114, 0.0873133838176727, 0.0446016453206539, -0.0452248342335224, 0.1569592505693436, -0.1578861922025681, 0.0807604640722275]| 14.5381040573120117|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[1.1477050632238388, 0.0984298586845398, 0.7317717373371124, 0.3663858193904161, -0.2608877420425415, 0.1754468828439713, -0.0836314857006073, -0.4700146019458771, -0.4577789008617401, -1.0232878029346466, -1.0796881020069122, -0.8206841498613358, 0.2997148185968399, 0.0708982050418854, -0.6581542938947678, 0.1185107193887234, 0.1501550227403641, 0.0020845681428909, -0.0295764897018671, 0.1160513274371624, -0.0009098649024963, -0.3943338245153427]| 13.0324945449829102|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[1.4377736002206802, -0.4203826189041138, 1.3029389083385468, 1.7939056176692247, -0.3725069239735603, 0.2111241482198238, 1.6584981977939606, -1.034686952829361, -0.5215292796492577, -0.7179228067398071, -0.8540302813053131, -2.159992292523384, 0.614947184920311, -0.1509245187044144, -0.8759021908044815, -0.1964221335947514, 1.1383910924196243, 0.7681709080934525, 0.9589909818023443, 1.6931135766208172, -0.7064419388771057, -0.5257627665996552]| 12.1444816589355469|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[0.998746883806098, -1.5470623405113686, 1.5924616402335263, 2.2167018276028414, -1.2416821343978979, 1.584408573159455, 0.616375245359414, -0.9119316572042397, 0.5954665246693993, -1.886106806185059, -2.498189413225862, -0.2986074095003952, -0.561869130643188, 0.5540606248134939, 3.4406807662761905, 1.7399808023599244, 1.6354426287092563, -2.398446369017555, 3.0183605109309086, 4.485813433222413, -2.482471693827158, -0.387815608668419]| 12.1420564651489258|     16.00000000|[88, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points| GPS sucess | actual_k=1
       5|[0.4181012629831915, -4.004709902538346, 1.5167838877387143, 2.9366092901997347, -3.385896049269114, -0.8571454963595879, 1.1349442975788049, 0.4561867481378623, -1.6204596456797218, -4.8727649024985356, -0.8354336854579176, -1.4077867870562424, -1.573142872365295, 0.7146670984978049, 4.5110014917171695, 1.0330828283456421, 0.0285060547270175, 3.3957745553598864, -2.0374756897832027, 5.666785890154481, -6.813001383615976, -1.3407639405013048]| 12.1415739059448242|     32.00000000|[157, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 56 points| GPS sucess | actual_k=1
       6|[-11.895265626970422, -11.730659666790055, -3.666691129808893, 13.894628546791532, -5.2570615632614235, -1.9452154121310723, 9.0763996618061, -7.550964855560868, -6.339278787067661, -14.208739595796875, -1.4085971352221693, -2.8415719871752607, -6.182972298177063, 8.951661841844972, 5.954122686556647, 0.0324560259011841, 6.161518349496305, 7.013311100159691, -0.5589479054356685, 1.9910885634943245, -14.417859305216318, -5.178340806651207]| 12.1048326492309570|     64.00000000|[198, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points| GPS sucess | actual_k=1
       7|[-11.895265626970422, -11.730659666790055, -3.666691129808893, 13.894628546791532, -5.2570615632614235, -1.9452154121310723, 9.0763996618061, -7.550964855560868, -6.339278787067661, -14.208739595796875, -1.4085971352221693, -2.8415719871752607, -6.182972298177063, 8.951661841844972, 5.954122686556647, 0.0324560259011841, 6.161518349496305, 7.013311100159691, -0.5589479054356685, 1.9910885634943245, -14.417859305216318, -5.178340806651207]| 12.1048326492309570|     32.00000000|[333, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points | trying quadratic partial model with 70 points | trying quadratic partial model with 83 points | trying quadratic partial model with 96 points | trying quadratic partial model with 110 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=1
       8|[-16.01343827253927, -20.013796034587905, -2.7666661196999454, 17.736870072441555, -11.544513784178172, 0.1115963974087226, -6.658385418149955, -0.1722064250799109, -3.939099400928745, -19.60126574554663, -2.3776090380313124, 1.8020928497082842, 1.508504046885193, 6.4848871397728285, -5.8613794801914, 1.0634838197854615, -1.1529710151277186, 7.277639520321892, -10.313510283365357, 3.972100431017518, -4.510209311319834, -9.655468358683677]| 12.1013183593750000|     64.00000000|[374, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points| GPS sucess | actual_k=1
       9|[-21.75657038694967, -9.99121684147267, 5.797643000478278, 19.65273585136459, -23.75938137603608, 19.53572969818997, -7.223499797079093, 0.2811827129034112, -2.401404350689182, -25.817416983034423, -5.209439539587709, 3.5489234323269976, -20.889883862050354, 23.800530450319705, -10.867666578122307, -1.2622553254934692, -23.579576239737094, 16.596870553647086, -34.096730574503056, 13.093435460619569, -5.578702915979868, 7.704719171833901]| 12.0947437286376953|    128.00000000|[441, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points| GPS sucess | actual_k=1
      10|[-28.156728792253624, -38.788175764812515, 40.064244562978274, 21.022552273827053, -38.976342283018504, 3.311288169869659, 12.607528187540048, 6.979346222272308, 8.14467147023367, -58.67644866028051, 45.43750259908417, 69.39754098603794, 24.76765169092816, 38.03560449359363, -8.926767206021477, 30.493113860907897, -49.25399945751053, 21.652896535550163, -20.47586666001331, 10.560940915636658, 17.175277720616812, -3.367684735941978]| 12.0472955703735352|    256.00000000|[456, 33, 0, 33]                                                           | | GPS sucess | actual_k=1
      11|[-28.156728792253624, -38.788175764812515, 40.064244562978274, 21.022552273827053, -38.976342283018504, 3.311288169869659, 12.607528187540048, 6.979346222272308, 8.14467147023367, -58.67644866028051, 45.43750259908417, 69.39754098603794, 24.76765169092816, 38.03560449359363, -8.926767206021477, 30.493113860907897, -49.25399945751053, 21.652896535550163, -20.47586666001331, 10.560940915636658, 17.175277720616812, -3.367684735941978]| 12.0472955703735352|    128.00000000|[589, 43, 0, 43]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      12|[-28.156728792253624, -38.788175764812515, 40.064244562978274, 21.022552273827053, -38.976342283018504, 3.311288169869659, 12.607528187540048, 6.979346222272308, 8.14467147023367, -58.67644866028051, 45.43750259908417, 69.39754098603794, 24.76765169092816, 38.03560449359363, -8.926767206021477, 30.493113860907897, -49.25399945751053, 21.652896535550163, -20.47586666001331, 10.560940915636658, 17.175277720616812, -3.367684735941978]| 12.0472955703735352|     64.00000000|[722, 53, 0, 53]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      13|[-19.898551988664757, -70.0898515613213, 39.137942845220095, 16.503346703606105, -27.599206052549754, -9.396249481192353, 21.614643551614755, 5.440669125905425, 0.8890056911199, -30.99884779968481, 51.11455509694794, 98.33901017854282, 18.698274745432556, 40.318920629000125, -24.61397442800634, 38.315682754340514, -45.72156070247513, 10.499726903592155, -32.95073543442737, 1.4206077399774788, 20.994372140096182, 9.853018389058022]| 12.0458784103393555|    128.00000000|[790, 58, 0, 58]                                                           |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 56 points| GPS sucess | actual_k=1
