k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8206274509429932, 0.5714634656906128]                                        |  3.6024022102355957|      2.00000000|[3, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.8206274509429932, 0.5714634656906128]                                        |  3.6024022102355957|      1.00000000|[6, 1, 1, 3]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[0.8206274509429932, 0.5714634656906128]                                        |  3.6024022102355957|      0.50000000|[9, 2, 2, 5]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.8206274509429932, 0.5714634656906128]                                        |  3.6024022102355957|      0.25000000|[12, 3, 3, 7]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[0.6577350348234177, 0.3818162679672241]                                        |  2.1534497737884521|      0.50000000|[16, 3, 3, 8]                                                              | | GPS sucess | actual_k=1
       6|[0.6577350348234177, 0.3818162679672241]                                        |  2.1534497737884521|      0.25000000|[18, 4, 4, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.6577350348234177, 0.3818162679672241]                                        |  2.1534497737884521|      0.12500000|[21, 5, 5, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[0.7797837853431702, 0.4088182225823402]                                        |  0.9931064844131470|      0.25000000|[25, 5, 5, 13]                                                             | | GPS sucess | actual_k=1
       9|[0.7797837853431702, 0.4088182225823402]                                        |  0.9931064844131470|      0.12500000|[27, 6, 6, 15]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[0.7797837853431702, 0.4088182225823402]                                        |  0.9931064844131470|      0.06250000|[30, 7, 7, 17]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[0.7424717471003532, 0.4589586444199085]                                        |  0.7336248755455017|      0.12500000|[33, 8, 7, 18]                                                             | | GPS sucess | actual_k=1
      12|[0.7424717471003532, 0.4589586444199085]                                        |  0.7336248755455017|      0.06250000|[35, 9, 8, 20]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
