k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8082420945167541, 0.6767975687980652]                                       |248.8545532226562500|      2.00000000|[4, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       2|[-0.8082420945167541, 0.6767975687980652]                                       |248.8545532226562500|      1.00000000|[8, 3, 1, 5]                                                               |  | used quadratic model with 6 points | iterate failure | actual_k=1
       3|[-0.6431415051221847, 0.7919228225946426]                                       | 43.8370971679687500|      2.00000000|[13, 4, 1, 7]                                                              | | GPS sucess | actual_k=1
       4|[-0.0775550574064254, 0.9589821845293045]                                       |  0.0001517043128842|      4.00000000|[17, 5, 1, 9]                                                              | | GPS sucess | actual_k=1
       5|[-0.0775550574064254, 0.9589821845293045]                                       |  0.0001517043128842|      2.00000000|[20, 7, 2, 12]                                                             |  | used quadratic model with 6 points | iterate failure | actual_k=1
       6|[-0.0775550574064254, 0.9589821845293045]                                       |  0.0001517043128842|      1.00000000|[24, 9, 3, 15]                                                             |  | used quadratic model with 6 points | iterate failure | actual_k=1
       7|[-0.0775550574064254, 0.9589821845293045]                                       |  0.0001517043128842|      0.50000000|[29, 10, 3, 17]                                                            |  | used quadratic model with 6 points | actual_k=1
       8|[0.0832672744989396, 0.9638749128207564]                                        |  0.0000017127434830|      1.00000000|[33, 11, 3, 19]                                                            | | GPS sucess | actual_k=1
       9|[0.9179467588663102, 1.0066171986982226]                                        |  0.0000002519715849|      2.00000000|[36, 13, 3, 21]                                                            | | GPS sucess | actual_k=1
