k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9496430903673172, 0.9178489744663239]                                        |  6.5625205039978027|      2.00000000|[4, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.9496430903673172, 0.9178489744663239]                                        |  6.5625205039978027|      1.00000000|[7, 0, 1, 3]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[0.5645659292770328, -0.0050354061614162]                                       |  0.4146914359666202|      2.00000000|[11, 0, 2, 5]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       4|[0.0501661027503909, 0.2239459844340199]                                        |  0.1381465047597885|      4.00000000|[15, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[0.0501661027503909, 0.2239459844340199]                                        |  0.1381465047597885|      2.00000000|[18, 0, 3, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[0.0501661027503909, 0.2239459844340199]                                        |  0.1381465047597885|      1.00000000|[22, 0, 4, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.2966746712757052, -0.3354437855969554]                                       |  0.0904630348086357|      2.00000000|[26, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[0.2966746712757052, -0.3354437855969554]                                       |  0.0904630348086357|      1.00000000|[29, 0, 5, 13]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.2966746712757052, -0.3354437855969554]                                       |  0.0904630348086357|      0.50000000|[33, 0, 6, 15]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.2966746712757052, -0.3354437855969554]                                       |  0.0904630348086357|      0.25000000|[37, 0, 7, 17]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      11|[0.1201980287862719, -0.1814469603787547]                                       |  0.0314954221248627|      0.50000000|[41, 0, 7, 18]                                                             | | GPS sucess | actual_k=0
      12|[0.1201980287862719, -0.1814469603787547]                                       |  0.0314954221248627|      0.25000000|[44, 0, 8, 20]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
