k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0164265558123589, 0.93416378647089, 1.180523157119751, 0.8689699918031693, 0.86771160364151, 1.0321409776806831, 0.8249104768037796, 0.9168893173336983, 0.7781387269496918, 0.7222255170345306, 1.2781975269317627, 0.3775750398635864, 1.1552569568157196, 1.0620297230780125, 1.0631342008709908, 1.0539354495704174, 0.9542178548872471, 0.9501368477940559, 1.038472130894661, 0.9186907634139061, 1.326472818851471, 1.2683864533901215]|  1.3375089168548584|      2.00000000|[241, 35, 0, 18]                                                           | | GPS sucess | actual_k=2
       2|[0.9189037531614304, 0.1420218124985695, 1.1151010021567345, 1.0000280737876892, 1.0106414258480072, 0.2065495327115059, 0.6058400571346283, 1.4256540015339851, 0.4800299406051636, 0.689313504844904, 1.5373675227165222, -0.4353083968162537, 1.1093768440186977, 0.8598819561302662, 0.9459049850702286, 1.503864835947752, 0.7624612487852573, 0.2618579342961311, 0.6311283856630325, 1.0028058588504791, 1.507014900445938, 0.7265056073665619]|  1.0824751853942871|      4.00000000|[482, 69, 0, 36]                                                           | | GPS sucess | actual_k=2
       3|[1.2720792144536972, 0.0639418065547943, -0.4060913100838661, 0.1117221713066101, -0.0827740728855133, 0.4397300705313683, -0.0263634622097015, 0.5268143489956856, 0.1480753719806671, -0.935684110969305, 0.3513407111167908, -0.4534680917859077, 0.5908410511910915, 0.8175122626125813, -0.3081612437963486, 1.035912912338972, 1.3341110982000828, -0.6023754999041557, -0.1371244043111801, 0.045175164937973, 2.0536222755908966, 0.0375960767269135]|  0.7707167863845825|      8.00000000|[723, 103, 0, 54]                                                          | | GPS sucess | actual_k=2
       4|[0.912737175822258, -2.318214327096939, 0.6813727840781212, -0.3716574609279633, -0.3564428389072418, 0.9402331933379173, 0.2391050457954407, -1.959468238055706, -3.524485796689987, -3.360787060111761, 1.3252451419830322, -4.100750453770161, 0.8606035374104977, 1.1648491211235523, -1.7596542686223984, 0.367607694119215, 2.2045527137815952, -2.1746205016970634, 0.6874644905328751, 0.1436762735247612, 0.8060998022556305, 1.6000706851482391]|  0.5982341170310974|     16.00000000|[964, 137, 0, 72]                                                          | | GPS sucess | actual_k=2
       5|[0.912737175822258, -2.318214327096939, 0.6813727840781212, -0.3716574609279633, -0.3564428389072418, 0.9402331933379173, 0.2391050457954407, -1.959468238055706, -3.524485796689987, -3.360787060111761, 1.3252451419830322, -4.100750453770161, 0.8606035374104977, 1.1648491211235523, -1.7596542686223984, 0.367607694119215, 2.2045527137815952, -2.1746205016970634, 0.6874644905328751, 0.1436762735247612, 0.8060998022556305, 1.6000706851482391]|  0.5982341170310974|      8.00000000|[1205, 171, 0, 90]                                                         |  | used quadratic model with 276 points | actual_k=2
       6|[-1.775297835469246, -3.320390373468399, -1.1970699802041054, 1.4194119274616241, -2.416600614786148, -1.215576209127903, -0.2387120127677917, -1.6467159017920494, -4.5415378510952, -2.809102740138769, 0.3589839339256287, -5.275657184422016, -1.5317778922617435, 4.121088583022356, -0.2964851707220078, 1.2605568580329418, -0.5713927112519741, -1.7665706500411034, 0.0546666532754898, 0.8921028897166252, 2.7873531877994537, 3.3379426896572113]|  0.5341889858245850|     16.00000000|[1445, 206, 0, 108]                                                        | | GPS sucess | actual_k=2
       7|[-1.775297835469246, -3.320390373468399, -1.1970699802041054, 1.4194119274616241, -2.416600614786148, -1.215576209127903, -0.2387120127677917, -1.6467159017920494, -4.5415378510952, -2.809102740138769, 0.3589839339256287, -5.275657184422016, -1.5317778922617435, 4.121088583022356, -0.2964851707220078, 1.2605568580329418, -0.5713927112519741, -1.7665706500411034, 0.0546666532754898, 0.8921028897166252, 2.7873531877994537, 3.3379426896572113]|  0.5341889858245850|      8.00000000|[1686, 240, 0, 126]                                                        |  | used quadratic model with 276 points | actual_k=2
       8|[-0.8614203482866287, -1.8636219799518585, -0.685454823076725, 0.7419398128986359, -1.7037690579891205, -1.5335607007145882, -0.0547375530004501, -0.0268993601202965, -2.404841512441635, 0.3589923717081547, 1.7834121584892273, -6.4450259283185005, -2.2570751048624516, 3.8168372996151447, 0.7246661335229874, 4.364195268601179, -3.2945691905915737, -2.7443061098456383, 1.8795204311609268, 2.0771935507655144, 3.9237689077854156, 1.480649083852768]|  0.5270966291427612|     16.00000000|[1926, 275, 0, 144]                                                        | | GPS sucess | actual_k=2
       9|[-0.8614203482866287, -1.8636219799518585, -0.685454823076725, 0.7419398128986359, -1.7037690579891205, -1.5335607007145882, -0.0547375530004501, -0.0268993601202965, -2.404841512441635, 0.3589923717081547, 1.7834121584892273, -6.4450259283185005, -2.2570751048624516, 3.8168372996151447, 0.7246661335229874, 4.364195268601179, -3.2945691905915737, -2.7443061098456383, 1.8795204311609268, 2.0771935507655144, 3.9237689077854156, 1.480649083852768]|  0.5270966291427612|      8.00000000|[2167, 309, 0, 162]                                                        |  | used quadratic model with 276 points | actual_k=2
      10|[-2.9396962672472, -3.485837608575821, -2.447659708559513, 0.3458362817764282, -1.57879189401865, -3.7719747498631477, -1.4222222417593002, -0.5895049199461937, -1.3524350821971893, -1.2155385874211788, -1.4264608025550842, -5.988575674593449, -3.272095713764429, 3.677312109619379, -1.1832494586706161, 4.28108849003911, -2.177431758493185, -4.461448810994625, -2.3754758685827255, 1.292235367000103, 3.5423930287361145, 1.8205446898937225]|  0.4900490045547485|     16.00000000|[2408, 343, 0, 180]                                                        | | GPS sucess | actual_k=2
      11|[-2.9396962672472, -3.485837608575821, -2.447659708559513, 0.3458362817764282, -1.57879189401865, -3.7719747498631477, -1.4222222417593002, -0.5895049199461937, -1.3524350821971893, -1.2155385874211788, -1.4264608025550842, -5.988575674593449, -3.272095713764429, 3.677312109619379, -1.1832494586706161, 4.28108849003911, -2.177431758493185, -4.461448810994625, -2.3754758685827255, 1.292235367000103, 3.5423930287361145, 1.8205446898937225]|  0.4900490045547485|      8.00000000|[2649, 377, 0, 198]                                                        |  | used quadratic model with 276 points | actual_k=2
