k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1018646582961082, 0.2747185826301575, -0.137134462594986, 0.4579889476299286, 0.2082384824752808, -0.3116142749786377, -0.1069750189781189, -0.1159370467066765, 0.1397458612918854, 0.0341020561754704, -0.1914674639701843, -0.0652850568294525, -0.0144763644784689, 0.337201863527298, 0.0044242572039366, 0.0833752825856209, 0.197030246257782, 0.3441071510314941, 0.0740233510732651, 0.0973725020885468, -0.072860062122345, -0.4003025889396667]| 14.1187686920166016|      2.00000000|[38, 1, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.805901549756527, 0.0230059325695038, 0.331399530172348, 0.9638579189777374, 0.2326217480003834, -0.4496302306652069, 0.0715660899877548, -0.0496741905808449, -1.0943792760372162, -0.3962313793599606, -0.4576093852519989, -0.1191623248159885, 0.1232605818659067, 0.6048676073551178, 0.1225447487086058, 0.3724162057042122, 0.294710747897625, -0.0315624475479126, 0.4627584964036942, 0.0501806847751141, 0.719632089138031, -0.4867890328168869]| 12.7930288314819336|      4.00000000|[72, 5, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[1.254736714065075, -1.2885643541812897, 0.7237949669361115, 2.12134912610054, 1.7098483629524708, -0.739165186882019, 0.2739704698324203, -1.144857443869114, -1.8223329484462738, -0.4664635322988033, -0.1273080110549927, -0.0257623381912708, 0.3967779520899057, 0.0268223583698273, 0.94732497446239, -0.3535818979144096, -0.414460189640522, -1.6170661449432373, 1.0810322910547256, -1.1423773653805256, 1.3699823021888733, -1.737802192568779]| 12.1430625915527344|      8.00000000|[108, 7, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[-0.3407673314213753, -0.6178317368030548, 2.758318930864334, 3.049533873796463, 1.958632294088602, -0.8891353756189346, 0.5380910187959671, -0.9178378209471703, -0.6851416528224945, -0.0117931328713894, -1.9126875400543213, -0.0920181311666965, -0.8598627205938101, 1.2662585079669952, 0.8233622070401907, -1.9356540367007256, -2.87936282902956, 1.5283637046813965, 4.414523854851723, -0.0263591893017292, 3.140345871448517, 2.0053375512361526]| 12.1402330398559570|     16.00000000|[143, 10, 0, 4]                                                            | | GPS sucess | actual_k=4
       5|[-0.3407673314213753, -0.6178317368030548, 2.758318930864334, 3.049533873796463, 1.958632294088602, -0.8891353756189346, 0.5380910187959671, -0.9178378209471703, -0.6851416528224945, -0.0117931328713894, -1.9126875400543213, -0.0920181311666965, -0.8598627205938101, 1.2662585079669952, 0.8233622070401907, -1.9356540367007256, -2.87936282902956, 1.5283637046813965, 4.414523854851723, -0.0263591893017292, 3.140345871448517, 2.0053375512361526]| 12.1402330398559570|      8.00000000|[179, 12, 0, 5]                                                            |  | used linear model with 39 points | actual_k=4
       6|[-0.6175065413117409, -2.4424038231372833, 3.0617460012435913, 3.2935499995946884, 2.12874748185277, -1.0708340406417847, 2.0813009291887283, -1.9717532023787498, -1.0422062873840332, -3.190231319516897, -1.858473889529705, -0.712983313947916, -3.292754089459777, 1.8863573372364044, -1.771074676886201, -0.2651154920458794, -5.031329162418842, -0.6565074920654297, 7.8769800812006, 1.0401643626391888, 4.492023527622223, -0.4618548601865768]| 12.1373538970947266|     16.00000000|[214, 15, 0, 6]                                                            | | GPS sucess | actual_k=4
       7|[-0.6175065413117409, -2.4424038231372833, 3.0617460012435913, 3.2935499995946884, 2.12874748185277, -1.0708340406417847, 2.0813009291887283, -1.9717532023787498, -1.0422062873840332, -3.190231319516897, -1.858473889529705, -0.712983313947916, -3.292754089459777, 1.8863573372364044, -1.771074676886201, -0.2651154920458794, -5.031329162418842, -0.6565074920654297, 7.8769800812006, 1.0401643626391888, 4.492023527622223, -0.4618548601865768]| 12.1373538970947266|      8.00000000|[250, 17, 0, 7]                                                            |  | used linear model with 39 points | actual_k=4
       8|[-0.6175065413117409, -2.4424038231372833, 3.0617460012435913, 3.2935499995946884, 2.12874748185277, -1.0708340406417847, 2.0813009291887283, -1.9717532023787498, -1.0422062873840332, -3.190231319516897, -1.858473889529705, -0.712983313947916, -3.292754089459777, 1.8863573372364044, -1.771074676886201, -0.2651154920458794, -5.031329162418842, -0.6565074920654297, 7.8769800812006, 1.0401643626391888, 4.492023527622223, -0.4618548601865768]| 12.1373538970947266|      4.00000000|[285, 20, 0, 8]                                                            |  | used linear model with 39 points | actual_k=4
       9|[-1.015389658510685, -3.2515229880809784, 3.199708506464958, 3.621555909514427, 2.818708200007677, -1.4902220666408539, 3.1286949664354324, -1.560257874429226, -0.9305163100361824, -2.4311677776277065, -3.200790159404278, -2.651026789098978, -3.517576789483428, 1.2027946412563324, -0.9383338335901499, -0.7776967212557793, -5.239454157650471, 0.0732361078262329, 8.631054773926735, 2.5594934336841106, 5.737560927867889, -1.1811784356832504]| 12.1357431411743164|      8.00000000|[319, 24, 0, 9]                                                            | | GPS sucess | actual_k=4
      10|[-1.015389658510685, -3.2515229880809784, 3.199708506464958, 3.621555909514427, 2.818708200007677, -1.4902220666408539, 3.1286949664354324, -1.560257874429226, -0.9305163100361824, -2.4311677776277065, -3.200790159404278, -2.651026789098978, -3.517576789483428, 1.2027946412563324, -0.9383338335901499, -0.7776967212557793, -5.239454157650471, 0.0732361078262329, 8.631054773926735, 2.5594934336841106, 5.737560927867889, -1.1811784356832504]| 12.1357431411743164|      4.00000000|[354, 27, 0, 10]                                                           |  | used linear model with 39 points | actual_k=4
      11|[-1.8366855159401894, -4.565436094999313, 2.325483724474907, 4.547284945845604, 2.265419263392687, -2.5551852881908417, 2.788012906908989, -1.4030848816037178, -0.3305557444691658, -1.2011994682252407, -4.3929551765322685, -2.4105466939508915, -3.5999303739517927, 0.8036567568778992, -0.6061450485140085, 1.0744835212826729, -6.435785181820393, -0.596291720867157, 9.569303944706917, 3.036834042519331, 6.3262112736701965, -1.2427736409008503]| 12.1335191726684570|      8.00000000|[389, 30, 0, 11]                                                           | | GPS sucess | actual_k=4
