k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0076351747848094, 0.0429752841591835, 0.1458639800548553, 0.4979351758956909, 0.1576021462678909, -0.1040442883968353, 0.1685651242733002, 0.1701248735189438, 0.011816076003015, -0.1753427535295486, 0.1820599883794785, 0.0160761177539825, 0.2193293571472168, -0.4750019609928131, 0.0572759993374348, -0.1949298828840256, 0.2311921864748001, 0.3429018259048462, -0.0643594935536385, 0.0561967976391315, -0.0555549710988998, -0.1159977316856384]| 14.1368122100830078|      2.00000000|[276, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
       2|[0.8758952035568655, 0.0766310170292854, -0.1097740530967712, 1.1569231748580933, 0.2505192682147026, 0.501084178686142, -0.0100191235542297, -0.1505080908536911, -0.2808010661974549, 0.1230967789888382, -0.1132148653268814, 0.2709634900093079, -0.2290913164615631, -0.7706412672996521, -0.3621280305087566, -0.0778398811817169, -0.1621276587247849, -0.074295312166214, -0.6222526505589485, 0.8043206818401814, 0.1016155481338501, 0.2078246474266052]| 12.6511907577514648|      4.00000000|[551, 0, 0, 10]                                                            | | GPS sucess | actual_k=0
       3|[0.7335872217081487, 0.121233407407999, 1.5614731907844543, 2.3289904594421387, 0.373916931450367, 1.658030241727829, -0.9777575731277466, -0.3079075366258621, -1.3794370973482728, 0.0515729933977127, -0.2943270057439804, -0.4113126397132874, -0.6555826365947723, -1.5738654732704163, 0.750960934907198, 0.6174332797527313, -1.63844732940197, 0.1042529791593552, 0.6053392216563225, -0.0895362608134747, 0.0573467500507832, 0.7826768755912781]| 12.1426973342895508|      8.00000000|[826, 0, 0, 15]                                                            | | GPS sucess | actual_k=0
       4|[-0.3776702121831477, -2.2175088487565517, 1.9574362635612488, 3.2766098976135254, -2.0679604336619377, 3.2698926627635956, -0.1396940946578979, 1.0635803192853928, 0.3997683441266418, 0.1724044010043144, -3.849913105368614, -1.5318716168403625, -1.0388429462909698, -1.0325993299484253, -1.0750024430453777, -1.1631031334400177, -3.1966038197278976, -1.994302585721016, -1.3049536421895027, -1.0989790670573711, -2.1102362386882305, -1.359225332736969]| 12.1382198333740234|     16.00000000|[1101, 0, 0, 20]                                                           | | GPS sucess | actual_k=0
       5|[-6.037824077997357, -1.4215584956109524, 1.5346182882785797, 7.78560733795166, 0.3690539076924324, 4.08671835064888, -5.907109618186951, -0.8369503766298294, 5.35834454651922, 4.009296528995037, -4.621038481593132, 3.0543338656425476, 1.1558670699596405, -5.438928961753845, 1.2762935049831867, -4.504480868577957, -3.788486525416374, -5.765509441494942, -4.595425434410572, 1.4764734990894794, 1.5060033090412617, -4.4293206334114075]| 12.1264238357543945|     32.00000000|[1376, 0, 0, 25]                                                           | | GPS sucess | actual_k=0
       6|[-15.055283947382122, 2.369195107370615, 1.6336108967661858, 14.371630668640137, -1.963677816092968, 0.0063102543354034, -14.372883200645447, 8.967301294207573, 15.859401217661798, 5.627625457942486, -6.507740780711174, 6.7527095675468445, -8.937343150377274, -11.142926096916199, -4.647553216665983, -6.551514655351639, -6.672842785716057, -7.064884975552559, 3.734236888587475, 0.7070637829601765, -10.933570932596922, -13.13136512041092]| 12.1121845245361328|     64.00000000|[1651, 0, 0, 30]                                                           | | GPS sucess | actual_k=0
       7|[-19.035609407816082, 2.2353655733168125, -20.87946016341448, 21.59339427947998, -11.890791349112988, 21.38614347577095, -10.508330941200256, -1.6660710126161575, 15.554018340073526, -11.322686202824116, -35.6021316498518, -10.281935513019562, -14.60837271809578, -10.783031672239304, -4.488674890249968, -33.37024214863777, -0.2975223511457443, 11.10971562564373, -6.947440929710865, 4.786620248109102, -8.55297739431262, -16.315506041049957]| 12.1008052825927734|    128.00000000|[1926, 0, 0, 35]                                                           | | GPS sucess | actual_k=0
       8|[-19.035609407816082, 2.2353655733168125, -20.87946016341448, 21.59339427947998, -11.890791349112988, 21.38614347577095, -10.508330941200256, -1.6660710126161575, 15.554018340073526, -11.322686202824116, -35.6021316498518, -10.281935513019562, -14.60837271809578, -10.783031672239304, -4.488674890249968, -33.37024214863777, -0.2975223511457443, 11.10971562564373, -6.947440929710865, 4.786620248109102, -8.55297739431262, -16.315506041049957]| 12.1008052825927734|     64.00000000|[2201, 0, 0, 40]                                                           |  | used quadratic model with 276 points | actual_k=0
       9|[-34.732409639749676, -17.54264384135604, -10.957709141075611, 33.46170616149902, 14.34172398597002, 13.239684849977493, -4.569538712501526, -21.945594862103462, 17.98046763893217, -28.332592971622944, -34.41770879924297, -17.001087963581085, -17.628830701112747, -6.188686579465866, 12.006943929940462, -37.37584784626961, 11.785086825489998, 31.247325107455254, 0.4003459736704826, 1.7987390644848347, -15.229957412928343, -36.06983953714371]| 12.0477523803710938|    128.00000000|[2476, 0, 0, 45]                                                           | | GPS sucess | actual_k=0
      10|[-45.02066342392936, -59.17285471782088, -5.398785896599293, 42.923773765563965, 56.89541966468096, 4.524884968996048, 24.5478013753891, 11.69098274409771, 4.261459193192422, -38.86537266522646, -33.064038679003716, -71.51722794771194, 14.144355028867722, 12.160266667604446, 29.697808492928743, -41.24259427189827, -5.820364758372307, 27.3892592638731, 31.382558040320873, 3.33386467769742, 1.5095483548939228, -7.5013962388038635]| 12.0430889129638672|    256.00000000|[2751, 0, 0, 50]                                                           | | GPS sucess | actual_k=0
      11|[-45.02066342392936, -59.17285471782088, -5.398785896599293, 42.923773765563965, 56.89541966468096, 4.524884968996048, 24.5478013753891, 11.69098274409771, 4.261459193192422, -38.86537266522646, -33.064038679003716, -71.51722794771194, 14.144355028867722, 12.160266667604446, 29.697808492928743, -41.24259427189827, -5.820364758372307, 27.3892592638731, 31.382558040320873, 3.33386467769742, 1.5095483548939228, -7.5013962388038635]| 12.0430889129638672|    128.00000000|[3026, 0, 0, 55]                                                           |  | used quadratic model with 276 points | actual_k=0
