k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1793725490570068, -0.5714634656906128]                                       |132.3049468994140625|      2.00000000|[3, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.1967871189117432, 1.4284605979919434]                                        | 34.4751396179199219|      4.00000000|[5, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[1.1967871189117432, 1.4284605979919434]                                        | 34.4751396179199219|      2.00000000|[7, 0, 1, 4]                                                               |  | used linear model with 3 points | iterate failure | actual_k=0
       4|[1.1967871189117432, 1.4284605979919434]                                        | 34.4751396179199219|      1.00000000|[10, 0, 2, 6]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       5|[1.1967871189117432, 1.4284605979919434]                                        | 34.4751396179199219|      0.50000000|[13, 0, 3, 8]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       6|[0.7233928442001343, 1.5893887728452682]                                        | 31.1922950744628906|      1.00000000|[16, 0, 3, 9]                                                              | | GPS sucess | actual_k=0
       7|[0.7233928442001343, 1.5893887728452682]                                        | 31.1922950744628906|      0.50000000|[18, 0, 4, 11]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       8|[0.7233928442001343, 1.5893887728452682]                                        | 31.1922950744628906|      0.25000000|[21, 0, 5, 13]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       9|[0.969525009393692, 1.5455829575657845]                                         | 29.6073169708251953|      0.50000000|[24, 0, 5, 14]                                                             | | GPS sucess | actual_k=0
      10|[0.4844526350498199, 1.4243197813630104]                                        | 28.5847301483154297|      1.00000000|[26, 0, 5, 15]                                                             | | GPS sucess | actual_k=0
      11|[1.0814452469348907, 0.6220730319619179]                                        | 10.2011203765869141|      2.00000000|[28, 0, 5, 16]                                                             | | GPS sucess | actual_k=0
      12|[1.0814452469348907, 0.6220730319619179]                                        | 10.2011203765869141|      1.00000000|[30, 0, 6, 18]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      13|[1.0814452469348907, 0.6220730319619179]                                        | 10.2011203765869141|      0.50000000|[33, 0, 7, 20]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
