k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3734817504882812, 0.13620525598526, 0.0264961533248425, 0.1698487997055054, 0.0445046201348305, -0.0296584777534008, -0.0392593517899513, -0.0175582468509674, -0.0334789045155048, -0.1159866973757744, -0.101704940199852, 0.0853810235857964, 0.0758075267076492, 0.1007518246769905, -0.2191238105297089, 0.2685894072055817, -0.2170520573854446, -0.4612997174263, -0.0733866170048714, -0.2470196336507797, 0.2105785012245178, -0.1156946942210197]| 14.2047910690307617|      2.00000000|[34, 5, 0, 1]                                                              | | GPS sucess | actual_k=8
       2|[0.994605541229248, 0.8065018057823181, 0.1420494876801968, 0.494756668806076, 0.6030757203698158, -0.176712092012167, -0.7126437798142433, 0.164204940199852, -0.3112447746098042, 0.1492685154080391, -0.9308877438306808, 0.1046015825122595, -0.4655123203992844, -0.1859782859683037, -0.040682315826416, 0.5748684704303741, -0.1112410575151443, -0.2462277710437775, -0.0069125890731812, -0.6633898466825485, 0.0473111271858215, -0.6669107005000114]| 13.0801086425781250|      4.00000000|[69, 8, 0, 2]                                                              | | GPS sucess | actual_k=8
       3|[1.8053991794586182, 0.7224025651812553, -0.7094969190657139, 1.7907640635967255, 1.3110883608460426, -0.1596512291580439, -0.9083315506577492, -1.5891181379556656, 0.8064051382243633, 0.5844572857022285, -1.9651856869459152, -0.3914890084415674, 0.2519215494394302, 0.8632766082882881, 0.2854359149932861, -1.200265496969223, -0.3694521635770798, -0.7710165679454803, 0.5109080672264099, -0.419070839881897, 0.4774469137191772, -1.1933166310191154]| 12.1462163925170898|      8.00000000|[101, 14, 0, 3]                                                            | | GPS sucess | actual_k=8
       4|[0.4372352361679077, 1.8373902961611748, -1.0303035117685795, 2.897653430700302, -0.9037577733397484, 0.5801621582359076, 2.4327207431197166, -0.2891733795404434, 2.027143906801939, -3.427183263003826, -3.5501534193754196, -0.7477393541485071, -0.0010964125394821, -0.5913267061114311, -1.9678876399993896, -2.2861089408397675, -0.0029262453317642, -3.211893528699875, 1.3959496021270752, -1.6172436475753784, 1.5228718519210815, -2.183196894824505]| 12.1436214447021484|     16.00000000|[135, 18, 0, 4]                                                            | | GPS sucess | actual_k=8
       5|[0.9564216136932373, -3.209814675152302, 2.37633940204978, 2.245499402284622, 5.729741372168064, -3.0860372874885798, 5.27555688470602, -1.016920879483223, 5.722613047808409, -10.685243241488934, -7.8883840292692184, 3.8565506543964148, 3.28361876308918, -2.648699752986431, -1.210514783859253, -5.010508030653, 0.3687534481287003, -3.8548199832439423, 2.9632374048233032, 1.226725697517395, 0.9097351431846619, -4.113428704440594]| 12.1408834457397461|     32.00000000|[169, 22, 0, 5]                                                            | | GPS sucess | actual_k=8
       6|[0.9564216136932373, -3.209814675152302, 2.37633940204978, 2.245499402284622, 5.729741372168064, -3.0860372874885798, 5.27555688470602, -1.016920879483223, 5.722613047808409, -10.685243241488934, -7.8883840292692184, 3.8565506543964148, 3.28361876308918, -2.648699752986431, -1.210514783859253, -5.010508030653, 0.3687534481287003, -3.8548199832439423, 2.9632374048233032, 1.226725697517395, 0.9097351431846619, -4.113428704440594]| 12.1408834457397461|     16.00000000|[202, 27, 0, 6]                                                            |  | used linear model with 39 points | actual_k=8
       7|[-0.9171863794326782, -6.828297503292561, -0.4479558803141117, 4.414727956056595, 5.482687257230282, -6.046946177259088, 4.673239074647427, 2.4734200686216354, 12.409081172198057, -13.847831837832928, -6.429208800196648, 5.7160130348056555, -0.315112516283989, 0.7856230810284615, -0.3530899286270142, -7.2008287608623505, 2.9202678352594376, -2.814616411924362, -1.4678791761398315, 2.604919672012329, -0.2189537882804871, -7.148811690509319]| 12.1340188980102539|     32.00000000|[235, 32, 0, 7]                                                            | | GPS sucess | actual_k=8
       8|[-2.920068383216858, -8.557652719318867, -6.37041786685586, 7.161151200532913, 7.156120799481869, -9.027584442868829, 5.525996349751949, 4.8469154089689255, 5.312551688402891, -12.63009738177061, -9.107577607035637, 10.367280086502433, 9.956843927502632, 3.4830524995923042, 12.130970358848572, 1.8915508091449738, 16.458828702569008, 4.223624497652054, -15.4216068983078, 3.4212677478790283, 2.405690014362335, -12.723108164966106]| 12.1292037963867188|     64.00000000|[268, 37, 0, 8]                                                            | | GPS sucess | actual_k=8
       9|[-10.017120480537415, 6.3604504987597466, -3.365718875080347, 11.239919930696487, -5.224830128252506, -23.285430321469903, -7.4516361728310585, -0.7926996499300003, 11.591588210314512, -32.989420883357525, 21.757569029927254, 0.4443379249423742, -5.89792101085186, -13.888903371989727, 7.270511507987976, 11.940195828676224, 8.968549981713295, 10.862405568361282, -15.018166154623032, 8.656228303909302, 1.801925241947174, -19.30028759688139]| 12.1234636306762695|    128.00000000|[302, 41, 0, 9]                                                            | | GPS sucess | actual_k=8
      10|[-10.017120480537415, 6.3604504987597466, -3.365718875080347, 11.239919930696487, -5.224830128252506, -23.285430321469903, -7.4516361728310585, -0.7926996499300003, 11.591588210314512, -32.989420883357525, 21.757569029927254, 0.4443379249423742, -5.89792101085186, -13.888903371989727, 7.270511507987976, 11.940195828676224, 8.968549981713295, 10.862405568361282, -15.018166154623032, 8.656228303909302, 1.801925241947174, -19.30028759688139]| 12.1234636306762695|     64.00000000|[336, 45, 0, 10]                                                           |  | used linear model with 39 points | actual_k=8
      11|[-10.017120480537415, 6.3604504987597466, -3.365718875080347, 11.239919930696487, -5.224830128252506, -23.285430321469903, -7.4516361728310585, -0.7926996499300003, 11.591588210314512, -32.989420883357525, 21.757569029927254, 0.4443379249423742, -5.89792101085186, -13.888903371989727, 7.270511507987976, 11.940195828676224, 8.968549981713295, 10.862405568361282, -15.018166154623032, 8.656228303909302, 1.801925241947174, -19.30028759688139]| 12.1234636306762695|     32.00000000|[368, 51, 0, 11]                                                           |  | used linear model with 39 points | actual_k=8
