k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2942071855068207, -0.1613449603319168, 0.2301509827375412, 0.4533682465553284, 0.0444846116006374, 0.0881589353084564, 0.0973257645964622, -0.1825930774211884, 0.4018092453479767, -0.0181821547448635, -0.1842576414346695, 0.2278615087270737, -0.206570640206337, -0.0539478324353695, -0.2480761557817459, 0.0954538285732269, 0.166352853178978, 0.0965138152241707, 0.3505840301513672, 0.0274471528828144, 0.1324654221534729, 0.1459661722183228]| 13.8566894531250000|      2.00000000|[280, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
       2|[0.9188036024570465, -0.1152956373989582, 0.2409387081861496, 1.2158080339431763, 0.1651549823582172, 0.2107510566711426, -0.0002359747886658, 0.2991333603858948, 0.6612919867038727, -0.1888683550059795, -0.0249404013156891, 0.7830527275800705, 0.0658562630414963, 0.4345104433596134, 0.2071835845708847, -0.3635401129722595, 0.3783069849014282, -0.4216853305697441, -0.2534925937652588, 0.3766240365803242, -0.365141898393631, 0.1402885713614523]| 12.5496692657470703|      4.00000000|[559, 0, 0, 36]                                                            | | GPS sucess | actual_k=0
       3|[0.9096788503229618, 1.1448663584887981, 0.4569577574729919, 2.2994452714920044, -0.329228799790144, 0.4706812798976898, -0.6737777590751648, -0.2592679858207703, 0.2461395859718323, 0.7129729278385639, 0.3164734542369843, -0.4425891190767288, 0.5155457109212875, -0.1222257874906063, -0.8182236105203629, -1.3459926843643188, -1.6244271993637085, -0.9998440071940422, -0.9303148984909058, 0.9136975295841694, -0.1488579362630844, -0.1840984425507486]| 12.1439037322998047|      8.00000000|[838, 0, 0, 54]                                                            | | GPS sucess | actual_k=0
       4|[0.1902340985834599, -0.1507986672222614, 1.4586853384971619, 2.74943009018898, -1.6529782228171825, -1.3039151728153229, -3.001981198787689, -4.836744487285614, 0.4373369514942169, 2.6320173032581806, 0.8868868052959442, -1.6532848626375198, -0.623593345284462, 0.4759768582880497, -1.4661248475313187, -2.33124577999115, -1.3957036882638931, 0.2406588271260262, -1.927944302558899, 3.2548614032566547, 0.1625119596719742, -2.687703093048185]| 12.1412181854248047|     16.00000000|[1117, 0, 0, 72]                                                           | | GPS sucess | actual_k=0
       5|[-5.002865400165319, -1.9187786467373371, 1.8256356716156006, 6.763090521097183, -0.9934506826102734, 0.9767037332057953, -6.06347793340683, -3.2718127369880676, -5.217354744672775, 1.5449911840260029, -2.7844689190387726, 4.23429362475872, 0.3476920574903488, 7.076194677501917, 0.1875243633985519, 2.0913296937942505, -0.5433367043733597, 0.8831170275807381, -5.458198189735413, 0.3881280906498432, -1.8394280523061752, -5.644016226287931]| 12.1321983337402344|     32.00000000|[1396, 0, 0, 90]                                                           | | GPS sucess | actual_k=0
       6|[-14.41839274391532, -5.667758692055941, 11.641881704330444, 12.76512423157692, -1.3425184302031994, 13.292454808950424, -5.752554804086685, -7.292235195636749, 4.519734412431717, -2.538028072565794, 1.4971444308757782, -4.634368255734444, 0.6347691863775253, 13.316448602825403, -1.7252584248781204, 8.314603447914124, -1.439415231347084, -3.4139982983469963, -0.5634242296218872, -0.36702985689044, -5.770979270339012, 6.971012155059725]| 12.1015014648437500|     64.00000000|[1675, 0, 0, 108]                                                          | | GPS sucess | actual_k=0
       7|[-14.41839274391532, -5.667758692055941, 11.641881704330444, 12.76512423157692, -1.3425184302031994, 13.292454808950424, -5.752554804086685, -7.292235195636749, 4.519734412431717, -2.538028072565794, 1.4971444308757782, -4.634368255734444, 0.6347691863775253, 13.316448602825403, -1.7252584248781204, 8.314603447914124, -1.439415231347084, -3.4139982983469963, -0.5634242296218872, -0.36702985689044, -5.770979270339012, 6.971012155059725]| 12.1015014648437500|     32.00000000|[1954, 0, 0, 126]                                                          |  | used quadratic model with 280 points | actual_k=0
       8|[-17.523401584476233, -13.255467642098665, -3.306811571121216, 18.471798330545425, 0.1299925036728382, 18.589221090078354, -8.556157737970352, -5.483005225658417, 0.6615073978900909, -10.516148399561644, -4.514657765626907, -6.89364393055439, 4.324127182364464, -2.5436769388616085, 3.2659033983945847, 6.899018406867981, 2.491485580801964, 8.23136741667986, -0.7847368568181992, -1.654582928866148, -2.7155080884695053, 7.325731466058642]| 12.0943002700805664|     64.00000000|[2233, 0, 0, 144]                                                          | | GPS sucess | actual_k=0
       9|[-19.472688879817724, -17.77595590427518, 12.163876295089722, 17.42324259877205, -11.851462345570326, 14.943129867315292, -3.5635878145694733, 5.026229202747345, 24.013687878847122, 2.2292863614857197, -1.61741903424263, -15.507371500134468, 0.23427914083004, -22.82835253700614, -15.244829252362251, -4.446698069572449, -13.164653792977333, 0.7636340335011482, 7.917177930474281, 8.146435786038637, -0.1510094255208969, 10.611858318094164]| 12.0817909240722656|    128.00000000|[2512, 0, 0, 162]                                                          | | GPS sucess | actual_k=0
      10|[-50.69852086529136, -82.43898080661893, -6.088235139846802, 49.4922733604908, 1.178608912974596, 19.15057548880577, -4.452537804841995, 28.241635620594025, 46.5323283970356, 19.29702966287732, 1.7399680316448212, -10.01051576435566, 0.1708301231265068, -61.64303454384208, -1.219644621014595, -44.38702857494354, 9.817802414298058, -25.898254089057446, 17.998115316033363, 30.64722352102399, -39.85053335130215, 43.30688853049651]| 11.9652805328369141|    256.00000000|[2791, 0, 0, 180]                                                          | | GPS sucess | actual_k=0
      11|[-50.69852086529136, -82.43898080661893, -6.088235139846802, 49.4922733604908, 1.178608912974596, 19.15057548880577, -4.452537804841995, 28.241635620594025, 46.5323283970356, 19.29702966287732, 1.7399680316448212, -10.01051576435566, 0.1708301231265068, -61.64303454384208, -1.219644621014595, -44.38702857494354, 9.817802414298058, -25.898254089057446, 17.998115316033363, 30.64722352102399, -39.85053335130215, 43.30688853049651]| 11.9652805328369141|    128.00000000|[3070, 0, 0, 198]                                                          |  | used quadratic model with 280 points | actual_k=0
      12|[-68.22676679119468, -66.33818696811795, 12.921011686325073, 58.88561633229256, 22.542880076915026, 7.903398364782333, 27.20042011141777, 25.82518821954727, 58.92042425274849, 13.186471153050661, -27.795071870088577, 22.351182386279106, 11.107530944049358, -110.70177706703544, 25.437072679400444, -83.41253364086151, 7.7369870990514755, -13.908125571906567, 73.10706688463688, 8.94738869741559, -83.1026695817709, 33.98643488669768]| 11.9339418411254883|    256.00000000|[3349, 0, 0, 216]                                                          | | GPS sucess | actual_k=0
      13|[-82.3649398945272, -187.87590669468045, 61.132975339889526, 69.53437235951424, 96.125269908458, -61.123930126428604, -9.27553203701973, 83.3732038140297, 17.31627157330513, 88.6365062482655, 74.83527633547783, 66.48802702128887, 46.031099669635296, -54.699228849262, 53.96736900508404, -144.10255897045135, -12.815264716744423, 36.9594205096364, 84.21245171129704, 8.046331156045198, -101.11973844468594, 52.1239394643344]| 11.8188352584838867|    512.00000000|[3628, 0, 0, 234]                                                          | | GPS sucess | actual_k=0
