k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1018646582961082, 0.2747185826301575, -0.137134462594986, 0.4579889476299286, 0.2082384824752808, -0.3116142749786377, -0.1069750189781189, -0.1159370467066765, 0.1397458612918854, 0.0341020561754704, -0.1914674639701843, -0.0652850568294525, -0.0144763644784689, 0.337201863527298, 0.0044242572039366, 0.0833752825856209, 0.197030246257782, 0.3441071510314941, 0.0740233510732651, 0.0973725020885468, -0.072860062122345, -0.4003025889396667]| 14.1187686920166016|      2.00000000|[21, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       2|[0.4199729785323143, 0.4848650246858597, 0.0137902796268463, 1.5193719565868378, -0.480047881603241, -0.0606126189231873, -0.5430244505405426, -0.3426791504025459, -0.5373475849628448, 0.0342656667489791, -0.3939834386110306, -0.0070138610899448, 0.5667052213102579, 0.3250685445964336, -0.3890509773045778, 0.3064622804522514, 0.639898031949997, 0.0634190738201141, -0.138149157166481, -0.5346539318561554, -0.465640127658844, -0.310857430100441]| 12.6099729537963867|      4.00000000|[42, 3, 0, 4]                                                              | | GPS sucess | actual_k=1
       3|[0.0205185934901237, 1.5752656012773514, 1.1272890865802765, 3.1067881286144257, -0.5141153410077095, 0.428569495677948, 0.5317362248897552, -1.9289023950695992, -0.3196176439523697, 0.7742895181436324, 0.4533228129148483, -0.2333610095083714, 0.1647016648203135, -0.180943239480257, -0.7433645892888308, 1.6608438417315483, 0.7789885848760605, 1.0927941501140594, -1.480834260582924, -0.598118007183075, -1.0541059374809265, -0.2321691513061523]| 12.1615638732910156|      8.00000000|[62, 5, 0, 6]                                                              | | GPS sucess | actual_k=1
       4|[0.6175988242030144, -1.1055038422346115, -0.8230923116207123, 2.920169845223427, -2.9718864038586617, 0.361370861530304, -0.7697282135486603, -1.2670694068074226, -0.5667485594749451, -1.6068466608267045, -1.6619964390993118, -0.5711095072329044, 1.673400366678834, -1.1111817844212055, -0.4713449347764254, 0.9449603483080864, -0.7366265207529068, 2.207587331533432, -1.173475369811058, -2.386678159236908, 1.0005801320075989, -4.629741668701172]| 12.1419763565063477|     16.00000000|[83, 6, 0, 8]                                                              | | GPS sucess | actual_k=1
       5|[0.6646413244307041, -6.049930855631828, 0.4272251427173615, 2.9294460844248533, 0.3739349767565727, -0.131294310092926, 2.4091694056987762, -6.604409761726856, -2.1295278668403625, -0.2861834470968461, -3.8889828473329544, 4.246464516967535, -0.5738809462636709, 0.3896806947886944, -9.076886164024472, -3.434345968067646, 1.5333119481801987, 1.8466014564037323, -1.1442145984619856, 3.445055067539215, 3.6909738183021545, -5.360934138298035]| 12.1387748718261719|     32.00000000|[103, 8, 0, 10]                                                            | | GPS sucess | actual_k=1
       6|[0.6646413244307041, -6.049930855631828, 0.4272251427173615, 2.9294460844248533, 0.3739349767565727, -0.131294310092926, 2.4091694056987762, -6.604409761726856, -2.1295278668403625, -0.2861834470968461, -3.8889828473329544, 4.246464516967535, -0.5738809462636709, 0.3896806947886944, -9.076886164024472, -3.434345968067646, 1.5333119481801987, 1.8466014564037323, -1.1442145984619856, 3.445055067539215, 3.6909738183021545, -5.360934138298035]| 12.1387748718261719|     16.00000000|[124, 9, 0, 12]                                                            |  | used linear model with 23 points | actual_k=1
       7|[0.6646413244307041, -6.049930855631828, 0.4272251427173615, 2.9294460844248533, 0.3739349767565727, -0.131294310092926, 2.4091694056987762, -6.604409761726856, -2.1295278668403625, -0.2861834470968461, -3.8889828473329544, 4.246464516967535, -0.5738809462636709, 0.3896806947886944, -9.076886164024472, -3.434345968067646, 1.5333119481801987, 1.8466014564037323, -1.1442145984619856, 3.445055067539215, 3.6909738183021545, -5.360934138298035]| 12.1387748718261719|      8.00000000|[144, 11, 0, 14]                                                           |  | used linear model with 23 points | actual_k=1
       8|[0.6646413244307041, -6.049930855631828, 0.4272251427173615, 2.9294460844248533, 0.3739349767565727, -0.131294310092926, 2.4091694056987762, -6.604409761726856, -2.1295278668403625, -0.2861834470968461, -3.8889828473329544, 4.246464516967535, -0.5738809462636709, 0.3896806947886944, -9.076886164024472, -3.434345968067646, 1.5333119481801987, 1.8466014564037323, -1.1442145984619856, 3.445055067539215, 3.6909738183021545, -5.360934138298035]| 12.1387748718261719|      4.00000000|[165, 12, 0, 16]                                                           |  | used linear model with 23 points | actual_k=1
       9|[-0.4978619180619717, -5.082558259367943, 0.0363459885120392, 3.8729306887835264, 1.06760822981596, -0.0883523635566235, 2.074857920408249, -7.629026599228382, -3.160981833934784, -2.252686590407393, -3.424952730536461, 3.9123444221913815, -0.2821509893983603, 1.2899593226611614, -7.982784019783139, -3.3484870865941048, 0.9802431911230087, 2.742387145757675, -0.7079000752419233, 4.677370846271515, 4.313618898391724, -6.040778338909149]| 12.1362361907958984|      8.00000000|[185, 14, 0, 18]                                                           | | GPS sucess | actual_k=1
      10|[-2.750924166291952, -2.8919514268636703, 1.2271739542484283, 5.237393183633685, 1.7364950105547905, 1.4137841053307056, 1.2609001100063324, -6.23402363806963, -2.6758446097373962, -1.5198339526396012, -4.62910495698452, 3.6836260221898556, -0.7127437647432089, -1.0782652981579304, -10.075959192588925, -5.984832234680653, -0.3425127416849136, 2.317479431629181, 1.9998321253806353, 4.741144448518753, 0.6443846225738525, -4.1960490345954895]| 12.1332015991210938|     16.00000000|[206, 15, 0, 20]                                                           | | GPS sucess | actual_k=1
      11|[-2.750924166291952, -2.8919514268636703, 1.2271739542484283, 5.237393183633685, 1.7364950105547905, 1.4137841053307056, 1.2609001100063324, -6.23402363806963, -2.6758446097373962, -1.5198339526396012, -4.62910495698452, 3.6836260221898556, -0.7127437647432089, -1.0782652981579304, -10.075959192588925, -5.984832234680653, -0.3425127416849136, 2.317479431629181, 1.9998321253806353, 4.741144448518753, 0.6443846225738525, -4.1960490345954895]| 12.1332015991210938|      8.00000000|[226, 17, 0, 22]                                                           |  | used linear model with 23 points | actual_k=1
      12|[-2.750924166291952, -2.8919514268636703, 1.2271739542484283, 5.237393183633685, 1.7364950105547905, 1.4137841053307056, 1.2609001100063324, -6.23402363806963, -2.6758446097373962, -1.5198339526396012, -4.62910495698452, 3.6836260221898556, -0.7127437647432089, -1.0782652981579304, -10.075959192588925, -5.984832234680653, -0.3425127416849136, 2.317479431629181, 1.9998321253806353, 4.741144448518753, 0.6443846225738525, -4.1960490345954895]| 12.1332015991210938|      4.00000000|[247, 18, 0, 24]                                                           |  | used linear model with 23 points | actual_k=1
      13|[-2.750924166291952, -2.8919514268636703, 1.2271739542484283, 5.237393183633685, 1.7364950105547905, 1.4137841053307056, 1.2609001100063324, -6.23402363806963, -2.6758446097373962, -1.5198339526396012, -4.62910495698452, 3.6836260221898556, -0.7127437647432089, -1.0782652981579304, -10.075959192588925, -5.984832234680653, -0.3425127416849136, 2.317479431629181, 1.9998321253806353, 4.741144448518753, 0.6443846225738525, -4.1960490345954895]| 12.1332015991210938|      2.00000000|[267, 20, 0, 26]                                                           |  | used linear model with 23 points | actual_k=1
      14|[-2.5313258729875088, -2.457268998026848, 0.4621612727642059, 5.234810305992141, 1.788229376077652, 1.1876746900379658, 0.6928204596042633, -5.982418842613697, -2.3323871195316315, -1.4300665710907197, -5.140778049826622, 3.8943261317908764, -0.9642733987420797, -0.290700126439333, -9.761692034080625, -5.895312428474426, -0.4100916087627411, 1.875371903181076, 2.0014310172991827, 3.7181970179080963, 0.1687203943729401, -3.98984532058239]| 12.1330947875976562|      4.00000000|[288, 21, 0, 28]                                                           | | GPS sucess | actual_k=1
