k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1793725490570068, 0.4285365343093872]                                        |  0.6568237543106079|      2.00000000|[4, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.1793725490570068, 0.4285365343093872]                                        |  0.6568237543106079|      1.00000000|[7, 0, 1, 3]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[0.1793725490570068, 0.4285365343093872]                                        |  0.6568237543106079|      0.50000000|[11, 0, 1, 4]                                                              |  | used linear model with 4 points | actual_k=0
       4|[0.024250790476799, -0.0467920303344727]                                        |  0.0025982379447669|      1.00000000|[14, 0, 1, 5]                                                              | | GPS sucess | actual_k=0
       5|[0.024250790476799, -0.0467920303344727]                                        |  0.0025982379447669|      0.50000000|[17, 0, 2, 7]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[0.024250790476799, -0.0467920303344727]                                        |  0.0025982379447669|      0.25000000|[21, 0, 3, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.024250790476799, -0.0467920303344727]                                        |  0.0025982379447669|      0.12500000|[25, 0, 4, 11]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.024250790476799, -0.0467920303344727]                                        |  0.0025982379447669|      0.06250000|[29, 0, 5, 13]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.024250790476799, -0.0467920303344727]                                        |  0.0025982379447669|      0.03125000|[33, 0, 6, 15]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[0.054567813873291, -0.0392130818217993]                                        |  0.0017233596881852|      0.06250000|[37, 0, 6, 16]                                                             | | GPS sucess | actual_k=0
      11|[0.0172557756304741, 0.010927340015769]                                         |  0.0009150966070592|      0.12500000|[40, 0, 6, 17]                                                             | | GPS sucess | actual_k=0
      12|[0.0172557756304741, 0.010927340015769]                                         |  0.0009150966070592|      0.06250000|[43, 0, 7, 19]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      13|[0.0172557756304741, 0.010927340015769]                                         |  0.0009150966070592|      0.03125000|[47, 0, 8, 21]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
