k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9972810747567564, 1.095726989209652, 1.0263558346778154, 0.5791224539279938, 0.8890311568975449, 0.7445155382156372, 1.1936088055372238, 1.0261196494102478, 0.7716168314218521, 0.7989898473024368, 0.9511692710220814, 0.5182277262210846, 1.1817641258239746, 0.746505469083786, 0.9822021629661322, 1.3188847303390503, 1.0990028902888298, 0.9595504812896252, 1.0982997566461563, 0.9124730974435806, 0.9720043819397688, 0.9313909485936165]|  1.3695693016052246|      2.00000000|[259, 17, 0, 18]                                                           | | GPS sucess | actual_k=1
       2|[1.2417035403195769, 1.2799976989626884, 0.4071527440100908, -0.3394580185413361, 0.5483939796686172, 0.9550956785678864, 1.349379986524582, 0.2198158502578735, 0.89078439027071, 0.552917405962944, 0.4856512136757374, -0.4373055398464203, 1.452959269285202, 0.4102923572063446, 0.6304976847022772, 1.2089956775307655, 0.9827287197113037, 0.9187552146613598, 1.038317035883665, 1.3595599085092545, 0.8256934862583876, 0.9806828163564205]|  1.0962066650390625|      4.00000000|[517, 34, 0, 36]                                                           | | GPS sucess | actual_k=1
       3|[1.0175855162087828, -0.7352889850735664, -0.5799670498818159, 0.1087799370288849, -0.2125519961118698, 1.0439358949661255, 1.242620587348938, -0.4580531120300293, 0.5757927373051643, 0.2505854219198227, -1.154630582779646, -2.3855980336666107, 1.6643752455711365, 0.6023827791213989, 0.0252502467483282, 1.514411337673664, 1.0899046659469604, 1.4793662838637829, -0.0503186471760273, 1.7779352217912674, 0.3989465516060591, 0.4406450055539608]|  0.7651202082633972|      8.00000000|[775, 51, 0, 54]                                                           | | GPS sucess | actual_k=1
       4|[1.1578649582806975, -0.4200745597481728, -0.9159384351223707, -0.1369477063417435, -1.8710279911756516, 0.3186168670654297, 0.4758936762809753, -1.271667242050171, -1.5767815634608269, -2.0834440141916275, -1.231713306158781, -4.510997861623764, 1.0945448875427246, 2.798561692237854, 2.5191398169845343, 2.6042422130703926, -2.1400619745254517, 0.4336907677352428, -0.116470891982317, 5.24322672188282, 2.9943082612007856, -0.5237453915178776]|  0.5847724080085754|     16.00000000|[1033, 68, 0, 72]                                                          | | GPS sucess | actual_k=1
       5|[1.1578649582806975, -0.4200745597481728, -0.9159384351223707, -0.1369477063417435, -1.8710279911756516, 0.3186168670654297, 0.4758936762809753, -1.271667242050171, -1.5767815634608269, -2.0834440141916275, -1.231713306158781, -4.510997861623764, 1.0945448875427246, 2.798561692237854, 2.5191398169845343, 2.6042422130703926, -2.1400619745254517, 0.4336907677352428, -0.116470891982317, 5.24322672188282, 2.9943082612007856, -0.5237453915178776]|  0.5847724080085754|      8.00000000|[1291, 85, 0, 90]                                                          |  | used quadratic model with 276 points | actual_k=1
       6|[-2.7842176852282137, -2.643365003168583, -2.304608402773738, -0.0756031684577465, -1.1930102556943893, -2.4761147499084473, -0.3805047869682312, -1.5578938722610474, -1.9432348236441612, -2.1206190325319767, -1.8676422946155071, -3.466845363378525, 2.453072428703308, 2.7668912895023823, 1.7201712634414434, -1.4859143421053886, -1.4450453519821167, 0.4409869648516178, -1.6292616911232471, 3.542619302868843, 1.5993652623146772, -0.7577900625765324]|  0.5156227350234985|     16.00000000|[1548, 103, 0, 108]                                                        | | GPS sucess | actual_k=1
       7|[-2.7842176852282137, -2.643365003168583, -2.304608402773738, -0.0756031684577465, -1.1930102556943893, -2.4761147499084473, -0.3805047869682312, -1.5578938722610474, -1.9432348236441612, -2.1206190325319767, -1.8676422946155071, -3.466845363378525, 2.453072428703308, 2.7668912895023823, 1.7201712634414434, -1.4859143421053886, -1.4450453519821167, 0.4409869648516178, -1.6292616911232471, 3.542619302868843, 1.5993652623146772, -0.7577900625765324]|  0.5156227350234985|      8.00000000|[1806, 120, 0, 126]                                                        |  | used quadratic model with 276 points | actual_k=1
       8|[-1.2845828232821077, -3.4121960774064064, -5.844770250841975, -1.4359238557517529, -1.257935844361782, -1.6664720177650452, -2.948681056499481, -0.017322301864624, -4.025839231908321, -1.5015675760805607, -0.4380952231585979, -2.8635468780994415, -0.3094116449356079, 0.8361043222248554, 2.5397421028465033, 1.2274664714932442, -1.1825977563858032, -0.4529971741139889, -4.039769846946001, 4.348484769463539, 1.5714039094746113, -0.745684820227325]|  0.4897212982177734|     16.00000000|[2064, 137, 0, 144]                                                        | | GPS sucess | actual_k=1
       9|[-1.2845828232821077, -3.4121960774064064, -5.844770250841975, -1.4359238557517529, -1.257935844361782, -1.6664720177650452, -2.948681056499481, -0.017322301864624, -4.025839231908321, -1.5015675760805607, -0.4380952231585979, -2.8635468780994415, -0.3094116449356079, 0.8361043222248554, 2.5397421028465033, 1.2274664714932442, -1.1825977563858032, -0.4529971741139889, -4.039769846946001, 4.348484769463539, 1.5714039094746113, -0.745684820227325]|  0.4897212982177734|      8.00000000|[2322, 154, 0, 162]                                                        |  | used quadratic model with 276 points | actual_k=1
      10|[-1.727740973001346, -3.2308259680867195, -4.929898677393794, -1.3952337615191936, -1.0336269661784172, -0.1589086651802063, -1.0760113596916199, -1.206678867340088, -2.4678813442587852, -2.5035427547991276, -1.1307267062366009, -4.178583890199661, -5.677195191383362, -0.1052688471972942, 2.372951766476035, 0.0957747772336006, -1.7629464864730835, -2.9177815578877926, -2.9754309244453907, 2.352842941880226, -0.3663545362651348, 0.402107042260468]|  0.4827561676502228|     16.00000000|[2580, 171, 0, 180]                                                        | | GPS sucess | actual_k=1
      11|[-1.727740973001346, -3.2308259680867195, -4.929898677393794, -1.3952337615191936, -1.0336269661784172, -0.1589086651802063, -1.0760113596916199, -1.206678867340088, -2.4678813442587852, -2.5035427547991276, -1.1307267062366009, -4.178583890199661, -5.677195191383362, -0.1052688471972942, 2.372951766476035, 0.0957747772336006, -1.7629464864730835, -2.9177815578877926, -2.9754309244453907, 2.352842941880226, -0.3663545362651348, 0.402107042260468]|  0.4827561676502228|      8.00000000|[2838, 188, 0, 198]                                                        |  | used quadratic model with 276 points | actual_k=1
      12|[-1.3318170008715242, -1.9117700532078743, -3.3512083869427443, -1.125301044434309, 0.6630564406514168, 0.0514759719371796, -1.1204514130949974, -0.5374591946601868, -1.9592591747641563, -0.6487693525850773, -0.323045801371336, -4.715830534696579, -4.825974464416504, -1.1496111266314983, 1.1626904215663671, 1.1624409034848213, -1.2917211055755615, -6.442785229533911, 1.0733533315360546, 1.9635462909936905, -3.3801456205546856, -1.0231253681704402]|  0.4654176533222198|     16.00000000|[3096, 205, 0, 216]                                                        | | GPS sucess | actual_k=1
      13|[-1.3318170008715242, -1.9117700532078743, -3.3512083869427443, -1.125301044434309, 0.6630564406514168, 0.0514759719371796, -1.1204514130949974, -0.5374591946601868, -1.9592591747641563, -0.6487693525850773, -0.323045801371336, -4.715830534696579, -4.825974464416504, -1.1496111266314983, 1.1626904215663671, 1.1624409034848213, -1.2917211055755615, -6.442785229533911, 1.0733533315360546, 1.9635462909936905, -3.3801456205546856, -1.0231253681704402]|  0.4654176533222198|      8.00000000|[3353, 223, 0, 234]                                                        |  | used quadratic model with 276 points | actual_k=1
